ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,52.8,3.6,105,49.2
AL-003,Baldwin County,Alabama,57.2,3.6,106,53.6
AL-005,Barbour County,Alabama,53.3,2.7,95,50.6
AL-007,Bibb County,Alabama,52.1,4.8,113,47.3
AL-009,Blount County,Alabama,50.3,5.8,119,44.5
AL-011,Bullock County,Alabama,53,3.3,103,49.7
AL-013,Butler County,Alabama,53.3,2.8,96,50.5
AL-015,Calhoun County,Alabama,50.6,5.3,118,45.3
AL-017,Chambers County,Alabama,50.7,4.2,109,46.5
AL-019,Cherokee County,Alabama,49.7,5.3,119,44.4
AL-021,Chilton County,Alabama,51.9,4.3,111,47.6
AL-023,Choctaw County,Alabama,54.4,4.3,107,50.1
AL-025,Clarke County,Alabama,54.7,3.9,108,50.8
AL-027,Clay County,Alabama,50.2,4.5,112,45.7
AL-029,Cleburne County,Alabama,49.9,5.6,117,44.4
AL-031,Coffee County,Alabama,52.9,1.3,84,51.6
AL-033,Colbert County,Alabama,50.1,7.2,122,42.9
AL-035,Conecuh County,Alabama,54.3,2.6,96,51.7
AL-037,Coosa County,Alabama,51.3,3.9,110,47.4
AL-039,Covington County,Alabama,53.7,1.8,88,51.9
AL-041,Crenshaw County,Alabama,52.7,2.3,91,50.4
AL-043,Cullman County,Alabama,50,6,120,44
AL-045,Dale County,Alabama,53.2,1.3,86,51.9
AL-047,Dallas County,Alabama,53.5,3.8,106,49.7
AL-049,DeKalb County,Alabama,48.6,5.7,119,42.9
AL-051,Elmore County,Alabama,52.6,3.6,108,49
AL-053,Escambia County,Alabama,55.4,2.8,98,52.6
AL-055,Etowah County,Alabama,50.3,5.5,119,44.8
AL-057,Fayette County,Alabama,50.9,5.1,116,45.8
AL-059,Franklin County,Alabama,49.8,6.6,119,43.2
AL-061,Geneva County,Alabama,53.4,0.9,78,52.5
AL-063,Greene County,Alabama,53.3,5.1,114,48.2
AL-065,Hale County,Alabama,53.2,5,114,48.2
AL-067,Henry County,Alabama,53.6,1.9,87,51.7
AL-069,Houston County,Alabama,54.1,1.2,83,52.9
AL-071,Jackson County,Alabama,48.8,6,120,42.8
AL-073,Jefferson County,Alabama,51.5,5.5,118,46
AL-075,Lamar County,Alabama,51.5,5.6,118,45.9
AL-077,Lauderdale County,Alabama,49.5,7.1,121,42.4
AL-079,Lawrence County,Alabama,49.6,6.3,119,43.3
AL-081,Lee County,Alabama,51.9,3.7,105,48.2
AL-083,Limestone County,Alabama,49.2,6.3,120,42.9
AL-085,Lowndes County,Alabama,53.4,3.2,102,50.2
AL-087,Macon County,Alabama,53,3.6,105,49.4
AL-089,Madison County,Alabama,49.3,6.2,121,43.1
AL-091,Marengo County,Alabama,53.8,4.3,110,49.5
AL-093,Marion County,Alabama,50.2,5.9,119,44.3
AL-095,Marshall County,Alabama,50,6,119,44
AL-097,Mobile County,Alabama,57,3.8,105,53.2
AL-099,Monroe County,Alabama,54.5,3.3,104,51.2
AL-101,Montgomery County,Alabama,53.2,3.2,103,50
AL-103,Morgan County,Alabama,49.8,6.2,120,43.6
AL-105,Perry County,Alabama,53,4.5,112,48.5
AL-107,Pickens County,Alabama,52.6,5.5,116,47.1
AL-109,Pike County,Alabama,52.8,2.2,90,50.6
AL-111,Randolph County,Alabama,50.4,5.2,115,45.2
AL-113,Russell County,Alabama,53.1,3.5,104,49.6
AL-115,St. Clair County,Alabama,50.7,5.2,118,45.5
AL-117,Shelby County,Alabama,51.6,4.9,114,46.7
AL-119,Sumter County,Alabama,53.7,4.8,113,48.9
AL-121,Talladega County,Alabama,50.9,4.3,111,46.6
AL-123,Tallapoosa County,Alabama,51.1,3.8,109,47.3
AL-125,Tuscaloosa County,Alabama,52,4.9,114,47.1
AL-127,Walker County,Alabama,50.6,5.1,117,45.5
AL-129,Washington County,Alabama,55.5,3.9,107,51.6
AL-131,Wilcox County,Alabama,54,3.7,105,50.3
AL-133,Winston County,Alabama,49.8,6,119,43.8
AZ-001,Apache County,Arizona,37.6,3.1,106,34.5
AZ-003,Cochise County,Arizona,48.9,2,94,46.9
AZ-005,Coconino County,Arizona,39.1,2.6,98,36.5
AZ-007,Gila County,Arizona,46.1,1.8,87,44.3
AZ-009,Graham County,Arizona,48,1.9,94,46.1
AZ-011,Greenlee County,Arizona,44.2,2.2,98,42
AZ-012,La Paz County,Arizona,57.6,2,91,55.6
AZ-013,Maricopa County,Arizona,56.9,2.2,96,54.7
AZ-015,Mohave County,Arizona,48.5,2.3,91,46.2
AZ-017,Navajo County,Arizona,38.7,2.9,103,35.8
AZ-019,Pima County,Arizona,54.7,2,93,52.7
AZ-021,Pinal County,Arizona,55.1,1.9,90,53.2
AZ-023,Santa Cruz County,Arizona,49.2,2.3,102,46.9
AZ-025,Yavapai County,Arizona,45.8,1.7,87,44.1
AZ-027,Yuma County,Arizona,58.8,1.9,92,56.9
AR-001,Arkansas County,Arkansas,52.8,7.9,126,44.9
AR-003,Ashley County,Arkansas,54.3,7,126,47.3
AR-005,Baxter County,Arkansas,49.9,11.1,130,38.8
AR-007,Benton County,Arkansas,48.6,9.5,129,39.1
AR-009,Boone County,Arkansas,48.8,10.2,130,38.6
AR-011,Bradley County,Arkansas,54.2,7.6,126,46.6
AR-013,Calhoun County,Arkansas,53.9,7.3,125,46.7
AR-015,Carroll County,Arkansas,48.6,9.8,129,38.8
AR-017,Chicot County,Arkansas,54.1,6.6,122,47.5
AR-019,Clark County,Arkansas,53.3,7.7,129,45.6
AR-021,Clay County,Arkansas,49.4,9.7,130,39.7
AR-023,Cleburne County,Arkansas,51.5,10.3,130,41.2
AR-025,Cleveland County,Arkansas,53.4,7.5,125,45.9
AR-027,Columbia County,Arkansas,54.4,6.8,123,47.6
AR-029,Conway County,Arkansas,50.7,8.1,128,42.6
AR-031,Craighead County,Arkansas,50.4,9.6,129,40.8
AR-033,Crawford County,Arkansas,49.9,8.2,129,41.7
AR-035,Crittenden County,Arkansas,52.4,9.3,128,43.1
AR-037,Cross County,Arkansas,51.2,8.6,126,42.6
AR-039,Dallas County,Arkansas,53.1,7.2,125,45.9
AR-041,Desha County,Arkansas,53.2,7.2,124,46.1
AR-043,Drew County,Arkansas,54,7.5,125,46.5
AR-045,Faulkner County,Arkansas,51.4,8.3,129,43.1
AR-047,Franklin County,Arkansas,50.6,9,129,41.6
AR-049,Fulton County,Arkansas,49.4,11.3,130,38.1
AR-051,Garland County,Arkansas,52.7,8.8,129,43.9
AR-053,Grant County,Arkansas,52.9,7.5,126,45.4
AR-055,Greene County,Arkansas,49.9,9.7,130,40.2
AR-057,Hempstead County,Arkansas,53.4,7.3,128,46.1
AR-059,Hot Spring County,Arkansas,52.9,7.8,129,45.1
AR-061,Howard County,Arkansas,52.2,7.5,128,44.7
AR-063,Independence County,Arkansas,50.4,9.8,129,40.6
AR-065,Izard County,Arkansas,50.2,10.9,130,39.3
AR-067,Jackson County,Arkansas,50.2,8.9,129,41.3
AR-069,Jefferson County,Arkansas,53,7.7,127,45.3
AR-071,Johnson County,Arkansas,50.1,9.1,129,41
AR-073,Lafayette County,Arkansas,54.9,7.4,128,47.5
AR-075,Lawrence County,Arkansas,49.8,9.7,129,40.1
AR-077,Lee County,Arkansas,52,8,126,44
AR-079,Lincoln County,Arkansas,53.6,7.8,127,45.8
AR-081,Little River County,Arkansas,54.6,8.3,129,46.3
AR-083,Logan County,Arkansas,51.8,9.2,129,42.6
AR-085,Lonoke County,Arkansas,52.3,8.1,128,44.2
AR-087,Madison County,Arkansas,48,9.1,129,38.9
AR-089,Marion County,Arkansas,49.4,10.6,130,38.8
AR-091,Miller County,Arkansas,55.5,8,128,47.5
AR-093,Mississippi County,Arkansas,51,9.6,129,41.4
AR-095,Monroe County,Arkansas,52,7.9,125,44.1
AR-097,Montgomery County,Arkansas,52.3,8.9,129,43.4
AR-099,Nevada County,Arkansas,53.4,7,125,46.4
AR-101,Newton County,Arkansas,48.3,9.6,129,38.7
AR-103,Ouachita County,Arkansas,53.9,7,126,46.9
AR-105,Perry County,Arkansas,51.8,8.4,129,43.4
AR-107,Phillips County,Arkansas,52.3,7.7,125,44.6
AR-109,Pike County,Arkansas,52.2,7.6,128,44.6
AR-111,Poinsett County,Arkansas,50.8,9.2,129,41.6
AR-113,Polk County,Arkansas,51.1,8.4,129,42.7
AR-115,Pope County,Arkansas,50.1,8.6,129,41.5
AR-117,Prairie County,Arkansas,52.1,8,127,44.1
AR-119,Pulaski County,Arkansas,52.5,8.2,129,44.3
AR-121,Randolph County,Arkansas,49.4,10.1,130,39.3
AR-123,St. Francis County,Arkansas,51.8,8.4,127,43.4
AR-125,Saline County,Arkansas,52.2,8,129,44.2
AR-127,Scott County,Arkansas,52,9.3,129,42.7
AR-129,Searcy County,Arkansas,49.4,10.2,129,39.2
AR-131,Sebastian County,Arkansas,52.2,9.4,129,42.8
AR-133,Sevier County,Arkansas,53,7.8,129,45.2
AR-135,Sharp County,Arkansas,49.3,10.3,129,39
AR-137,Stone County,Arkansas,50.8,11,130,39.8
AR-139,Union County,Arkansas,54.6,7.1,127,47.5
AR-141,Van Buren County,Arkansas,50.2,9.5,129,40.7
AR-143,Washington County,Arkansas,48,8.4,127,39.6
AR-145,White County,Arkansas,51.7,9,129,42.7
AR-147,Woodruff County,Arkansas,51,8.1,125,42.9
AR-149,Yell County,Arkansas,52.2,9.1,129,43.1
CA-001,Alameda County,California,51,1.5,90,49.5
CA-003,Alpine County,California,30.9,0.6,64,30.3
CA-005,Amador County,California,46.9,1.2,86,45.7
CA-007,Butte County,California,47.6,0.7,62,46.9
CA-009,Calaveras County,California,47.2,1.3,86,45.9
CA-011,Colusa County,California,49.8,1.2,80,48.6
CA-013,Contra Costa County,California,51.8,1.8,97,50
CA-015,Del Norte County,California,43.3,1.8,94,41.5
CA-017,El Dorado County,California,41.8,0.5,69,41.3
CA-019,Fresno County,California,44.3,2,98,42.3
CA-021,Glenn County,California,48.3,1.2,84,47.1
CA-023,Humboldt County,California,46.2,2.1,101,44.1
CA-025,Imperial County,California,60.4,2,93,58.4
CA-027,Inyo County,California,45.6,0.9,74,44.7
CA-029,Kern County,California,49.9,2.1,97,47.8
CA-031,Kings County,California,53.6,3.1,115,50.5
CA-033,Lake County,California,46.2,1.2,81,45
CA-035,Lassen County,California,35,2.4,95,32.6
CA-037,Los Angeles County,California,51,1.5,84,49.5
CA-039,Madera County,California,45,2.1,97,42.9
CA-041,Marin County,California,51.1,1.3,86,49.8
