ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
01001,Autauga County,Alabama,6.95,0.84,90,6.11
01003,Baldwin County,Alabama,5.51,-0.63,70,6.14
01005,Barbour County,Alabama,6.95,1.14,92,5.81
01007,Bibb County,Alabama,6.24,-0.1,73,6.34
01009,Blount County,Alabama,5.53,-0.73,60,6.26
01011,Bullock County,Alabama,7.14,1,94,6.14
01013,Butler County,Alabama,7.13,0.82,89,6.31
01015,Calhoun County,Alabama,4.83,-1.33,49,6.16
01017,Chambers County,Alabama,6.57,0.28,78,6.29
01019,Cherokee County,Alabama,5.96,-0.14,76,6.1
01021,Chilton County,Alabama,6.25,0,76,6.25
01023,Choctaw County,Alabama,9.8,3.47,115,6.33
01025,Clarke County,Alabama,9.39,3.08,114,6.31
01027,Clay County,Alabama,5.95,-0.53,63,6.48
01029,Cleburne County,Alabama,5.22,-0.97,58,6.19
01031,Coffee County,Alabama,7.51,1.5,103,6.01
01033,Colbert County,Alabama,6.29,0.29,83,6
01035,Conecuh County,Alabama,6.74,0.34,81,6.4
01037,Coosa County,Alabama,6.84,0.54,85,6.3
01039,Covington County,Alabama,6.64,0.45,87,6.19
01041,Crenshaw County,Alabama,7.7,1.37,93,6.33
01043,Cullman County,Alabama,6.7,0.51,82,6.19
01045,Dale County,Alabama,7.24,1.55,101,5.69
01047,Dallas County,Alabama,7.17,1.06,93,6.11
01049,DeKalb County,Alabama,5.84,-0.4,69,6.24
01051,Elmore County,Alabama,7.26,1.06,93,6.2
01053,Escambia County,Alabama,6.27,-0.02,74,6.29
01055,Etowah County,Alabama,4.75,-1.51,45,6.26
01057,Fayette County,Alabama,8.16,1.98,104,6.18
01059,Franklin County,Alabama,6.48,0.36,82,6.12
01061,Geneva County,Alabama,6.99,1.27,96,5.72
01063,Greene County,Alabama,8.19,2.24,109,5.95
01065,Hale County,Alabama,8.86,2.66,113,6.2
01067,Henry County,Alabama,6.75,1.12,88,5.63
01069,Houston County,Alabama,6.25,0.72,86,5.53
01071,Jackson County,Alabama,6.1,-0.02,76,6.12
01073,Jefferson County,Alabama,5.18,-1.05,55,6.23
01075,Lamar County,Alabama,7.89,1.88,102,6.02
01077,Lauderdale County,Alabama,6.34,0.27,82,6.07
01079,Lawrence County,Alabama,6.42,0.55,88,5.87
01081,Lee County,Alabama,6.7,0.43,84,6.27
01083,Limestone County,Alabama,6.31,0.32,84,5.99
01085,Lowndes County,Alabama,7.19,1.12,93,6.07
01087,Macon County,Alabama,6.84,0.63,85,6.21
01089,Madison County,Alabama,5.97,-0.07,73,6.04
01091,Marengo County,Alabama,9.69,3.47,114,6.22
01093,Marion County,Alabama,6.81,0.62,83,6.19
01095,Marshall County,Alabama,5.25,-0.92,50,6.17
01097,Mobile County,Alabama,5.99,-0.34,71,6.33
01099,Monroe County,Alabama,7.54,1.28,97,6.26
01101,Montgomery County,Alabama,7.73,1.61,98,6.12
01103,Morgan County,Alabama,5.81,-0.18,74,5.99
01105,Perry County,Alabama,8.38,2.16,103,6.22
01107,Pickens County,Alabama,7.55,1.7,103,5.85
01109,Pike County,Alabama,7.69,1.4,98,6.29
01111,Randolph County,Alabama,5.67,-0.68,66,6.35
01113,Russell County,Alabama,6.84,1.11,98,5.73
01115,St. Clair County,Alabama,5.14,-1.18,52,6.32
01117,Shelby County,Alabama,5.21,-1.15,52,6.36
01119,Sumter County,Alabama,8.98,2.87,114,6.11
01121,Talladega County,Alabama,5.4,-0.86,62,6.26
01123,Tallapoosa County,Alabama,7.19,0.76,86,6.43
01125,Tuscaloosa County,Alabama,6.37,0.15,78,6.22
01127,Walker County,Alabama,7.81,1.58,96,6.23
01129,Washington County,Alabama,8.96,2.52,110,6.44
01131,Wilcox County,Alabama,8,1.84,101,6.16
01133,Winston County,Alabama,7.86,1.71,98,6.1502013,Aleutians East Borough,Alaska,3.81,0.76,71,3.05
02016,Aleutians West Census Area,Alaska,4.1,-1.26,42,5.36
02020,Anchorage Municipality,Alaska,2.63,-1.69,24,4.32
02050,Bethel Census Area,Alaska,1.41,0.3,71,1.11
02060,Bristol Bay Borough,Alaska,1.35,0.32,72,1.03
02063,Chugach Census Area,Alaska,13.72,3.15,80,10.57
02066,Copper River Census Area,Alaska,4.43,1.98,92,2.45
02068,Denali Borough,Alaska,0.62,-0.47,31,1.09
02070,Dillingham Census Area,Alaska,2.46,0.5,71,1.96
02090,Fairbanks North Star Borough,Alaska,0.32,-0.25,30,0.57
02100,Haines Borough,Alaska,6.13,0.19,56,5.94
02105,Hoonah-Angoon Census Area,Alaska,8.66,-0.82,44,9.48
02110,Juneau City and Borough,Alaska,8.86,-2.74,27,11.6
02122,Kenai Peninsula Borough,Alaska,2.64,-1.43,25,4.07
02130,Ketchikan Gateway Borough,Alaska,9.71,-1.64,36,11.35
02150,Kodiak Island Borough,Alaska,4.01,-0.56,46,4.57
02158,Kusilvak Census Area,Alaska,1.71,0.77,86,0.94
