ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
01001,Autauga County,Alabama,52.8,3.6,105,49.2
01003,Baldwin County,Alabama,57.2,3.6,106,53.6
01005,Barbour County,Alabama,53.3,2.7,95,50.6
01007,Bibb County,Alabama,52.1,4.8,113,47.3
01009,Blount County,Alabama,50.3,5.8,119,44.5
01011,Bullock County,Alabama,53,3.3,103,49.7
01013,Butler County,Alabama,53.3,2.8,96,50.5
01015,Calhoun County,Alabama,50.6,5.3,118,45.3
01017,Chambers County,Alabama,50.7,4.2,109,46.5
01019,Cherokee County,Alabama,49.7,5.3,119,44.4
01021,Chilton County,Alabama,51.9,4.3,111,47.6
01023,Choctaw County,Alabama,54.4,4.3,107,50.1
01025,Clarke County,Alabama,54.7,3.9,108,50.8
01027,Clay County,Alabama,50.2,4.5,112,45.7
01029,Cleburne County,Alabama,49.9,5.6,117,44.4
01031,Coffee County,Alabama,52.9,1.3,84,51.6
01033,Colbert County,Alabama,50.1,7.2,122,42.9
01035,Conecuh County,Alabama,54.3,2.6,96,51.7
01037,Coosa County,Alabama,51.3,3.9,110,47.4
01039,Covington County,Alabama,53.7,1.8,88,51.9
01041,Crenshaw County,Alabama,52.7,2.3,91,50.4
01043,Cullman County,Alabama,50,6,120,44
01045,Dale County,Alabama,53.2,1.3,86,51.9
01047,Dallas County,Alabama,53.5,3.8,106,49.7
01049,DeKalb County,Alabama,48.6,5.7,119,42.9
01051,Elmore County,Alabama,52.6,3.6,108,49
01053,Escambia County,Alabama,55.4,2.8,98,52.6
01055,Etowah County,Alabama,50.3,5.5,119,44.8
01057,Fayette County,Alabama,50.9,5.1,116,45.8
01059,Franklin County,Alabama,49.8,6.6,119,43.2
01061,Geneva County,Alabama,53.4,0.9,78,52.5
01063,Greene County,Alabama,53.3,5.1,114,48.2
01065,Hale County,Alabama,53.2,5,114,48.2
01067,Henry County,Alabama,53.6,1.9,87,51.7
01069,Houston County,Alabama,54.1,1.2,83,52.9
01071,Jackson County,Alabama,48.8,6,120,42.8
01073,Jefferson County,Alabama,51.5,5.5,118,46
01075,Lamar County,Alabama,51.5,5.6,118,45.9
01077,Lauderdale County,Alabama,49.5,7.1,121,42.4
