ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,6.95,0.84,90,6.11
AL-003,Baldwin County,Alabama,5.51,-0.63,70,6.14
AL-005,Barbour County,Alabama,6.95,1.14,92,5.81
AL-007,Bibb County,Alabama,6.24,-0.1,73,6.34
AL-009,Blount County,Alabama,5.53,-0.73,60,6.26
AL-011,Bullock County,Alabama,7.14,1,94,6.14
AL-013,Butler County,Alabama,7.13,0.82,89,6.31
AL-015,Calhoun County,Alabama,4.83,-1.33,49,6.16
AL-017,Chambers County,Alabama,6.57,0.28,78,6.29
AL-019,Cherokee County,Alabama,5.96,-0.14,76,6.1
AL-021,Chilton County,Alabama,6.25,0,76,6.25
AL-023,Choctaw County,Alabama,9.8,3.47,115,6.33
AL-025,Clarke County,Alabama,9.39,3.08,114,6.31
AL-027,Clay County,Alabama,5.95,-0.53,63,6.48
AL-029,Cleburne County,Alabama,5.22,-0.97,58,6.19
AL-031,Coffee County,Alabama,7.51,1.5,103,6.01
AL-033,Colbert County,Alabama,6.29,0.29,83,6
AL-035,Conecuh County,Alabama,6.74,0.34,81,6.4
AL-037,Coosa County,Alabama,6.84,0.54,85,6.3
AL-039,Covington County,Alabama,6.64,0.45,87,6.19
AL-041,Crenshaw County,Alabama,7.7,1.37,93,6.33
AL-043,Cullman County,Alabama,6.7,0.51,82,6.19
AL-045,Dale County,Alabama,7.24,1.55,101,5.69
AL-047,Dallas County,Alabama,7.17,1.06,93,6.11
AL-049,DeKalb County,Alabama,5.84,-0.4,69,6.24
AL-051,Elmore County,Alabama,7.26,1.06,93,6.2
AL-053,Escambia County,Alabama,6.27,-0.02,74,6.29
AL-055,Etowah County,Alabama,4.75,-1.51,45,6.26
AL-057,Fayette County,Alabama,8.16,1.98,104,6.18
AL-059,Franklin County,Alabama,6.48,0.36,82,6.12
AL-061,Geneva County,Alabama,6.99,1.27,96,5.72
AL-063,Greene County,Alabama,8.19,2.24,109,5.95
