ID,Name,State,Value,Anomaly (1901-2000 base period),"Rank,1901-2000 Mean"
01001,Autauga County,Alabama,3.84,-1,57,4.84
01003,Baldwin County,Alabama,3.59,-1.1,56,4.69
01005,Barbour County,Alabama,5.79,1.49,92,4.3
01007,Bibb County,Alabama,3.68,-1.28,48,4.96
01009,Blount County,Alabama,4.23,-0.73,54,4.96
01011,Bullock County,Alabama,4.88,0.47,82,4.41
01013,Butler County,Alabama,5.48,0.66,84,4.82
01015,Calhoun County,Alabama,4.31,-0.56,58,4.87
01017,Chambers County,Alabama,4.66,-0.08,74,4.74
01019,Cherokee County,Alabama,4,-0.83,52,4.83
01021,Chilton County,Alabama,4.19,-0.73,63,4.92
01023,Choctaw County,Alabama,3.67,-1.28,46,4.95
01025,Clarke County,Alabama,4.69,-0.26,74,4.95
01027,Clay County,Alabama,3.85,-1.21,49,5.06
01029,Cleburne County,Alabama,4.77,-0.16,65,4.93
01031,Coffee County,Alabama,5.69,1.1,90,4.59
01033,Colbert County,Alabama,4.03,-0.86,49,4.89
01035,Conecuh County,Alabama,5.56,0.75,81,4.81
01037,Coosa County,Alabama,4.05,-0.89,55,4.94
01039,Covington County,Alabama,5.81,1,88,4.81
01041,Crenshaw County,Alabama,5.43,0.79,84,4.64
01043,Cullman County,Alabama,5.09,0.12,71,4.97
01045,Dale County,Alabama,5.49,1.13,88,4.36
01047,Dallas County,Alabama,3.14,-1.59,40,4.73
01049,DeKalb County,Alabama,4.4,-0.56,59,4.96
01051,Elmore County,Alabama,4.3,-0.42,71,4.72
01053,Escambia County,Alabama,5.75,0.96,88,4.79
01055,Etowah County,Alabama,3.93,-1,46,4.93
01057,Fayette County,Alabama,3.95,-1.17,51,5.12
01059,Franklin County,Alabama,4.08,-0.99,47,5.07
01061,Geneva County,Alabama,6.46,1.93,97,4.53
01063,Greene County,Alabama,3.85,-1.13,52,4.98
01065,Hale County,Alabama,4.65,-0.28,74,4.93
01067,Henry County,Alabama,5.98,1.72,94,4.26
01069,Houston County,Alabama,6.74,2.51,105,4.23
01071,Jackson County,Alabama,4.67,-0.16,69,4.83
01073,Jefferson County,Alabama,3.09,-1.76,35,4.85
01075,Lamar County,Alabama,3.66,-1.47,45,5.13
01077,Lauderdale County,Alabama,4.51,-0.31,66,4.82
01079,Lawrence County,Alabama,4.86,0.06,74,4.8
01081,Lee County,Alabama,5.29,0.74,91,4.55
01083,Limestone County,Alabama,5.63,0.95,92,4.68
01085,Lowndes County,Alabama,3.51,-1.09,54,4.6
01087,Macon County,Alabama,5.3,0.87,91,4.43
01089,Madison County,Alabama,5.33,0.55,87,4.78
01091,Marengo County,Alabama,3.66,-1.14,50,4.8
01093,Marion County,Alabama,4.57,-0.57,58,5.14
01095,Marshall County,Alabama,4.18,-0.7,52,4.88
01097,Mobile County,Alabama,2.54,-2.34,33,4.88
01099,Monroe County,Alabama,5.11,0.29,80,4.82
