ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
01001,Autauga County,Alabama,62.3,-1.3,37,63.6
01003,Baldwin County,Alabama,64.9,-1.5,34,66.4
01005,Barbour County,Alabama,62.4,-2.1,22,64.5
01007,Bibb County,Alabama,61.2,-1.3,40,62.5
01009,Blount County,Alabama,59.4,-0.9,43,60.3
01011,Bullock County,Alabama,62.1,-1.7,29,63.8
01013,Butler County,Alabama,62.2,-2.2,23,64.4
01015,Calhoun County,Alabama,59.3,-1.4,34,60.7
01017,Chambers County,Alabama,59.7,-1.6,34,61.3
01019,Cherokee County,Alabama,59.2,-1.2,39,60.4
01021,Chilton County,Alabama,61,-1.4,36,62.4
01023,Choctaw County,Alabama,63.3,-1.1,50,64.4
01025,Clarke County,Alabama,63.3,-1.4,40,64.7
01027,Clay County,Alabama,58.7,-1.9,28,60.6
01029,Cleburne County,Alabama,58.3,-1.4,37,59.7
01031,Coffee County,Alabama,62.9,-2.2,21,65.1
01033,Colbert County,Alabama,59.2,-0.6,51,59.8
01035,Conecuh County,Alabama,62.9,-2.2,23,65.1
01037,Coosa County,Alabama,60.3,-1.7,31,62
01039,Covington County,Alabama,63,-2.3,20,65.3
01041,Crenshaw County,Alabama,62.4,-1.9,28,64.3
01043,Cullman County,Alabama,58.9,-1.2,40,60.1
01045,Dale County,Alabama,63.1,-2.3,20,65.4
01047,Dallas County,Alabama,62.2,-1.8,27,64
01049,DeKalb County,Alabama,58,-1.2,39,59.2
01051,Elmore County,Alabama,62,-1.3,39,63.3
01053,Escambia County,Alabama,63.7,-2,26,65.7
01055,Etowah County,Alabama,59.4,-1.2,37,60.6
01057,Fayette County,Alabama,60.2,-1.5,32,61.7
01059,Franklin County,Alabama,59,-0.8,49,59.8
01061,Geneva County,Alabama,63.8,-2.1,24,65.9
01063,Greene County,Alabama,62.4,-1.2,42,63.6
01065,Hale County,Alabama,62.1,-1.3,38,63.4
01067,Henry County,Alabama,63.1,-2.3,21,65.4
01069,Houston County,Alabama,64.2,-2.1,24,66.3
01071,Jackson County,Alabama,57.8,-1.6,32,59.4
01073,Jefferson County,Alabama,60.9,-0.6,51,61.5
01075,Lamar County,Alabama,60.4,-1.4,36,61.8
01077,Lauderdale County,Alabama,58.7,-0.8,51,59.5
01079,Lawrence County,Alabama,58.6,-1.3,35,59.9
01081,Lee County,Alabama,60.8,-1.6,37,62.4
01083,Limestone County,Alabama,58.8,-1,45,59.8
01085,Lowndes County,Alabama,63,-1.4,37,64.4
01087,Macon County,Alabama,62.1,-1.4,42,63.5
01089,Madison County,Alabama,58.9,-0.9,44,59.8
01091,Marengo County,Alabama,62.8,-1.3,44,64.1
01093,Marion County,Alabama,59.3,-1.2,41,60.5
01095,Marshall County,Alabama,58.9,-1.2,36,60.1
01097,Mobile County,Alabama,65.4,-0.8,50,66.2
01099,Monroe County,Alabama,63.1,-1.8,32,64.9
01101,Montgomery County,Alabama,63,-1.1,40,64.1
01103,Morgan County,Alabama,58.8,-1.3,35,60.1
01105,Perry County,Alabama,61.6,-1.7,32,63.3
01107,Pickens County,Alabama,61.8,-1,43,62.8
01109,Pike County,Alabama,62.4,-2,26,64.4
01111,Randolph County,Alabama,58.9,-1.3,36,60.2
01113,Russell County,Alabama,62,-1.7,31,63.7
01115,St. Clair County,Alabama,59.7,-1.1,43,60.8
01117,Shelby County,Alabama,60.7,-1,44,61.7
01119,Sumter County,Alabama,63,-0.8,52,63.8
01121,Talladega County,Alabama,59.8,-1.7,31,61.5
01123,Tallapoosa County,Alabama,59.9,-1.9,26,61.8
01125,Tuscaloosa County,Alabama,61.8,-1,46,62.8
01127,Walker County,Alabama,60.3,-1,43,61.3
01129,Washington County,Alabama,63.9,-1.4,40,65.3
01131,Wilcox County,Alabama,62.6,-1.8,27,64.4
01133,Winston County,Alabama,59,-1,45,60
04001,Apache County,Arizona,47,-0.4,45,47.4
04003,Cochise County,Arizona,58.8,0.5,67,58.3
04005,Coconino County,Arizona,49.4,-0.1,54,49.5
04007,Gila County,Arizona,56.1,0.7,68,55.4
04009,Graham County,Arizona,58.2,0.6,70,57.6
04011,Greenlee County,Arizona,53.6,0.3,60,53.3
04012,La Paz County,Arizona,68.1,0.3,64,67.8
04013,Maricopa County,Arizona,67.1,0.8,68,66.3
04015,Mohave County,Arizona,58.1,-0.2,53,58.3
04017,Navajo County,Arizona,49,-0,52,49
04019,Pima County,Arizona,64.3,0.6,66,63.7
04021,Pinal County,Arizona,65.7,0.8,69,64.9
04023,Santa Cruz County,Arizona,58,0.7,67,57.3
04025,Yavapai County,Arizona,55.2,0.3,61,54.9
04027,Yuma County,Arizona,68.6,0.3,59,68.3
05001,Arkansas County,Arkansas,62.2,-0.1,70,62.3
05003,Ashley County,Arkansas,63,-0.3,64,63.3
05005,Baxter County,Arkansas,56.6,-0.7,46,57.3
05007,Benton County,Arkansas,56.1,-1.3,44,57.4
05009,Boone County,Arkansas,55.5,-1.3,37,56.8
05011,Bradley County,Arkansas,61.8,-1,43,62.8
05013,Calhoun County,Arkansas,61.4,-1.4,32,62.8
05015,Carroll County,Arkansas,55.6,-1.2,40,56.8
05017,Chicot County,Arkansas,63.4,-0.2,61,63.6
05019,Clark County,Arkansas,61.2,-0.9,49,62.1
05021,Clay County,Arkansas,58.3,-0.8,45,59.1
05023,Cleburne County,Arkansas,58.1,-0.9,46,59
05025,Cleveland County,Arkansas,61.6,-0.8,48,62.4
05027,Columbia County,Arkansas,61.7,-1.5,33,63.2
05029,Conway County,Arkansas,59.1,-1.2,38,60.3
05031,Craighead County,Arkansas,59.2,-0.5,54,59.7
05033,Crawford County,Arkansas,58.3,-1.1,42,59.4
05035,Crittenden County,Arkansas,61.1,-0.3,62,61.4
05037,Cross County,Arkansas,61,0,68,61
05039,Dallas County,Arkansas,61.5,-0.8,50,62.3
05041,Desha County,Arkansas,62.6,-0.2,68,62.8
05043,Drew County,Arkansas,62.6,-0.2,62,62.8
05045,Faulkner County,Arkansas,59.5,-1.1,43,60.6
05047,Franklin County,Arkansas,57.6,-1.8,31,59.4
05049,Fulton County,Arkansas,56,-1,41,57
05051,Garland County,Arkansas,60,-0.8,50,60.8
05053,Grant County,Arkansas,61.6,-0.6,55,62.2
05055,Greene County,Arkansas,58.5,-0.8,43,59.3
05057,Hempstead County,Arkansas,60.6,-1.8,28,62.4
05059,Hot Spring County,Arkansas,61.1,-0.7,55,61.8
05061,Howard County,Arkansas,59.4,-1.7,33,61.1
05063,Independence County,Arkansas,58.8,-0.2,59,59
05065,Izard County,Arkansas,57.1,-0.6,48,57.7
05067,Jackson County,Arkansas,59.8,0,63,59.8
05069,Jefferson County,Arkansas,61.6,-0.7,52,62.3
05071,Johnson County,Arkansas,56.7,-2,29,58.7
05073,Lafayette County,Arkansas,61.6,-1.6,28,63.2
05075,Lawrence County,Arkansas,58.5,-0.5,49,59
05077,Lee County,Arkansas,61.8,0.2,73,61.6
05079,Lincoln County,Arkansas,62.4,-0.1,63,62.5
05081,Little River County,Arkansas,60.6,-1.7,27,62.3
05083,Logan County,Arkansas,58.4,-1.8,29,60.2
05085,Lonoke County,Arkansas,60.8,-0.9,48,61.7
05087,Madison County,Arkansas,54.9,-1.6,34,56.5
05089,Marion County,Arkansas,56.4,-0.8,46,57.2
05091,Miller County,Arkansas,61.6,-1.6,29,63.2
05093,Mississippi County,Arkansas,60.3,-0,66,60.3
05095,Monroe County,Arkansas,61.6,-0.2,62,61.8
05097,Montgomery County,Arkansas,59.1,-1,48,60.1
05099,Nevada County,Arkansas,61.1,-1.5,31,62.6
05101,Newton County,Arkansas,55,-1.4,34,56.4
05103,Ouachita County,Arkansas,61.4,-1.6,29,63
05105,Perry County,Arkansas,59.7,-1.1,41,60.8
