ID,Name,State,Value,Anomaly (1901-2000 base period),"Rank,1901-2000 Mean"
01001,Autauga County,Alabama,3.99,-0.13,73,4.12
01003,Baldwin County,Alabama,6.36,0.18,66,6.18
01005,Barbour County,Alabama,6.3,1.75,108,4.55
01007,Bibb County,Alabama,5.03,0.9,91,4.13
01009,Blount County,Alabama,5.17,0.98,94,4.19
01011,Bullock County,Alabama,5.25,1.1,96,4.15
01013,Butler County,Alabama,6.55,1.99,106,4.56
01015,Calhoun County,Alabama,6.14,2.03,109,4.11
01017,Chambers County,Alabama,4.01,-0.15,62,4.16
01019,Cherokee County,Alabama,4.23,0.23,76,4
01021,Chilton County,Alabama,4.25,0.03,75,4.22
01023,Choctaw County,Alabama,6.52,2.26,112,4.26
01025,Clarke County,Alabama,5.51,0.55,80,4.96
01027,Clay County,Alabama,5.64,1.53,105,4.11
01029,Cleburne County,Alabama,7.32,3.32,118,4
01031,Coffee County,Alabama,6.92,1.85,101,5.07
01033,Colbert County,Alabama,2.86,-0.83,45,3.69
01035,Conecuh County,Alabama,4.99,-0.07,67,5.06
01037,Coosa County,Alabama,5.76,1.61,107,4.15
01039,Covington County,Alabama,6.8,1.45,91,5.35
01041,Crenshaw County,Alabama,5.99,1.47,98,4.52
01043,Cullman County,Alabama,5.26,1.3,96,3.96
01045,Dale County,Alabama,6.49,1.37,92,5.12
01047,Dallas County,Alabama,4.88,0.94,90,3.94
01049,DeKalb County,Alabama,3.81,-0.3,64,4.11
01051,Elmore County,Alabama,5.55,1.41,105,4.14
01053,Escambia County,Alabama,5.73,0.09,67,5.64
01055,Etowah County,Alabama,4.03,-0.1,73,4.13
01057,Fayette County,Alabama,5.33,1.49,107,3.84
01059,Franklin County,Alabama,3.55,-0.2,59,3.75
01061,Geneva County,Alabama,7.91,2.34,109,5.57
01063,Greene County,Alabama,6.81,3.13,119,3.68
01065,Hale County,Alabama,6.33,2.43,113,3.9
01067,Henry County,Alabama,6.74,1.84,103,4.9
01069,Houston County,Alabama,5.77,0.5,81,5.27
01071,Jackson County,Alabama,4.05,0.19,75,3.86
01073,Jefferson County,Alabama,5.28,1.07,95,4.21
01075,Lamar County,Alabama,5.23,1.46,103,3.77
01077,Lauderdale County,Alabama,2.97,-0.74,48,3.71
01079,Lawrence County,Alabama,4.17,0.56,80,3.61
01081,Lee County,Alabama,5.43,1.45,101,3.98
01083,Limestone County,Alabama,3.67,0.08,75,3.59
01085,Lowndes County,Alabama,4.4,0.36,83,4.04
01087,Macon County,Alabama,5.96,2.01,112,3.95
01089,Madison County,Alabama,4.34,0.62,89,3.72
01091,Marengo County,Alabama,6.96,2.91,119,4.05
01093,Marion County,Alabama,5.04,1.24,97,3.8
01095,Marshall County,Alabama,5.75,1.81,106,3.94
01097,Mobile County,Alabama,6.9,1.04,83,5.86
01099,Monroe County,Alabama,4.38,-0.55,51,4.93
01101,Montgomery County,Alabama,4.04,-0.06,73,4.1
01103,Morgan County,Alabama,4.87,1.21,98,3.66
01105,Perry County,Alabama,5.67,1.69,107,3.98
01107,Pickens County,Alabama,5.76,2.04,110,3.72
01109,Pike County,Alabama,5.2,0.7,83,4.5
01111,Randolph County,Alabama,4.89,0.73,89,4.16
01113,Russell County,Alabama,6.67,2.62,116,4.05
01115,St. Clair County,Alabama,4.93,0.81,93,4.12
01117,Shelby County,Alabama,4.37,0.06,77,4.31
01119,Sumter County,Alabama,6.59,2.78,118,3.81
01121,Talladega County,Alabama,6.03,1.97,107,4.06
01123,Tallapoosa County,Alabama,5.2,1.03,101,4.17
01125,Tuscaloosa County,Alabama,6.76,2.78,116,3.98
01127,Walker County,Alabama,6.88,2.82,117,4.06
01129,Washington County,Alabama,6.27,1.28,92,4.99
01131,Wilcox County,Alabama,5.71,1.43,102,4.28
01133,Winston County,Alabama,6.38,2.49,119,3.89
04001,Apache County,Arizona,0.57,-1.6,1,2.17
04003,Cochise County,Arizona,1.82,-1.38,17,3.2
04005,Coconino County,Arizona,0.42,-1.61,2,2.03
04007,Gila County,Arizona,0.85,-2.27,2,3.12
