ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
01001,Autauga County,Alabama,78.8,-1.2,24,80
01003,Baldwin County,Alabama,79.7,-1.2,17,80.9
01005,Barbour County,Alabama,78.8,-1.1,25,79.9
01007,Bibb County,Alabama,78,-1.5,19,79.5
01009,Blount County,Alabama,76.9,-1,33,77.9
01011,Bullock County,Alabama,78.7,-0.9,28,79.6
01013,Butler County,Alabama,77.9,-1.9,7,79.8
01015,Calhoun County,Alabama,77.3,-0.7,40,78
01017,Chambers County,Alabama,77,-0.8,38,77.8
01019,Cherokee County,Alabama,77.4,-0.7,38,78.1
01021,Chilton County,Alabama,78,-1.1,28,79.1
01023,Choctaw County,Alabama,78.4,-2,10,80.4
01025,Clarke County,Alabama,78.5,-1.7,14,80.2
01027,Clay County,Alabama,76,-0.9,35,76.9
01029,Cleburne County,Alabama,76,-0.7,41,76.7
01031,Coffee County,Alabama,78.9,-1.1,25,80
01033,Colbert County,Alabama,76.1,-2.1,14,78.2
01035,Conecuh County,Alabama,78.2,-2.2,7,80.4
01037,Coosa County,Alabama,77.5,-1,30,78.5
01039,Covington County,Alabama,78.6,-1.7,9,80.3
01041,Crenshaw County,Alabama,77.8,-1.7,9,79.5
01043,Cullman County,Alabama,76.7,-1.1,34,77.8
01045,Dale County,Alabama,78.9,-1.3,15,80.2
01047,Dallas County,Alabama,79,-1.2,22,80.2
01049,DeKalb County,Alabama,75.7,-0.8,41,76.5
01051,Elmore County,Alabama,78.8,-1,29,79.8
01053,Escambia County,Alabama,78.8,-1.8,9,80.6
01055,Etowah County,Alabama,77.4,-0.7,39,78.1
01057,Fayette County,Alabama,77.6,-2,18,79.6
01059,Franklin County,Alabama,76.4,-1.5,27,77.9
01061,Geneva County,Alabama,79.9,-0.5,42,80.4
01063,Greene County,Alabama,78.6,-2.2,12,80.8
01065,Hale County,Alabama,78.7,-1.6,20,80.3
01067,Henry County,Alabama,78.8,-1.6,11,80.4
01069,Houston County,Alabama,79.6,-1.2,17,80.8
01071,Jackson County,Alabama,76.1,-0.8,41,76.9
01073,Jefferson County,Alabama,77.6,-1.5,23,79.1
01075,Lamar County,Alabama,77.9,-1.8,24,79.7
01077,Lauderdale County,Alabama,75.5,-2.2,9,77.7
01079,Lawrence County,Alabama,76.3,-1.7,23,78
01081,Lee County,Alabama,78,-0.8,35,78.8
01083,Limestone County,Alabama,76.8,-1,38,77.8
01085,Lowndes County,Alabama,79.1,-1.2,22,80.3
01087,Macon County,Alabama,79,-0.9,33,79.9
01089,Madison County,Alabama,76.7,-1,39,77.7
01091,Marengo County,Alabama,78.6,-1.7,14,80.3
01093,Marion County,Alabama,77,-1.6,28,78.6
01095,Marshall County,Alabama,76.7,-1,38,77.7
01097,Mobile County,Alabama,79.7,-1.1,18,80.8
01099,Monroe County,Alabama,78.4,-1.8,8,80.2
01101,Montgomery County,Alabama,79.2,-1.1,28,80.3
01103,Morgan County,Alabama,76.8,-1.1,34,77.9
01105,Perry County,Alabama,78.5,-1.4,21,79.9
