ID,Name,State,Value,Anomaly (1901-2000 base period),"Rank,1901-2000 Mean"
01001,Autauga County,Alabama,10.24,5.15,127,5.09
01003,Baldwin County,Alabama,14.48,9.57,129,4.91
01005,Barbour County,Alabama,14.78,10.08,128,4.7
01007,Bibb County,Alabama,8.28,3.07,113,5.21
01009,Blount County,Alabama,7.35,2.09,103,5.26
01011,Bullock County,Alabama,13.53,8.71,128,4.82
01013,Butler County,Alabama,15.52,10.43,129,5.09
01015,Calhoun County,Alabama,7.47,2.56,107,4.91
01017,Chambers County,Alabama,10.93,5.98,126,4.95
01019,Cherokee County,Alabama,7.63,2.56,111,5.07
01021,Chilton County,Alabama,9.69,4.64,122,5.05
01023,Choctaw County,Alabama,13.03,7.53,127,5.5
01025,Clarke County,Alabama,16.6,11.26,129,5.34
01027,Clay County,Alabama,9.78,4.58,121,5.2
01029,Cleburne County,Alabama,8.63,3.71,119,4.92
01031,Coffee County,Alabama,13.97,9.1,127,4.87
01033,Colbert County,Alabama,4.96,-0.55,62,5.51
01035,Conecuh County,Alabama,17.49,12.45,129,5.04
01037,Coosa County,Alabama,9.6,4.47,122,5.13
01039,Covington County,Alabama,14.7,9.8,128,4.9
01041,Crenshaw County,Alabama,15.13,10.16,128,4.97
01043,Cullman County,Alabama,7.68,2.2,104,5.48
01045,Dale County,Alabama,13.82,9.12,127,4.7
01047,Dallas County,Alabama,10.59,5.41,126,5.18
01049,DeKalb County,Alabama,8.2,2.88,110,5.32
01051,Elmore County,Alabama,10.59,5.44,125,5.15
01053,Escambia County,Alabama,17.62,12.59,129,5.03
01055,Etowah County,Alabama,7.78,2.62,110,5.16
01057,Fayette County,Alabama,6.87,1.42,97,5.45
01059,Franklin County,Alabama,5.38,-0.15,72,5.53
01061,Geneva County,Alabama,11.59,6.86,126,4.73
01063,Greene County,Alabama,7.51,2.37,106,5.14
01065,Hale County,Alabama,8.11,2.93,112,5.18
01067,Henry County,Alabama,14.04,9.44,127,4.6
01069,Houston County,Alabama,11.34,6.85,127,4.49
01071,Jackson County,Alabama,7.54,2.16,102,5.38
01073,Jefferson County,Alabama,7.06,1.78,102,5.28
