ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
01001,Autauga County,Alabama,49.4,0.2,70,49.2
01003,Baldwin County,Alabama,53.5,-0.1,63,53.6
01005,Barbour County,Alabama,49.1,-1.5,49,50.6
01007,Bibb County,Alabama,48,0.7,73,47.3
01009,Blount County,Alabama,45.2,0.7,74,44.5
01011,Bullock County,Alabama,48.8,-0.9,51,49.7
01013,Butler County,Alabama,49.2,-1.3,49,50.5
01015,Calhoun County,Alabama,45.8,0.5,75,45.3
01017,Chambers County,Alabama,46.2,-0.3,59,46.5
01019,Cherokee County,Alabama,45.2,0.8,75,44.4
01021,Chilton County,Alabama,48.3,0.7,75,47.6
01023,Choctaw County,Alabama,51.2,1.1,78,50.1
01025,Clarke County,Alabama,51.8,1,79,50.8
01027,Clay County,Alabama,45.4,-0.3,60,45.7
01029,Cleburne County,Alabama,45,0.7,77,44.4
01031,Coffee County,Alabama,49.3,-2.3,38,51.6
01033,Colbert County,Alabama,45.1,2.2,85,42.9
01035,Conecuh County,Alabama,50.6,-1.1,49,51.7
01037,Coosa County,Alabama,47.2,-0.2,63,47.4
01039,Covington County,Alabama,50.1,-1.8,45,51.9
01041,Crenshaw County,Alabama,48.9,-1.5,48,50.4
01043,Cullman County,Alabama,44.6,0.6,70,44
01045,Dale County,Alabama,49.4,-2.5,38,51.9
01047,Dallas County,Alabama,50,0.3,72,49.7
01049,DeKalb County,Alabama,43.6,0.7,73,42.9
01051,Elmore County,Alabama,48.5,-0.5,59,49
01053,Escambia County,Alabama,51.7,-0.9,53,52.6
01055,Etowah County,Alabama,45.6,0.8,75,44.8
01057,Fayette County,Alabama,46.5,0.7,75,45.8
01059,Franklin County,Alabama,45.1,1.9,82,43.2
01061,Geneva County,Alabama,49.6,-2.9,32,52.5
01063,Greene County,Alabama,48.6,0.4,69,48.2
01065,Hale County,Alabama,48.5,0.3,69,48.2
01067,Henry County,Alabama,49.2,-2.5,38,51.7
01069,Houston County,Alabama,50.1,-2.8,35,52.9
01071,Jackson County,Alabama,43.5,0.7,72,42.8
01073,Jefferson County,Alabama,46.9,0.9,76,46
01075,Lamar County,Alabama,46.7,0.8,74,45.9
01077,Lauderdale County,Alabama,44.6,2.2,87,42.4
01079,Lawrence County,Alabama,45.2,1.9,84,43.3
01081,Lee County,Alabama,47.7,-0.5,58,48.2
01083,Limestone County,Alabama,44.8,1.9,85,42.9
01085,Lowndes County,Alabama,49.7,-0.5,56,50.2
01087,Macon County,Alabama,48.7,-0.7,54,49.4
01089,Madison County,Alabama,44.7,1.6,83,43.1
01091,Marengo County,Alabama,50.5,1,80,49.5
01093,Marion County,Alabama,45.3,1,76,44.3
01095,Marshall County,Alabama,45.1,1.1,77,44
01097,Mobile County,Alabama,53.5,0.3,71,53.2
01099,Monroe County,Alabama,51.1,-0.1,64,51.2
01101,Montgomery County,Alabama,49.3,-0.7,51,50
01103,Morgan County,Alabama,44.8,1.2,77,43.6
01105,Perry County,Alabama,49,0.5,73,48.5
01107,Pickens County,Alabama,48.1,1,77,47.1
01109,Pike County,Alabama,49.1,-1.5,46,50.6
01111,Randolph County,Alabama,45.3,0.1,67,45.2
01113,Russell County,Alabama,49,-0.6,56,49.6
01115,St. Clair County,Alabama,45.9,0.4,73,45.5
01117,Shelby County,Alabama,47.4,0.7,76,46.7
01119,Sumter County,Alabama,49.7,0.8,75,48.9
01121,Talladega County,Alabama,46.6,0,67,46.6
01123,Tallapoosa County,Alabama,46.5,-0.8,53,47.3
01125,Tuscaloosa County,Alabama,47.8,0.7,73,47.1
01127,Walker County,Alabama,46.5,1,75,45.5
01129,Washington County,Alabama,51.7,0.1,63,51.6
01131,Wilcox County,Alabama,50.9,0.6,75,50.3
01133,Winston County,Alabama,45,1.2,78,43.8
04001,Apache County,Arizona,36.7,2.2,92,34.5
04003,Cochise County,Arizona,50.2,3.3,114,46.9
04005,Coconino County,Arizona,38.2,1.7,82,36.5
04007,Gila County,Arizona,46.9,2.6,104,44.3
04009,Graham County,Arizona,48.8,2.7,106,46.1
04011,Greenlee County,Arizona,44.9,2.9,106,42
04012,La Paz County,Arizona,55.7,0.1,59,55.6
04013,Maricopa County,Arizona,56.6,1.9,89,54.7
