ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
01001,Autauga County,Alabama,46.5,0.2,69,46.3
01003,Baldwin County,Alabama,51.9,0.9,80,51
01005,Barbour County,Alabama,48.3,0.5,77,47.8
01007,Bibb County,Alabama,44.6,0.3,69,44.3
01009,Blount County,Alabama,41.3,-0.3,65,41.6
01011,Bullock County,Alabama,47.6,0.8,78,46.8
01013,Butler County,Alabama,47.3,-0.2,70,47.5
01015,Calhoun County,Alabama,43,0.7,72,42.3
01017,Chambers County,Alabama,44.9,1.2,81,43.7
01019,Cherokee County,Alabama,41.4,-0,65,41.4
01021,Chilton County,Alabama,45.2,0.5,71,44.7
01023,Choctaw County,Alabama,47.6,0.5,73,47.1
01025,Clarke County,Alabama,48.5,0.6,73,47.9
01027,Clay County,Alabama,43.5,0.7,73,42.8
01029,Cleburne County,Alabama,42.6,1.1,80,41.5
01031,Coffee County,Alabama,48.7,-0,72,48.7
01033,Colbert County,Alabama,38.8,-1.1,50,39.9
01035,Conecuh County,Alabama,49.1,0.4,76,48.7
01037,Coosa County,Alabama,44.8,0.3,70,44.5
01039,Covington County,Alabama,49.4,0.5,75,48.9
01041,Crenshaw County,Alabama,47.1,-0.3,68,47.4
01043,Cullman County,Alabama,40.1,-1,54,41.1
01045,Dale County,Alabama,49.1,-0,70,49.1
01047,Dallas County,Alabama,46.8,-0,67,46.8
01049,DeKalb County,Alabama,39.3,-0.7,59,40
01051,Elmore County,Alabama,46.4,0.3,68,46.1
01053,Escambia County,Alabama,50.4,0.7,75,49.7
01055,Etowah County,Alabama,41.3,-0.6,61,41.9
01057,Fayette County,Alabama,42.6,-0.2,65,42.8
01059,Franklin County,Alabama,38.7,-1.5,47,40.2
01061,Geneva County,Alabama,50.2,0.5,75,49.7
01063,Greene County,Alabama,45.7,0.5,72,45.2
01065,Hale County,Alabama,46.1,0.8,75,45.3
01067,Henry County,Alabama,49.1,-0,73,49.1
01069,Houston County,Alabama,50.4,0.2,74,50.2
01071,Jackson County,Alabama,38.8,-1.1,54,39.9
01073,Jefferson County,Alabama,43.4,0.3,69,43.1
01075,Lamar County,Alabama,42.4,-0.4,64,42.8
01077,Lauderdale County,Alabama,38.4,-1,51,39.4
01079,Lawrence County,Alabama,39,-1.4,48,40.4
01081,Lee County,Alabama,46.7,1.1,81,45.6
01083,Limestone County,Alabama,38.9,-1,51,39.9
01085,Lowndes County,Alabama,47.2,0,69,47.2
01087,Macon County,Alabama,47.4,0.9,78,46.5
01089,Madison County,Alabama,39.2,-1,52,40.2
01091,Marengo County,Alabama,47.4,0.8,75,46.6
01093,Marion County,Alabama,40.2,-1.1,57,41.3
01095,Marshall County,Alabama,40.1,-0.9,54,41
01097,Mobile County,Alabama,51.6,1.1,82,50.5
01099,Monroe County,Alabama,49.1,0.7,78,48.4
01101,Montgomery County,Alabama,47.2,0.1,67,47.1
01103,Morgan County,Alabama,39.5,-1.1,52,40.6
01105,Perry County,Alabama,45.9,0.3,70,45.6
01107,Pickens County,Alabama,44.2,0.1,67,44.1
01109,Pike County,Alabama,47.4,-0.3,67,47.7
01111,Randolph County,Alabama,43.6,1.3,81,42.3
01113,Russell County,Alabama,48,1,80,47
01115,St. Clair County,Alabama,42.9,0.4,69,42.5
01117,Shelby County,Alabama,44.1,0.4,69,43.7
01119,Sumter County,Alabama,46.5,0.7,75,45.8
01121,Talladega County,Alabama,44,0.4,71,43.6
01123,Tallapoosa County,Alabama,44.8,0.4,71,44.4
01125,Tuscaloosa County,Alabama,44.1,-0.1,65,44.2
01127,Walker County,Alabama,42.1,-0.5,63,42.6
01129,Washington County,Alabama,48.8,0.2,67,48.6
01131,Wilcox County,Alabama,47.8,0.3,73,47.5
01133,Winston County,Alabama,39.7,-1.2,55,40.9
04001,Apache County,Arizona,33.6,3.9,107,29.7
04003,Cochise County,Arizona,47.5,4,119,43.5
04005,Coconino County,Arizona,36.6,4.7,115,31.9
04007,Gila County,Arizona,45.8,4.9,126,40.9
04009,Graham County,Arizona,46.5,3.9,120,42.6
