ID,Name,State,Value,Anomaly (1901-2000 base period),"Rank,1901-2000 Mean"
01001,Autauga County,Alabama,5.66,0.46,92,5.2
01003,Baldwin County,Alabama,5.29,-2.1,36,7.39
01005,Barbour County,Alabama,6.32,0.71,91,5.61
01007,Bibb County,Alabama,6.75,1.5,108,5.25
01009,Blount County,Alabama,6.11,1.16,96,4.95
01011,Bullock County,Alabama,5.47,0.11,78,5.36
01013,Butler County,Alabama,6.79,1.03,97,5.76
01015,Calhoun County,Alabama,4.6,-0.19,71,4.79
01017,Chambers County,Alabama,4.92,-0.4,64,5.32
01019,Cherokee County,Alabama,4.18,-0.51,56,4.69
01021,Chilton County,Alabama,5.8,0.6,94,5.2
01023,Choctaw County,Alabama,3.85,-1.74,33,5.59
01025,Clarke County,Alabama,4.49,-1.46,39,5.95
01027,Clay County,Alabama,5.14,-0.2,73,5.34
01029,Cleburne County,Alabama,4.33,-0.69,57,5.02
01031,Coffee County,Alabama,6.8,0.57,86,6.23
01033,Colbert County,Alabama,5.86,1.47,100,4.39
01035,Conecuh County,Alabama,6.67,0.32,83,6.35
01037,Coosa County,Alabama,6.84,1.55,103,5.29
01039,Covington County,Alabama,6.65,-0,80,6.65
01041,Crenshaw County,Alabama,6.44,0.59,91,5.85
01043,Cullman County,Alabama,6.43,1.45,102,4.98
01045,Dale County,Alabama,6.08,0.11,79,5.97
01047,Dallas County,Alabama,5.26,0.24,84,5.02
01049,DeKalb County,Alabama,4.73,-0.05,72,4.78
01051,Elmore County,Alabama,5.5,0.33,81,5.17
01053,Escambia County,Alabama,5.75,-1.23,45,6.98
01055,Etowah County,Alabama,5.08,0.38,88,4.7
01057,Fayette County,Alabama,5.52,0.29,75,5.23
01059,Franklin County,Alabama,5.2,0.54,83,4.66
01061,Geneva County,Alabama,5.82,-0.71,56,6.53
01063,Greene County,Alabama,7.53,2.58,117,4.95
01065,Hale County,Alabama,5.76,0.57,91,5.19
01067,Henry County,Alabama,7.03,1,98,6.03
01069,Houston County,Alabama,5.23,-0.95,54,6.18
01071,Jackson County,Alabama,5.03,0.3,80,4.73
01073,Jefferson County,Alabama,5.49,0.3,78,5.19
01075,Lamar County,Alabama,5.46,0.42,80,5.04
01077,Lauderdale County,Alabama,6.78,2.54,117,4.24
01079,Lawrence County,Alabama,5.89,1.38,103,4.51
01081,Lee County,Alabama,4.77,-0.64,59,5.41
01083,Limestone County,Alabama,7.08,2.74,118,4.34
01085,Lowndes County,Alabama,5.09,-0.01,79,5.1
01087,Macon County,Alabama,5.01,-0.14,73,5.15
01089,Madison County,Alabama,6.76,2.18,113,4.58
01091,Marengo County,Alabama,4.67,-0.57,61,5.24
01093,Marion County,Alabama,4.71,-0.23,64,4.94
01095,Marshall County,Alabama,4.68,-0.07,73,4.75
01097,Mobile County,Alabama,5.24,-2.26,28,7.5
01099,Monroe County,Alabama,5.78,-0.28,74,6.06
