ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
01001,Autauga County,Alabama,78.9,-1.8,14,80.7
01003,Baldwin County,Alabama,81.3,0.2,67,81.2
01005,Barbour County,Alabama,78.8,-1.6,13,80.4
01007,Bibb County,Alabama,78.2,-1.9,17,80.1
01009,Blount County,Alabama,76.4,-2.4,9,78.8
01011,Bullock County,Alabama,78.3,-1.8,9,80.1
01013,Butler County,Alabama,78.6,-1.7,9,80.3
01015,Calhoun County,Alabama,76.3,-2.5,5,78.8
01017,Chambers County,Alabama,76.8,-1.6,16,78.4
01019,Cherokee County,Alabama,75.9,-3,3,78.9
01021,Chilton County,Alabama,77.7,-2,11,79.7
01023,Choctaw County,Alabama,80,-0.8,34,80.8
01025,Clarke County,Alabama,80.3,-0.4,47,80.7
01027,Clay County,Alabama,75.6,-2,11,77.6
01029,Cleburne County,Alabama,74.7,-2.8,3,77.5
01031,Coffee County,Alabama,78.8,-1.7,10,80.5
01033,Colbert County,Alabama,75.5,-3.5,4,79
01035,Conecuh County,Alabama,79.6,-1.3,19,80.9
01037,Coosa County,Alabama,77.3,-1.8,15,79.1
01039,Covington County,Alabama,79.2,-1.6,10,80.8
01041,Crenshaw County,Alabama,77.8,-2.2,5,80
01043,Cullman County,Alabama,76.2,-2.4,8,78.6
01045,Dale County,Alabama,79.2,-1.5,13,80.7
01047,Dallas County,Alabama,79.4,-1.4,19,80.8
01049,DeKalb County,Alabama,74.4,-2.9,4,77.3
01051,Elmore County,Alabama,78.8,-1.5,17,80.3
01053,Escambia County,Alabama,80.3,-0.8,31,81.1
01055,Etowah County,Alabama,76.3,-2.7,5,79
01057,Fayette County,Alabama,77.3,-2.9,5,80.2
01059,Franklin County,Alabama,75.7,-3,5,78.7
01061,Geneva County,Alabama,80.2,-0.7,32,80.9
01063,Greene County,Alabama,79.4,-1.9,11,81.3
01065,Hale County,Alabama,79.2,-1.6,18,80.8
01067,Henry County,Alabama,79.2,-1.7,12,80.9
01069,Houston County,Alabama,80,-1.3,16,81.3
01071,Jackson County,Alabama,74.8,-3,4,77.8
01073,Jefferson County,Alabama,77.4,-2.3,10,79.7
01075,Lamar County,Alabama,77.5,-2.9,7,80.4
01077,Lauderdale County,Alabama,75,-3.7,4,78.7
01079,Lawrence County,Alabama,75.7,-3.2,4,78.9
01081,Lee County,Alabama,78.2,-1,30,79.2
01083,Limestone County,Alabama,76,-2.8,8,78.8
01085,Lowndes County,Alabama,79.2,-1.7,11,80.9
01087,Macon County,Alabama,78.9,-1.4,22,80.3
01089,Madison County,Alabama,76,-2.7,7,78.7
01091,Marengo County,Alabama,80,-0.9,32,80.9
01093,Marion County,Alabama,76.2,-3.1,3,79.3
01095,Marshall County,Alabama,76,-2.6,9,78.6
01097,Mobile County,Alabama,81.6,0.6,89,81
01099,Monroe County,Alabama,80.1,-0.6,38,80.7
01101,Montgomery County,Alabama,79,-1.8,11,80.8
01103,Morgan County,Alabama,76.1,-2.8,5,78.9
01105,Perry County,Alabama,79,-1.4,23,80.4
01107,Pickens County,Alabama,78.7,-2.3,8,81
01109,Pike County,Alabama,78,-2.2,6,80.2
01111,Randolph County,Alabama,75.5,-2.3,5,77.8
01113,Russell County,Alabama,79.1,-1.2,24,80.3
01115,St. Clair County,Alabama,76.8,-2.2,12,79
01117,Shelby County,Alabama,77.2,-2.3,10,79.5
01119,Sumter County,Alabama,79.8,-1.3,22,81.1
01121,Talladega County,Alabama,77,-2.1,13,79.1
01123,Tallapoosa County,Alabama,77.2,-1.6,16,78.8
01125,Tuscaloosa County,Alabama,78.4,-2.4,9,80.8
01127,Walker County,Alabama,77.5,-2.3,10,79.8
01129,Washington County,Alabama,80.5,-0.4,45,80.9
01131,Wilcox County,Alabama,79.8,-1,30,80.8
01133,Winston County,Alabama,76,-2.6,7,78.6
04001,Apache County,Arizona,73.3,2.3,117,71
04003,Cochise County,Arizona,80.7,2.6,123,78.1
04005,Coconino County,Arizona,76,2.8,116,73.2
04007,Gila County,Arizona,80.6,2.5,121,78.1
04009,Graham County,Arizona,81.7,2.6,121,79.1
04011,Greenlee County,Arizona,76.2,2,117,74.2
04012,La Paz County,Arizona,95.1,3.7,127,91.4
04013,Maricopa County,Arizona,93.7,4.3,127,89.4
04015,Mohave County,Arizona,85.9,3.1,120,82.8
04017,Navajo County,Arizona,75.9,2.8,121,73.1
04019,Pima County,Arizona,88,2.9,126,85.1
04021,Pinal County,Arizona,90.5,3.1,126,87.4
04023,Santa Cruz County,Arizona,79.1,2.5,120,76.6
04025,Yavapai County,Arizona,81.4,3.3,125,78.1
04027,Yuma County,Arizona,95.1,4.5,128,90.6
05001,Arkansas County,Arkansas,78.4,-3.2,4,81.6
05003,Ashley County,Arkansas,80,-1.3,24,81.3
05005,Baxter County,Arkansas,74.7,-3.4,8,78.1
05007,Benton County,Arkansas,75.6,-2.5,20,78.1
05009,Boone County,Arkansas,74.1,-3.5,8,77.6
05011,Bradley County,Arkansas,79,-2.3,12,81.3
05013,Calhoun County,Arkansas,79.4,-2.1,18,81.5
05015,Carroll County,Arkansas,74.2,-3.4,10,77.6
05017,Chicot County,Arkansas,80.1,-1.7,19,81.8
05019,Clark County,Arkansas,79.4,-2.1,19,81.5
05021,Clay County,Arkansas,76.3,-3.8,5,80.1
05023,Cleburne County,Arkansas,76.2,-3,7,79.2
05025,Cleveland County,Arkansas,78.5,-2.8,6,81.3
05027,Columbia County,Arkansas,80.6,-1.1,36,81.7
05029,Conway County,Arkansas,77.6,-3.1,7,80.7
05031,Craighead County,Arkansas,77,-3.4,5,80.4
05033,Crawford County,Arkansas,78.2,-1.5,35,79.7
05035,Crittenden County,Arkansas,78.1,-3.5,4,81.6
05037,Cross County,Arkansas,77.9,-3.4,6,81.3
05039,Dallas County,Arkansas,78.7,-2.6,10,81.3
05041,Desha County,Arkansas,78.7,-3,3,81.7
05043,Drew County,Arkansas,78.9,-2.5,8,81.4
05045,Faulkner County,Arkansas,77.6,-3.2,7,80.8
05047,Franklin County,Arkansas,78,-1.6,32,79.6
05049,Fulton County,Arkansas,74.1,-3.6,7,77.7
05051,Garland County,Arkansas,78.3,-2.1,18,80.4
05053,Grant County,Arkansas,78.5,-2.9,5,81.4
05055,Greene County,Arkansas,76.4,-3.8,5,80.2
05057,Hempstead County,Arkansas,80.5,-1,35,81.5
05059,Hot Spring County,Arkansas,78.8,-2.4,14,81.2
05061,Howard County,Arkansas,79.2,-1.1,33,80.3
05063,Independence County,Arkansas,76.2,-3.2,6,79.4
05065,Izard County,Arkansas,74.7,-3.7,6,78.4
05067,Jackson County,Arkansas,77.4,-2.9,6,80.3
05069,Jefferson County,Arkansas,78.3,-3.2,4,81.5
05071,Johnson County,Arkansas,76.8,-2.1,17,78.9
05073,Lafayette County,Arkansas,81.3,-0.7,45,82
05075,Lawrence County,Arkansas,76.2,-3.6,4,79.8
05077,Lee County,Arkansas,78.3,-3.1,5,81.4
05079,Lincoln County,Arkansas,78.5,-3.1,3,81.6
05081,Little River County,Arkansas,80.8,-0.7,47,81.5
05083,Logan County,Arkansas,78.8,-1.7,24,80.5
05085,Lonoke County,Arkansas,78.1,-3.3,5,81.4
05087,Madison County,Arkansas,74.6,-2,26,76.6
05089,Marion County,Arkansas,74.6,-3.5,8,78.1
05091,Miller County,Arkansas,81.6,-0.6,50,82.2
05093,Mississippi County,Arkansas,77.5,-3.5,4,81
05095,Monroe County,Arkansas,78.2,-3.3,4,81.5
05097,Montgomery County,Arkansas,77.9,-1.7,27,79.6
05099,Nevada County,Arkansas,80.2,-1.5,29,81.7
05101,Newton County,Arkansas,73.7,-2.9,10,76.6
05103,Ouachita County,Arkansas,79.9,-1.9,20,81.8
05105,Perry County,Arkansas,78.4,-2.6,10,81
05107,Phillips County,Arkansas,78.6,-2.8,6,81.4
05109,Pike County,Arkansas,78.8,-1.6,27,80.4
05111,Poinsett County,Arkansas,77.6,-3.3,5,80.9
05113,Polk County,Arkansas,77.3,-1.2,41,78.5
05115,Pope County,Arkansas,77,-2.5,11,79.5
05117,Prairie County,Arkansas,78.1,-3.4,5,81.5
05119,Pulaski County,Arkansas,77.9,-3.4,5,81.3
05121,Randolph County,Arkansas,75.2,-4.2,3,79.4
05123,St. Francis County,Arkansas,78,-3.4,5,81.4
05125,Saline County,Arkansas,78.2,-2.7,8,80.9
05127,Scott County,Arkansas,78.1,-1.5,30,79.6
05129,Searcy County,Arkansas,74,-3.5,8,77.5
05131,Sebastian County,Arkansas,79.4,-1.4,34,80.8
05133,Sevier County,Arkansas,79.8,-0.9,40,80.7
05135,Sharp County,Arkansas,74.9,-3.6,6,78.5
05137,Stone County,Arkansas,74.6,-3.6,6,78.2
05139,Union County,Arkansas,80.4,-1.1,30,81.5
05141,Van Buren County,Arkansas,75.2,-3.3,6,78.5
05143,Washington County,Arkansas,75.8,-1.8,28,77.6
05145,White County,Arkansas,77.9,-2.7,7,80.6
05147,Woodruff County,Arkansas,78,-3.2,5,81.2
05149,Yell County,Arkansas,79,-1.8,23,80.8
06001,Alameda County,California,69.8,0.7,73,69.1
06003,Alpine County,California,63.1,1.9,99,61.2
06005,Amador County,California,76.4,2.3,102,74.1
06007,Butte County,California,77.5,1.2,88,76.3
06009,Calaveras County,California,77,2.2,102,74.8
06011,Colusa County,California,79.1,1.4,95,77.7
06013,Contra Costa County,California,71.8,1.1,89,70.7
06015,Del Norte County,California,67.7,3.3,116,64.4
06017,El Dorado County,California,72.8,2.1,102,70.7
06019,Fresno County,California,75.3,3,114,72.3
06021,Glenn County,California,77.9,0.5,77,77.4
06023,Humboldt County,California,68.2,2.5,108,65.7
06025,Imperial County,California,96.2,4.5,128,91.7
06027,Inyo County,California,84.7,3.8,118,80.9
06029,Kern County,California,83.2,3.6,119,79.6
06031,Kings County,California,83.5,2.8,109,80.7
06033,Lake County,California,75,1.8,104,73.2
06035,Lassen County,California,68.2,2.2,98,66
06037,Los Angeles County,California,77.8,3.6,119,74.2
06039,Madera County,California,75.6,2.4,105,73.2
06041,Marin County,California,60.7,0.1,52,60.6
06043,Mariposa County,California,75.2,2.8,109,72.4
06045,Mendocino County,California,69.3,1.4,93,67.9
06047,Merced County,California,79.4,1.9,103,77.5
06049,Modoc County,California,68,2.5,102,65.5
06051,Mono County,California,65,2.3,105,62.7
06053,Monterey County,California,70.2,1.6,102,68.6
06055,Napa County,California,72.5,0.7,76,71.8
06057,Nevada County,California,71.3,2.5,105,68.8
06059,Orange County,California,74.9,3.7,121,71.2
06061,Placer County,California,72.2,2.1,103,70.1
06063,Plumas County,California,67.3,2.4,107,64.9
06065,Riverside County,California,89.2,4,123,85.2
06067,Sacramento County,California,76.9,0.9,86,76
06069,San Benito County,California,74.4,2.4,109,72
06071,San Bernardino County,California,89.8,3.8,121,86
06073,San Diego County,California,78.5,3.7,122,74.8
06075,San Francisco County,California,60.7,-0,51,60.7
06077,San Joaquin County,California,76.2,0.5,75,75.7
06079,San Luis Obispo County,California,73.7,2.7,114,71
06081,San Mateo County,California,62.8,1,90,61.8
06083,Santa Barbara County,California,69.4,2.2,107,67.2
06085,Santa Clara County,California,70.6,1.8,101,68.8
06087,Santa Cruz County,California,64.4,1.1,88,63.3
06089,Shasta County,California,75.2,2.5,103,72.7
06091,Sierra County,California,66.3,2.3,103,64
06093,Siskiyou County,California,69.9,3.9,115,66
06095,Solano County,California,73.3,0.7,83,72.6
06097,Sonoma County,California,65.9,0.4,67,65.5
06099,Stanislaus County,California,77.4,1.1,90,76.3
06101,Sutter County,California,79.5,1.3,90,78.2
06103,Tehama County,California,78.2,1.8,94,76.4
06105,Trinity County,California,72.2,3.1,108,69.1
06107,Tulare County,California,74.8,3.2,115,71.6
06109,Tuolumne County,California,69.1,2,101,67.1
06111,Ventura County,California,71.5,3,112,68.5
06113,Yolo County,California,77.2,0.6,82,76.6
06115,Yuba County,California,78.7,2,103,76.7
08001,Adams County,Colorado,70.7,-1.7,25,72.4
08003,Alamosa County,Colorado,64.7,0.9,83,63.8
08005,Arapahoe County,Colorado,69.8,-1.8,22,71.6
08007,Archuleta County,Colorado,64.6,0.9,84,63.7
08009,Baca County,Colorado,75.8,-0.7,47,76.5
08011,Bent County,Colorado,76.4,-0.6,49,77
08013,Boulder County,Colorado,63.4,-1.5,24,64.9
08014,Broomfield County,Colorado,70.5,-1.5,25,72
08015,Chaffee County,Colorado,58.4,0.9,85,57.5
08017,Cheyenne County,Colorado,73.1,-1.9,17,75
08019,Clear Creek County,Colorado,55.6,-0.7,41,56.3
08021,Conejos County,Colorado,60.4,0.3,70,60.1
08023,Costilla County,Colorado,62.4,1,91,61.4
08025,Crowley County,Colorado,74.2,-0.6,43,74.8
08027,Custer County,Colorado,60.6,0.1,57,60.5
08029,Delta County,Colorado,69.8,1.9,100,67.9
08031,Denver County,Colorado,70.2,-2.3,13,72.5
08033,Dolores County,Colorado,64.4,2.1,100,62.3
08035,Douglas County,Colorado,65.7,-2,13,67.7
