ID,Name,State,Value,Anomaly (1901-2000 base period),"Rank,1901-2000 Mean"
01001,Autauga County,Alabama,2.62,-1.38,35,4
01003,Baldwin County,Alabama,2.87,-2.52,14,5.39
01005,Barbour County,Alabama,3.93,-0.21,65,4.14
01007,Bibb County,Alabama,1.89,-2.26,8,4.15
01009,Blount County,Alabama,3.89,-0.14,67,4.03
01011,Bullock County,Alabama,3.99,0.01,70,3.98
01013,Butler County,Alabama,2.63,-1.79,28,4.42
01015,Calhoun County,Alabama,2.4,-1.66,25,4.06
01017,Chambers County,Alabama,1.9,-2.19,13,4.09
01019,Cherokee County,Alabama,1.16,-2.78,2,3.94
01021,Chilton County,Alabama,2.65,-1.41,28,4.06
01023,Choctaw County,Alabama,1.04,-3.11,4,4.15
01025,Clarke County,Alabama,1.03,-3.51,2,4.54
01027,Clay County,Alabama,2.62,-1.79,27,4.41
01029,Cleburne County,Alabama,2.14,-2.08,20,4.22
01031,Coffee County,Alabama,2.61,-2.11,18,4.72
01033,Colbert County,Alabama,3.64,-0.28,62,3.92
01035,Conecuh County,Alabama,4.03,-0.75,59,4.78
01037,Coosa County,Alabama,3.68,-0.54,57,4.22
01039,Covington County,Alabama,3.24,-1.78,31,5.02
01041,Crenshaw County,Alabama,3.68,-0.79,56,4.47
01043,Cullman County,Alabama,3.85,-0.36,61,4.21
01045,Dale County,Alabama,2.86,-1.7,23,4.56
01047,Dallas County,Alabama,1.62,-2.31,8,3.93
01049,DeKalb County,Alabama,1.47,-2.8,4,4.27
01051,Elmore County,Alabama,3,-1.04,43,4.04
01053,Escambia County,Alabama,3.8,-1.46,40,5.26
01055,Etowah County,Alabama,2.38,-1.59,27,3.97
01057,Fayette County,Alabama,4.37,0.26,75,4.11
01059,Franklin County,Alabama,4.05,0.04,70,4.01
01061,Geneva County,Alabama,2.71,-2.23,16,4.94
01063,Greene County,Alabama,1.76,-1.95,16,3.71
01065,Hale County,Alabama,1.89,-1.98,19,3.87
01067,Henry County,Alabama,3.34,-1.09,43,4.43
01069,Houston County,Alabama,2.76,-1.83,18,4.59
01071,Jackson County,Alabama,1.67,-2.56,6,4.23
01073,Jefferson County,Alabama,3.21,-0.92,42,4.13
01075,Lamar County,Alabama,3.23,-0.82,46,4.05
01077,Lauderdale County,Alabama,3.04,-0.99,40,4.03
01079,Lawrence County,Alabama,3.51,-0.61,59,4.12
01081,Lee County,Alabama,3.73,-0.26,64,3.99
01083,Limestone County,Alabama,2.04,-2.11,18,4.15
01085,Lowndes County,Alabama,2.55,-1.42,29,3.97
01087,Macon County,Alabama,4.26,0.31,81,3.95
01089,Madison County,Alabama,1.61,-2.66,7,4.27
01091,Marengo County,Alabama,1.1,-2.85,4,3.95
01093,Marion County,Alabama,4,-0.02,68,4.02
01095,Marshall County,Alabama,2.15,-1.93,18,4.08
01097,Mobile County,Alabama,2.44,-2.94,11,5.38
01099,Monroe County,Alabama,2.03,-2.65,10,4.68
01101,Montgomery County,Alabama,3.36,-0.74,53,4.1
01103,Morgan County,Alabama,2.87,-1.37,38,4.24
01105,Perry County,Alabama,1.63,-2.3,9,3.93
01107,Pickens County,Alabama,2.72,-1.04,41,3.76
01109,Pike County,Alabama,3.23,-0.96,46,4.19
01111,Randolph County,Alabama,1.69,-2.59,8,4.28
01113,Russell County,Alabama,4.52,0.84,92,3.68
01115,St. Clair County,Alabama,3.41,-0.63,48,4.04
01117,Shelby County,Alabama,2.45,-1.74,19,4.19
01119,Sumter County,Alabama,1.25,-2.58,6,3.83
01121,Talladega County,Alabama,3.06,-1.12,40,4.18
01123,Tallapoosa County,Alabama,2.85,-1.31,37,4.16
01125,Tuscaloosa County,Alabama,2.63,-1.37,34,4
01127,Walker County,Alabama,5.18,1.03,99,4.15
01129,Washington County,Alabama,1.31,-3.44,4,4.75
01131,Wilcox County,Alabama,0.74,-3.4,2,4.14
01133,Winston County,Alabama,4.95,0.62,90,4.33
04001,Apache County,Arizona,0.5,0.04,86,0.46
04003,Cochise County,Arizona,1.23,0.71,118,0.52
04005,Coconino County,Arizona,0.39,0.02,81,0.37
04007,Gila County,Arizona,0.5,0.13,92,0.37
04009,Graham County,Arizona,0.76,0.32,102,0.44
04011,Greenlee County,Arizona,1.64,1.08,121,0.56
04012,La Paz County,Arizona,0.03,-0.01,90,0.04
04013,Maricopa County,Arizona,0.02,-0.06,56,0.08
04015,Mohave County,Arizona,0.12,-0.09,62,0.21
04017,Navajo County,Arizona,0.27,-0.07,75,0.34
04019,Pima County,Arizona,0.16,-0.07,77,0.23
04021,Pinal County,Arizona,0.07,-0.1,54,0.17
04023,Santa Cruz County,Arizona,0.74,0.19,90,0.55
04025,Yavapai County,Arizona,0.13,-0.15,62,0.28
04027,Yuma County,Arizona,0,-0.01,1,0.01
05001,Arkansas County,Arkansas,2.64,-1.09,47,3.73
05003,Ashley County,Arkansas,0.68,-3.21,4,3.89
05005,Baxter County,Arkansas,3.17,-1.19,46,4.36
05007,Benton County,Arkansas,4.36,-0.75,58,5.11
05009,Boone County,Arkansas,4.71,0.16,73,4.55
05011,Bradley County,Arkansas,1.05,-2.68,9,3.73
05013,Calhoun County,Arkansas,1.45,-2.28,17,3.73
05015,Carroll County,Arkansas,3.94,-1.05,54,4.99
05017,Chicot County,Arkansas,1.14,-2.54,12,3.68
05019,Clark County,Arkansas,1.25,-2.97,12,4.22
05021,Clay County,Arkansas,4.29,0.33,83,3.96
05023,Cleburne County,Arkansas,3.2,-0.87,48,4.07
05025,Cleveland County,Arkansas,1.7,-1.93,17,3.63
05027,Columbia County,Arkansas,2.82,-1.06,47,3.88
05029,Conway County,Arkansas,2.02,-2.09,21,4.11
05031,Craighead County,Arkansas,5.15,1.43,103,3.72
05033,Crawford County,Arkansas,2.23,-2.35,22,4.58
05035,Crittenden County,Arkansas,3.44,-0.37,64,3.81
05037,Cross County,Arkansas,4.68,0.76,97,3.92
05039,Dallas County,Arkansas,1.37,-2.59,15,3.96
05041,Desha County,Arkansas,1.94,-1.63,27,3.57
05043,Drew County,Arkansas,1.44,-2.28,16,3.72
05045,Faulkner County,Arkansas,2.12,-1.9,28,4.02
05047,Franklin County,Arkansas,2,-2.49,19,4.49
05049,Fulton County,Arkansas,3.47,-0.67,57,4.14
05051,Garland County,Arkansas,1.65,-2.77,13,4.42
05053,Grant County,Arkansas,1.86,-2.06,22,3.92
05055,Greene County,Arkansas,4.13,0.39,85,3.74
05057,Hempstead County,Arkansas,1.19,-2.94,11,4.13
05059,Hot Spring County,Arkansas,1.7,-2.59,17,4.29
05061,Howard County,Arkansas,1.98,-2.36,27,4.34
05063,Independence County,Arkansas,3.66,-0.2,72,3.86
05065,Izard County,Arkansas,3.38,-0.65,55,4.03
05067,Jackson County,Arkansas,4.6,0.74,94,3.86
05069,Jefferson County,Arkansas,2.32,-1.33,41,3.65
05071,Johnson County,Arkansas,2.61,-1.92,29,4.53
05073,Lafayette County,Arkansas,1.8,-2.1,28,3.9
05075,Lawrence County,Arkansas,3.76,-0.06,73,3.82
05077,Lee County,Arkansas,3.11,-0.63,55,3.74
05079,Lincoln County,Arkansas,2.05,-1.6,26,3.65
05081,Little River County,Arkansas,1.04,-3.01,11,4.05
05083,Logan County,Arkansas,2.49,-1.72,31,4.21
05085,Lonoke County,Arkansas,2.18,-1.56,32,3.74
05087,Madison County,Arkansas,3.05,-1.87,39,4.92
05089,Marion County,Arkansas,3.28,-1.07,50,4.35
05091,Miller County,Arkansas,1.39,-2.59,19,3.98
05093,Mississippi County,Arkansas,3.96,0.31,84,3.65
05095,Monroe County,Arkansas,2.98,-0.77,56,3.75
05097,Montgomery County,Arkansas,1.38,-3.08,11,4.46
05099,Nevada County,Arkansas,1.39,-2.72,14,4.11
05101,Newton County,Arkansas,4.28,-0.33,64,4.61
05103,Ouachita County,Arkansas,1.86,-2.08,19,3.94
05105,Perry County,Arkansas,1.82,-2.36,18,4.18
05107,Phillips County,Arkansas,2.89,-0.97,44,3.86
05109,Pike County,Arkansas,1.66,-2.73,17,4.39
05111,Poinsett County,Arkansas,5.23,1.45,108,3.78
05113,Polk County,Arkansas,1.76,-2.93,14,4.69
05115,Pope County,Arkansas,2.05,-2.18,23,4.23
05117,Prairie County,Arkansas,2.8,-1.04,52,3.84
05119,Pulaski County,Arkansas,2.1,-1.78,21,3.88
05121,Randolph County,Arkansas,3.8,-0.14,70,3.94
05123,St. Francis County,Arkansas,3.38,-0.43,63,3.81
05125,Saline County,Arkansas,1.8,-2.33,19,4.13
05127,Scott County,Arkansas,2.15,-2.21,24,4.36
05129,Searcy County,Arkansas,3.46,-0.79,58,4.25
05131,Sebastian County,Arkansas,2.96,-1.25,45,4.21
05133,Sevier County,Arkansas,2.02,-2.12,26,4.14
05135,Sharp County,Arkansas,3.36,-0.63,56,3.99
05137,Stone County,Arkansas,3.38,-0.7,49,4.08
05139,Union County,Arkansas,1.68,-2.1,23,3.78
05141,Van Buren County,Arkansas,2.78,-1.51,36,4.29
05143,Washington County,Arkansas,2.89,-1.98,29,4.87
05145,White County,Arkansas,3.08,-0.94,50,4.02
05147,Woodruff County,Arkansas,3.6,-0.33,67,3.93
05149,Yell County,Arkansas,1.57,-2.61,14,4.18
06001,Alameda County,California,0.08,-0.06,83,0.14
06003,Alpine County,California,1.03,0.2,90,0.83
06005,Amador County,California,0.32,-0.16,77,0.48
06007,Butte County,California,0.75,0.12,90,0.63
06009,Calaveras County,California,0.23,-0.18,73,0.41
06011,Colusa County,California,0.41,0.12,93,0.29
06013,Contra Costa County,California,0.04,-0.09,74,0.13
06015,Del Norte County,California,0.99,-0.52,61,1.51
06017,El Dorado County,California,0.56,-0.19,75,0.75
06019,Fresno County,California,0.57,0.36,118,0.21
06021,Glenn County,California,1.25,0.84,123,0.41
06023,Humboldt County,California,0.37,-0.52,46,0.89
06025,Imperial County,California,0,-0.01,1,0.01
06027,Inyo County,California,0.38,0.27,123,0.11
06029,Kern County,California,0.18,0.12,114,0.06
06031,Kings County,California,0.12,0.08,109,0.04
06033,Lake County,California,0.32,-0.09,80,0.41
06035,Lassen County,California,1.96,0.92,109,1.04
06037,Los Angeles County,California,0.09,0.03,106,0.06
06039,Madera County,California,0.57,0.29,111,0.28
06041,Marin County,California,0.04,-0.21,59,0.25
06043,Mariposa County,California,0.56,0.16,101,0.4
06045,Mendocino County,California,0.45,-0.05,82,0.5
06047,Merced County,California,0.16,0.09,110,0.07
06049,Modoc County,California,2.11,1.03,115,1.08
06051,Mono County,California,1.06,0.56,116,0.5
06053,Monterey County,California,0.05,-0.02,82,0.07
06055,Napa County,California,0.06,-0.17,70,0.23
06057,Nevada County,California,0.96,0.17,84,0.79
06059,Orange County,California,0.06,0,105,0.06
06061,Placer County,California,0.81,0.1,86,0.71
06063,Plumas County,California,1.32,0.39,95,0.93
06065,Riverside County,California,0.01,-0.02,78,0.03
06067,Sacramento County,California,0.25,0.08,100,0.17
06069,San Benito County,California,0.09,0.02,93,0.07
06071,San Bernardino County,California,0.04,-0.01,87,0.05
06073,San Diego County,California,0.03,-0.03,84,0.06
06075,San Francisco County,California,0.03,-0.17,57,0.2
06077,San Joaquin County,California,0.14,0.03,98,0.11
06079,San Luis Obispo County,California,0.13,0.09,115,0.04
06081,San Mateo County,California,0.11,-0.1,80,0.21
06083,Santa Barbara County,California,0.17,0.13,118,0.04
06085,Santa Clara County,California,0.05,-0.09,70,0.14
06087,Santa Cruz County,California,0.06,-0.15,68,0.21
06089,Shasta County,California,2.21,1.22,116,0.99
06091,Sierra County,California,1.19,0.3,88,0.89
06093,Siskiyou County,California,2.28,1.19,119,1.09
06095,Solano County,California,0.09,-0.05,87,0.14
06097,Sonoma County,California,0.04,-0.28,58,0.32
06099,Stanislaus County,California,0.16,0.08,103,0.09
06101,Sutter County,California,0.33,0.12,97,0.21
06103,Tehama County,California,1.69,0.98,112,0.71
06105,Trinity County,California,2.18,1.28,115,0.9
06107,Tulare County,California,0.67,0.49,119,0.18
06109,Tuolumne County,California,0.89,0.2,94,0.69
06111,Ventura County,California,0.13,0.08,113,0.05
06113,Yolo County,California,0.27,0.09,97,0.18
06115,Yuba County,California,0.61,0.16,94,0.45
08001,Adams County,Colorado,4.01,2.11,125,1.9
08003,Alamosa County,Colorado,1.3,0.51,109,0.79
08005,Arapahoe County,Colorado,3.92,2.01,122,1.91
08007,Archuleta County,Colorado,2.31,1.3,120,1.01
08009,Baca County,Colorado,1.85,-0.31,64,2.16
08011,Bent County,Colorado,2,0.24,89,1.76
08013,Boulder County,Colorado,3.14,1.25,115,1.89
08014,Broomfield County,Colorado,3.31,1.66,120,1.65
08015,Chaffee County,Colorado,1.75,0.72,113,1.03
08017,Cheyenne County,Colorado,2.48,0.14,75,2.34
08019,Clear Creek County,Colorado,2.81,1.08,112,1.73
08021,Conejos County,Colorado,2.18,1.24,123,0.94
08023,Costilla County,Colorado,1.73,0.61,105,1.12
08025,Crowley County,Colorado,2.19,0.71,101,1.48
08027,Custer County,Colorado,2.26,0.72,108,1.54
08029,Delta County,Colorado,1.49,0.62,110,0.87
08031,Denver County,Colorado,3.68,2.01,123,1.67
08033,Dolores County,Colorado,1.81,0.96,117,0.85
08035,Douglas County,Colorado,3.36,1.62,118,1.74
08037,Eagle County,Colorado,2.14,0.85,116,1.29
08039,Elbert County,Colorado,4.09,2.14,122,1.95
08041,El Paso County,Colorado,2.91,0.95,108,1.96
08043,Fremont County,Colorado,2,0.61,103,1.39
08045,Garfield County,Colorado,2.24,1.13,117,1.11
08047,Gilpin County,Colorado,3.06,1.21,113,1.85
08049,Grand County,Colorado,2.28,0.9,113,1.38
08051,Gunnison County,Colorado,1.67,0.56,113,1.11
08053,Hinsdale County,Colorado,2.75,1.4,117,1.35
08055,Huerfano County,Colorado,1.81,0.31,89,1.5
08057,Jackson County,Colorado,2.64,1.26,120,1.38
08059,Jefferson County,Colorado,3.33,1.53,116,1.8
08061,Kiowa County,Colorado,2.25,0.19,86,2.06
08063,Kit Carson County,Colorado,4.01,1.43,113,2.58
08065,Lake County,Colorado,1.89,0.65,112,1.24
08067,La Plata County,Colorado,1.99,1.06,117,0.93
08069,Larimer County,Colorado,2.83,1.02,111,1.81
08071,Las Animas County,Colorado,2.19,0.53,99,1.66
08073,Lincoln County,Colorado,3.48,1.59,118,1.89
08075,Logan County,Colorado,5.83,3.12,127,2.71
08077,Mesa County,Colorado,1.67,0.85,114,0.82
08079,Mineral County,Colorado,2.37,1.13,113,1.24
08081,Moffat County,Colorado,2.91,1.91,127,1
08083,Montezuma County,Colorado,1.23,0.65,117,0.58
08085,Montrose County,Colorado,1.16,0.4,103,0.76
08087,Morgan County,Colorado,4.33,2.25,126,2.08
08089,Otero County,Colorado,1.76,0.28,92,1.48
08091,Ouray County,Colorado,2.16,1.05,116,1.11
08093,Park County,Colorado,2.2,0.9,114,1.3
08095,Phillips County,Colorado,6.62,3.56,125,3.06
08097,Pitkin County,Colorado,1.89,0.53,105,1.36
08099,Prowers County,Colorado,2.39,0.17,83,2.22
08101,Pueblo County,Colorado,1.74,0.14,82,1.6
08103,Rio Blanco County,Colorado,2.69,1.6,121,1.09
08105,Rio Grande County,Colorado,1.62,0.78,114,0.84
08107,Routt County,Colorado,2.81,1.47,120,1.34
08109,Saguache County,Colorado,1.7,0.73,114,0.97
08111,San Juan County,Colorado,3.39,1.96,121,1.43
08113,San Miguel County,Colorado,1.91,1.07,119,0.84
08115,Sedgwick County,Colorado,6.87,3.9,127,2.97
08117,Summit County,Colorado,2.29,0.88,113,1.41
08119,Teller County,Colorado,2.29,0.57,95,1.72
08121,Washington County,Colorado,4.95,2.5,126,2.45
08123,Weld County,Colorado,3.6,1.61,121,1.99
08125,Yuma County,Colorado,4.59,1.69,115,2.9
09001,Fairfield County,Connecticut,7.62,3.81,123,3.81
09003,Hartford County,Connecticut,7.03,3.26,122,3.77
09005,Litchfield County,Connecticut,8.42,4.36,124,4.06
09007,Middlesex County,Connecticut,6.51,2.95,117,3.56
09009,New Haven County,Connecticut,7.41,3.8,122,3.61
09011,New London County,Connecticut,5.41,2.07,114,3.34
09013,Tolland County,Connecticut,6.16,2.46,113,3.7
09015,Windham County,Connecticut,5.74,2.23,112,3.51
10001,Kent County,Delaware,5.69,2.14,115,3.55
10003,New Castle County,Delaware,5.88,2.19,114,3.69
10005,Sussex County,Delaware,5.41,1.75,113,3.66
12001,Alachua County,Florida,5.3,-1.52,35,6.82
12003,Baker County,Florida,3.67,-2.68,11,6.35
12005,Bay County,Florida,1.93,-3.35,5,5.28
12007,Bradford County,Florida,5.8,-0.89,50,6.69
12009,Brevard County,Florida,4.32,-2.53,21,6.85
12011,Broward County,Florida,9.66,1.3,92,8.36
12013,Calhoun County,Florida,3.25,-2.45,18,5.7
12015,Charlotte County,Florida,5.83,-2.17,30,8
12017,Citrus County,Florida,7.86,0.96,88,6.9
12019,Clay County,Florida,5.33,-1.16,48,6.49
12021,Collier County,Florida,7.35,-1.07,52,8.42
12023,Columbia County,Florida,4.32,-2.03,23,6.35
12027,DeSoto County,Florida,6.27,-1.74,38,8.01
12029,Dixie County,Florida,8.14,1.99,107,6.15
12031,Duval County,Florida,4.42,-1.47,38,5.89
12033,Escambia County,Florida,3.49,-2.06,25,5.55
12035,Flagler County,Florida,5.28,-1.16,44,6.44
12037,Franklin County,Florida,4.14,-1.49,37,5.63
12039,Gadsden County,Florida,3.87,-1.7,31,5.57
12041,Gilchrist County,Florida,7.1,0.66,85,6.44
12043,Glades County,Florida,8.78,0.83,84,7.95
12045,Gulf County,Florida,3.75,-1.81,29,5.56
12047,Hamilton County,Florida,4.44,-1.5,37,5.94
12049,Hardee County,Florida,7.9,-0.2,71,8.1
12051,Hendry County,Florida,8.91,0.49,82,8.42
12053,Hernando County,Florida,6.53,-0.62,57,7.15
12055,Highlands County,Florida,8.19,0.42,78,7.77
12057,Hillsborough County,Florida,7.96,0.83,81,7.13
12059,Holmes County,Florida,2.51,-2.48,14,4.99
12061,Indian River County,Florida,4.59,-2.45,26,7.04
12063,Jackson County,Florida,2.97,-1.98,21,4.95
12065,Jefferson County,Florida,4.83,-0.97,50,5.8
12067,Lafayette County,Florida,6.51,0.23,77,6.28
12069,Lake County,Florida,6.83,-0.27,58,7.1
12071,Lee County,Florida,6.85,-1.1,52,7.95
12073,Leon County,Florida,4.49,-1.32,37,5.81
12075,Levy County,Florida,8.85,2.47,108,6.38
12077,Liberty County,Florida,4.19,-1.72,37,5.91
12079,Madison County,Florida,5,-0.76,52,5.76
12081,Manatee County,Florida,6.49,-0.84,52,7.33
12083,Marion County,Florida,5.73,-1.29,39,7.02
12085,Martin County,Florida,6.99,-0.48,66,7.47
12086,Miami-Dade County,Florida,10.1,1.8,97,8.3
12087,Monroe County,Florida,7.45,-0.27,73,7.72
12089,Nassau County,Florida,4.44,-1.45,33,5.89
12091,Okaloosa County,Florida,2.68,-2.75,12,5.43
12093,Okeechobee County,Florida,7.7,0.31,77,7.39
12095,Orange County,Florida,7.53,0.3,77,7.23
12097,Osceola County,Florida,6.09,-1.18,41,7.27
12099,Palm Beach County,Florida,8.17,-0.01,70,8.18
12101,Pasco County,Florida,7.02,-0.11,65,7.13
12103,Pinellas County,Florida,5.21,-0.99,50,6.2
12105,Polk County,Florida,7,-0.71,56,7.71
12107,Putnam County,Florida,4.99,-1.86,34,6.85
12109,St. Johns County,Florida,5.59,-0.45,64,6.04
12111,St. Lucie County,Florida,5.08,-2.11,30,7.19
12113,Santa Rosa County,Florida,3.13,-2.57,19,5.7
12115,Sarasota County,Florida,4.66,-2.65,24,7.31
12117,Seminole County,Florida,7.52,0.44,82,7.08
12119,Sumter County,Florida,6.64,-0.62,55,7.26
12121,Suwannee County,Florida,5.15,-1.09,44,6.24
