ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
01001,Autauga County,Alabama,80.1,1.8,103,78.3
01003,Baldwin County,Alabama,82.2,2.8,121,79.4
01005,Barbour County,Alabama,80.1,1.5,103,78.6
01007,Bibb County,Alabama,78.8,1.2,96,77.6
01009,Blount County,Alabama,77.6,1.8,102,75.8
01011,Bullock County,Alabama,79.5,1.4,101,78.1
01013,Butler County,Alabama,79.8,1.5,104,78.3
01015,Calhoun County,Alabama,77.7,1.7,101,76
01017,Chambers County,Alabama,78,1.9,106,76.1
01019,Cherokee County,Alabama,77.8,1.8,102,76
01021,Chilton County,Alabama,78.4,1,94,77.4
01023,Choctaw County,Alabama,81,2.4,115,78.6
01025,Clarke County,Alabama,81.4,2.7,118,78.7
01027,Clay County,Alabama,76.8,1.7,104,75.1
01029,Cleburne County,Alabama,76.5,1.8,102,74.7
01031,Coffee County,Alabama,80.9,2.1,109,78.8
01033,Colbert County,Alabama,77.2,1.4,96,75.8
01035,Conecuh County,Alabama,80.5,1.5,103,79
01037,Coosa County,Alabama,78.1,1.4,99,76.7
01039,Covington County,Alabama,80.7,1.7,106,79
01041,Crenshaw County,Alabama,79.7,1.6,102,78.1
01043,Cullman County,Alabama,77.1,1.5,99,75.6
01045,Dale County,Alabama,81.1,2,108,79.1
01047,Dallas County,Alabama,80.8,2.2,110,78.6
01049,DeKalb County,Alabama,76.3,1.8,103,74.5
01051,Elmore County,Alabama,79.8,1.8,104,78
01053,Escambia County,Alabama,81.3,2.1,114,79.2
01055,Etowah County,Alabama,78.1,2,105,76.1
01057,Fayette County,Alabama,78.3,1.1,89,77.2
01059,Franklin County,Alabama,77.1,1.5,99,75.6
01061,Geneva County,Alabama,81.9,2.6,119,79.3
01063,Greene County,Alabama,80.1,1.3,99,78.8
01065,Hale County,Alabama,80,1.5,103,78.5
01067,Henry County,Alabama,81,1.7,107,79.3
01069,Houston County,Alabama,81.9,2.2,115,79.7
01071,Jackson County,Alabama,77,2.2,111,74.8
01073,Jefferson County,Alabama,78.4,1.5,100,76.9
01075,Lamar County,Alabama,78.7,1.3,94,77.4
01077,Lauderdale County,Alabama,76.8,1.4,97,75.4
01079,Lawrence County,Alabama,77.2,1.5,99,75.7
01081,Lee County,Alabama,79.2,2,109,77.2
01083,Limestone County,Alabama,78,2.4,109,75.6
01085,Lowndes County,Alabama,80.7,2.1,108,78.6
01087,Macon County,Alabama,79.9,1.7,104,78.2
01089,Madison County,Alabama,78,2.4,110,75.6
01091,Marengo County,Alabama,81.1,2.5,115,78.6
01093,Marion County,Alabama,77.3,1.1,91,76.2
01095,Marshall County,Alabama,77.8,2.2,108,75.6
01097,Mobile County,Alabama,82,2.8,120,79.2
01099,Monroe County,Alabama,80.9,2.1,112,78.8
01101,Montgomery County,Alabama,80.6,2.1,108,78.5
01103,Morgan County,Alabama,77.8,2,107,75.8
01105,Perry County,Alabama,80,1.9,106,78.1
01107,Pickens County,Alabama,79.6,1.3,96,78.3
01109,Pike County,Alabama,79.8,1.4,100,78.4
01111,Randolph County,Alabama,77,1.8,104,75.2
01113,Russell County,Alabama,80.2,1.9,107,78.3
01115,St. Clair County,Alabama,77.9,1.7,103,76.2
01117,Shelby County,Alabama,78,1.1,95,76.9
01119,Sumter County,Alabama,80.4,1.7,104,78.7
01121,Talladega County,Alabama,77.9,1.4,100,76.5
01123,Tallapoosa County,Alabama,78.3,1.8,107,76.5
01125,Tuscaloosa County,Alabama,79.2,1,90,78.2
01127,Walker County,Alabama,78.2,1.3,95,76.9
01129,Washington County,Alabama,81.8,2.8,119,79
01131,Wilcox County,Alabama,81,2.3,112,78.7
01133,Winston County,Alabama,76.8,1.3,94,75.5
04001,Apache County,Arizona,63.9,-1.6,28,65.5
04003,Cochise County,Arizona,74.1,-1.4,22,75.5
04005,Coconino County,Arizona,65.4,-2,21,67.4
04007,Gila County,Arizona,70.9,-2.3,16,73.2
04009,Graham County,Arizona,74,-1.8,22,75.8
04011,Greenlee County,Arizona,68.7,-2.2,16,70.9
04012,La Paz County,Arizona,83.8,-1.2,35,85
04013,Maricopa County,Arizona,83.4,-0.3,54,83.7
04015,Mohave County,Arizona,74.8,-1.8,28,76.6
04017,Navajo County,Arizona,65.6,-1.6,27,67.2
04019,Pima County,Arizona,80,-0.9,37,80.9
04021,Pinal County,Arizona,82,-0.9,38,82.9
