ID,Name,State,Value,Anomaly (1901-2000 base period),"Rank,1901-2000 Mean"
01001,Autauga County,Alabama,11.47,5.36,125,6.11
01003,Baldwin County,Alabama,12.11,5.97,123,6.14
01005,Barbour County,Alabama,10.3,4.49,121,5.81
01007,Bibb County,Alabama,8.28,1.94,106,6.34
01009,Blount County,Alabama,5.86,-0.4,68,6.26
01011,Bullock County,Alabama,10.86,4.72,122,6.14
01013,Butler County,Alabama,10.79,4.48,120,6.31
01015,Calhoun County,Alabama,5.41,-0.75,62,6.16
01017,Chambers County,Alabama,8.65,2.36,104,6.29
01019,Cherokee County,Alabama,4.9,-1.2,51,6.1
01021,Chilton County,Alabama,10.17,3.92,118,6.25
01023,Choctaw County,Alabama,11.25,4.92,121,6.33
01025,Clarke County,Alabama,11.93,5.62,123,6.31
01027,Clay County,Alabama,7.42,0.94,89,6.48
01029,Cleburne County,Alabama,5.67,-0.52,69,6.19
01031,Coffee County,Alabama,11.7,5.69,121,6.01
01033,Colbert County,Alabama,6.21,0.21,82,6
01035,Conecuh County,Alabama,10.19,3.79,116,6.4
01037,Coosa County,Alabama,10.05,3.75,115,6.3
01039,Covington County,Alabama,11.17,4.98,120,6.19
01041,Crenshaw County,Alabama,11.05,4.72,121,6.33
01043,Cullman County,Alabama,5.86,-0.33,68,6.19
01045,Dale County,Alabama,11.44,5.75,122,5.69
01047,Dallas County,Alabama,11.52,5.41,125,6.11
01049,DeKalb County,Alabama,5.63,-0.61,63,6.24
01051,Elmore County,Alabama,11.88,5.68,125,6.2
01053,Escambia County,Alabama,10.38,4.09,118,6.29
01055,Etowah County,Alabama,5.02,-1.24,51,6.26
01057,Fayette County,Alabama,7.21,1.03,90,6.18
01059,Franklin County,Alabama,6.74,0.62,86,6.12
01061,Geneva County,Alabama,12.47,6.75,124,5.72
01063,Greene County,Alabama,8.15,2.2,108,5.95
01065,Hale County,Alabama,9.27,3.07,114,6.2
01067,Henry County,Alabama,9.6,3.97,119,5.63
01069,Houston County,Alabama,9.52,3.99,119,5.53
01071,Jackson County,Alabama,5.57,-0.55,65,6.12
01073,Jefferson County,Alabama,7.35,1.12,93,6.23
01075,Lamar County,Alabama,7.82,1.81,100,6.02
01077,Lauderdale County,Alabama,6.01,-0.06,71,6.07
01079,Lawrence County,Alabama,5.94,0.07,75,5.87
01081,Lee County,Alabama,9.58,3.31,116,6.27
01083,Limestone County,Alabama,5.69,-0.3,70,5.99
01085,Lowndes County,Alabama,10.15,4.08,117,6.07
01087,Macon County,Alabama,10.3,4.09,117,6.21
01089,Madison County,Alabama,5.49,-0.55,61,6.04
01091,Marengo County,Alabama,11.5,5.28,124,6.22
01093,Marion County,Alabama,7.16,0.97,90,6.19
01095,Marshall County,Alabama,5.49,-0.68,58,6.17
01097,Mobile County,Alabama,13,6.67,125,6.33
01099,Monroe County,Alabama,10.74,4.48,122,6.26
01101,Montgomery County,Alabama,10.67,4.55,119,6.12
01103,Morgan County,Alabama,5.58,-0.41,67,5.99
01105,Perry County,Alabama,10.39,4.17,118,6.22
01107,Pickens County,Alabama,7.54,1.69,102,5.85
01109,Pike County,Alabama,11.7,5.41,122,6.29
01111,Randolph County,Alabama,8.37,2.02,104,6.35
01113,Russell County,Alabama,10.52,4.79,122,5.73
01115,St. Clair County,Alabama,5.57,-0.75,57,6.32
01117,Shelby County,Alabama,6.32,-0.04,76,6.36
01119,Sumter County,Alabama,8.39,2.28,108,6.11
01121,Talladega County,Alabama,6.07,-0.19,72,6.26
01123,Tallapoosa County,Alabama,8.62,2.19,102,6.43
01125,Tuscaloosa County,Alabama,8.43,2.21,110,6.22
01127,Walker County,Alabama,6.71,0.48,83,6.23
01129,Washington County,Alabama,12.2,5.76,124,6.44
01131,Wilcox County,Alabama,11.23,5.07,121,6.16
01133,Winston County,Alabama,6.52,0.37,87,6.15
04001,Apache County,Arizona,0.42,-0.7,22,1.12
04003,Cochise County,Arizona,0.54,-0.25,71,0.79
04005,Coconino County,Arizona,0.11,-1.2,8,1.31
04007,Gila County,Arizona,0.18,-1.92,10,2.1
04009,Graham County,Arizona,0.39,-0.79,34,1.18
04011,Greenlee County,Arizona,0.52,-0.66,39,1.18
04012,La Paz County,Arizona,0,-0.54,1,0.54
04013,Maricopa County,Arizona,0.01,-0.94,7,0.95
04015,Mohave County,Arizona,0.02,-1.1,5,1.12
04017,Navajo County,Arizona,0.38,-0.63,26,1.01
04019,Pima County,Arizona,0.07,-0.82,12,0.89
04021,Pinal County,Arizona,0.07,-1.09,13,1.16
04023,Santa Cruz County,Arizona,0.18,-0.89,22,1.07
04025,Yavapai County,Arizona,0.07,-1.56,7,1.63
04027,Yuma County,Arizona,0,-0.43,1,0.43
05001,Arkansas County,Arkansas,5.55,0.24,79,5.31
05003,Ashley County,Arkansas,4.87,-0.74,51,5.61
05005,Baxter County,Arkansas,4.06,0.2,76,3.86
05007,Benton County,Arkansas,3.72,0.06,77,3.66
05009,Boone County,Arkansas,4,0.25,77,3.75
05011,Bradley County,Arkansas,5.77,0.34,80,5.43
05013,Calhoun County,Arkansas,5.74,0.51,81,5.23
05015,Carroll County,Arkansas,3.43,-0.28,65,3.71
05017,Chicot County,Arkansas,5.13,-0.51,59,5.64
05019,Clark County,Arkansas,5.79,0.83,83,4.96
05021,Clay County,Arkansas,3.89,-0.75,55,4.64
05023,Cleburne County,Arkansas,6.32,1.49,99,4.83
05025,Cleveland County,Arkansas,5.75,0.43,81,5.32
05027,Columbia County,Arkansas,7.02,2.19,110,4.83
05029,Conway County,Arkansas,6.4,1.79,103,4.61
05031,Craighead County,Arkansas,4.51,-0.38,59,4.89
05033,Crawford County,Arkansas,4.28,0.21,73,4.07
05035,Crittenden County,Arkansas,6.14,0.95,87,5.19
05037,Cross County,Arkansas,6.12,1.04,92,5.08
05039,Dallas County,Arkansas,5.87,0.8,83,5.07
05041,Desha County,Arkansas,5.31,-0.22,66,5.53
05043,Drew County,Arkansas,5.37,-0.27,65,5.64
05045,Faulkner County,Arkansas,6.81,2.06,106,4.75
05047,Franklin County,Arkansas,3.95,-0.17,61,4.12
05049,Fulton County,Arkansas,3.59,-0.56,55,4.15
05051,Garland County,Arkansas,6.22,1.26,94,4.96
05053,Grant County,Arkansas,6.19,1.07,88,5.12
05055,Greene County,Arkansas,4.17,-0.57,54,4.74
05057,Hempstead County,Arkansas,6.25,1.44,97,4.81
05059,Hot Spring County,Arkansas,5.56,0.53,78,5.03
05061,Howard County,Arkansas,5.59,0.69,80,4.9
05063,Independence County,Arkansas,4.87,0.19,77,4.68
05065,Izard County,Arkansas,4.42,0.12,72,4.3
05067,Jackson County,Arkansas,5.38,0.58,83,4.8
05069,Jefferson County,Arkansas,5.86,0.6,86,5.26
05071,Johnson County,Arkansas,4.06,-0.31,58,4.37
05073,Lafayette County,Arkansas,6.77,2.17,111,4.6
05075,Lawrence County,Arkansas,3.87,-0.75,52,4.62
05077,Lee County,Arkansas,5.6,0.29,77,5.31
05079,Lincoln County,Arkansas,5.93,0.35,83,5.58
05081,Little River County,Arkansas,5.31,0.74,87,4.57
05083,Logan County,Arkansas,4.58,0.4,78,4.18
05085,Lonoke County,Arkansas,5.83,0.83,87,5
05087,Madison County,Arkansas,4.36,0.32,78,4.04
05089,Marion County,Arkansas,4.03,0.28,77,3.75
05091,Miller County,Arkansas,6.41,1.8,111,4.61
05093,Mississippi County,Arkansas,4.47,-0.45,63,4.92
05095,Monroe County,Arkansas,5.51,0.28,76,5.23
05097,Montgomery County,Arkansas,6.5,1.53,100,4.97
05099,Nevada County,Arkansas,6.97,2.12,110,4.85
05101,Newton County,Arkansas,4.34,0.16,77,4.18
05103,Ouachita County,Arkansas,6.54,1.52,101,5.02
05105,Perry County,Arkansas,6.59,1.9,105,4.69
