ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
01001,Autauga County,Alabama,58.3,2.2,84,56.1
01003,Baldwin County,Alabama,62,2.4,89,59.6
01005,Barbour County,Alabama,59,1.9,80,57.1
01007,Bibb County,Alabama,57.4,2.8,91,54.6
01009,Blount County,Alabama,54.8,2.8,91,52
01011,Bullock County,Alabama,58.5,2.3,82,56.2
01013,Butler County,Alabama,58.9,1.8,81,57.1
01015,Calhoun County,Alabama,54.7,2.1,85,52.6
01017,Chambers County,Alabama,55.4,2,85,53.4
01019,Cherokee County,Alabama,53.9,2,84,51.9
01021,Chilton County,Alabama,57.4,2.7,91,54.7
01023,Choctaw County,Alabama,59.1,2.1,85,57
01025,Clarke County,Alabama,59.5,2,85,57.5
01027,Clay County,Alabama,54.4,1.6,80,52.8
01029,Cleburne County,Alabama,53.6,2,85,51.6
01031,Coffee County,Alabama,59.7,1.6,79,58.1
01033,Colbert County,Alabama,53.5,2.7,91,50.8
01035,Conecuh County,Alabama,60.2,2.2,85,58
01037,Coosa County,Alabama,56.2,1.8,82,54.4
01039,Covington County,Alabama,60.2,2.1,81,58.1
01041,Crenshaw County,Alabama,58.4,1.5,78,56.9
01043,Cullman County,Alabama,54.1,2.5,88,51.6
01045,Dale County,Alabama,59.6,1.2,75,58.4
01047,Dallas County,Alabama,58.9,2.2,84,56.7
01049,DeKalb County,Alabama,53.1,2.5,89,50.6
01051,Elmore County,Alabama,57.6,1.8,81,55.8
01053,Escambia County,Alabama,61.1,2.3,88,58.8
01055,Etowah County,Alabama,54.6,2.3,88,52.3
01057,Fayette County,Alabama,55.8,2.4,90,53.4
01059,Franklin County,Alabama,53.5,2.6,88,50.9
01061,Geneva County,Alabama,60.5,1.6,78,58.9
01063,Greene County,Alabama,58.5,2.7,92,55.8
01065,Hale County,Alabama,58.3,2.6,90,55.7
01067,Henry County,Alabama,59.4,1.1,76,58.3
01069,Houston County,Alabama,60.1,0.8,70,59.3
01071,Jackson County,Alabama,53.1,2.5,91,50.6
01073,Jefferson County,Alabama,56.2,2.8,93,53.4
01075,Lamar County,Alabama,55.8,2.3,87,53.5
01077,Lauderdale County,Alabama,52.8,2.4,90,50.4
01079,Lawrence County,Alabama,53.3,2.2,84,51.1
01081,Lee County,Alabama,56.7,1.8,80,54.9
01083,Limestone County,Alabama,53.6,2.7,94,50.9
01085,Lowndes County,Alabama,58.8,1.9,83,56.9
01087,Macon County,Alabama,57.9,1.9,81,56
01089,Madison County,Alabama,53.7,2.7,97,51
01091,Marengo County,Alabama,58.8,2.2,86,56.6
01093,Marion County,Alabama,54.4,2.4,86,52
01095,Marshall County,Alabama,54.1,2.5,91,51.6
01097,Mobile County,Alabama,61.8,2.6,90,59.2
01099,Monroe County,Alabama,60.1,2.3,86,57.8
01101,Montgomery County,Alabama,58.6,2,82,56.6
01103,Morgan County,Alabama,53.8,2.4,91,51.4
01105,Perry County,Alabama,58.2,2.5,89,55.7
01107,Pickens County,Alabama,57.2,2.5,90,54.7
01109,Pike County,Alabama,58.8,1.8,79,57
01111,Randolph County,Alabama,54.3,2,83,52.3
01113,Russell County,Alabama,57.8,1.6,78,56.2
01115,St. Clair County,Alabama,55.1,2.3,85,52.8
01117,Shelby County,Alabama,56.4,2.5,90,53.9
01119,Sumter County,Alabama,58.8,2.6,91,56.2
01121,Talladega County,Alabama,55.5,1.7,83,53.8
01123,Tallapoosa County,Alabama,55.7,1.6,79,54.1
01125,Tuscaloosa County,Alabama,57.2,2.6,90,54.7
01127,Walker County,Alabama,55.6,2.5,88,53.1
01129,Washington County,Alabama,59.6,1.6,75,58
01131,Wilcox County,Alabama,59.3,2,83,57.3
01133,Winston County,Alabama,53.6,2.1,85,51.5
04001,Apache County,Arizona,42.6,2.7,101,39.9
04003,Cochise County,Arizona,55,3.6,112,51.4
04005,Coconino County,Arizona,44.9,3,104,41.9
04007,Gila County,Arizona,52.2,3.6,109,48.6
04009,Graham County,Arizona,54.3,3.7,111,50.6
04011,Greenlee County,Arizona,49.8,3.4,106,46.4
04012,La Paz County,Arizona,62.8,2.4,97,60.4
04013,Maricopa County,Arizona,62.9,3.8,113,59.1
04015,Mohave County,Arizona,52.7,1.8,91,50.9
04017,Navajo County,Arizona,44.2,2.9,102,41.3
04019,Pima County,Arizona,60.6,3.8,113,56.8
04021,Pinal County,Arizona,61.5,4,114,57.5
04023,Santa Cruz County,Arizona,54.8,4,115,50.8
04025,Yavapai County,Arizona,51.2,3.1,103,48.1
04027,Yuma County,Arizona,64,2.4,95,61.6
05001,Arkansas County,Arkansas,54.7,1.5,83,53.2
05003,Ashley County,Arkansas,55.4,0.5,72,54.9
05005,Baxter County,Arkansas,50.8,3.4,94,47.4
05007,Benton County,Arkansas,50,2.4,88,47.6
05009,Boone County,Arkansas,49.7,2.7,91,47
05011,Bradley County,Arkansas,54.8,0.5,74,54.3
05013,Calhoun County,Arkansas,54.4,0.1,70,54.3
05015,Carroll County,Arkansas,49.9,2.9,92,47
05017,Chicot County,Arkansas,55.6,0.5,74,55.1
05019,Clark County,Arkansas,54.2,0.9,77,53.3
05021,Clay County,Arkansas,50.9,2.1,88,48.8
05023,Cleburne County,Arkansas,52.2,2.6,93,49.6
05025,Cleveland County,Arkansas,54.5,0.7,76,53.8
05027,Columbia County,Arkansas,55.2,0.2,72,55
05029,Conway County,Arkansas,52.5,1.5,82,51
05031,Craighead County,Arkansas,51.6,1.9,86,49.7
05033,Crawford County,Arkansas,52.1,2.3,88,49.8
05035,Crittenden County,Arkansas,53.5,1.9,86,51.6
05037,Cross County,Arkansas,53.5,2.2,89,51.3
05039,Dallas County,Arkansas,54.5,0.9,78,53.6
05041,Desha County,Arkansas,55,1,82,54
05043,Drew County,Arkansas,55.2,1,80,54.2
05045,Faulkner County,Arkansas,53,1.7,81,51.3
05047,Franklin County,Arkansas,51.6,1.8,83,49.8
05049,Fulton County,Arkansas,50.4,3.5,100,46.9
05051,Garland County,Arkansas,52.8,1.1,80,51.7
05053,Grant County,Arkansas,54.5,1.2,80,53.3
05055,Greene County,Arkansas,51,1.8,84,49.2
05057,Hempstead County,Arkansas,54.1,0.4,69,53.7
05059,Hot Spring County,Arkansas,53.8,1,79,52.8
05061,Howard County,Arkansas,52.9,0.6,74,52.3
05063,Independence County,Arkansas,51.8,2.4,90,49.4
05065,Izard County,Arkansas,51.1,3.2,96,47.9
05067,Jackson County,Arkansas,52.2,2,87,50.2
05069,Jefferson County,Arkansas,54.4,1,80,53.4
05071,Johnson County,Arkansas,50.6,1.4,82,49.2
05073,Lafayette County,Arkansas,55.4,0.4,73,55
05075,Lawrence County,Arkansas,51.5,2.4,93,49.1
05077,Lee County,Arkansas,53.1,0.7,75,52.4
05079,Lincoln County,Arkansas,55,1.3,83,53.7
05081,Little River County,Arkansas,54.7,1,77,53.7
05083,Logan County,Arkansas,52,1.2,79,50.8
05085,Lonoke County,Arkansas,53.9,1.3,83,52.6
05087,Madison County,Arkansas,49.5,2.6,91,46.9
05089,Marion County,Arkansas,50.4,3,93,47.4
05091,Miller County,Arkansas,55.6,0.6,75,55
05093,Mississippi County,Arkansas,51.6,1.3,83,50.3
05095,Monroe County,Arkansas,53.3,0.8,74,52.5
05097,Montgomery County,Arkansas,51.7,0.6,72,51.1
05099,Nevada County,Arkansas,54.3,0.2,70,54.1
05101,Newton County,Arkansas,49.1,2.3,89,46.8
05103,Ouachita County,Arkansas,54.6,0.1,68,54.5
05105,Perry County,Arkansas,52.8,1.3,80,51.5
05107,Phillips County,Arkansas,53.8,0.9,78,52.9
05109,Pike County,Arkansas,52.6,0.4,68,52.2
05111,Poinsett County,Arkansas,52.4,2,86,50.4
05113,Polk County,Arkansas,51,0.8,75,50.2
05115,Pope County,Arkansas,51.5,1.7,84,49.8
05117,Prairie County,Arkansas,53.2,0.7,75,52.5
05119,Pulaski County,Arkansas,54,1.6,83,52.4
05121,Randolph County,Arkansas,51,2.7,92,48.3
05123,St. Francis County,Arkansas,53.3,1.3,80,52
05125,Saline County,Arkansas,53.3,1.2,80,52.1
05127,Scott County,Arkansas,51.5,1.1,77,50.4
05129,Searcy County,Arkansas,50.5,3,94,47.5
05131,Sebastian County,Arkansas,52.7,1.8,83,50.9
05133,Sevier County,Arkansas,53.6,0.9,77,52.7
05135,Sharp County,Arkansas,50.9,3,96,47.9
05137,Stone County,Arkansas,51.3,3.1,94,48.2
05139,Union County,Arkansas,55.2,0.3,72,54.9
05141,Van Buren County,Arkansas,51.4,2.5,92,48.9
05143,Washington County,Arkansas,50.4,2.6,91,47.8
05145,White County,Arkansas,52.6,1.4,85,51.2
05147,Woodruff County,Arkansas,52.7,1.2,78,51.5
05149,Yell County,Arkansas,52.3,1.1,79,51.2
06001,Alameda County,California,52.4,0.5,74,51.9
06003,Alpine County,California,32.8,-0.7,52,33.5
06005,Amador County,California,48.2,-0.2,62,48.4
06007,Butte County,California,50.5,0.2,73,50.3
06009,Calaveras County,California,48.4,-0.3,60,48.7
06011,Colusa County,California,52.7,0.4,73,52.3
06013,Contra Costa County,California,53.2,0.2,74,53
06015,Del Norte County,California,43,-0.4,60,43.4
06017,El Dorado County,California,43.1,-0.7,56,43.8
06019,Fresno County,California,45.8,0.4,74,45.4
06021,Glenn County,California,50.9,0.3,71,50.6
06023,Humboldt County,California,45.9,-0.3,60,46.2
06025,Imperial County,California,65.4,2.3,95,63.1
06027,Inyo County,California,50.3,0.8,79,49.6
06029,Kern County,California,52.3,0.8,76,51.6
06031,Kings County,California,55.5,0.9,76,54.6
06033,Lake County,California,47.5,-0.2,64,47.7
06035,Lassen County,California,36.2,-0.7,57,36.9
06037,Los Angeles County,California,53.3,1.2,82,52.1
06039,Madera County,California,46.4,0.2,70,46.2
06041,Marin County,California,51.2,0.2,71,51
06043,Mariposa County,California,45.1,-0.1,67,45.2
06045,Mendocino County,California,47.3,-0.5,58,47.8
06047,Merced County,California,54.4,0.7,80,53.7
06049,Modoc County,California,35.6,-0.8,51,36.4
06051,Mono County,California,33.4,0.1,61,33.3
06053,Monterey County,California,51.4,0.7,74,50.7
06055,Napa County,California,51.9,0.8,79,51.1
06057,Nevada County,California,41.6,-0.9,52,42.5
06059,Orange County,California,58.2,1.8,90,56.4
06061,Placer County,California,43.1,-0.8,53,43.9
06063,Plumas County,California,37.1,-0.5,64,37.6
06065,Riverside County,California,59.4,1.9,91,57.5
06067,Sacramento County,California,54.6,0.3,73,54.3
06069,San Benito County,California,50.1,0.7,78,49.4
06071,San Bernardino County,California,56.6,1.2,79,55.4
06073,San Diego County,California,55.1,1.7,90,53.4
06075,San Francisco County,California,52.7,0.1,68,52.6
06077,San Joaquin County,California,54.8,0.8,79,54
06079,San Luis Obispo County,California,51.6,0.8,74,50.8
06081,San Mateo County,California,51.5,0.3,66,51.2
06083,Santa Barbara County,California,51.1,1.2,78,49.9
06085,Santa Clara County,California,50.6,0.4,73,50.2
06087,Santa Cruz County,California,51.2,0.5,70,50.7
06089,Shasta County,California,44.8,-0.4,62,45.2
06091,Sierra County,California,36.8,-0.2,64,37
06093,Siskiyou County,California,38.1,-0.9,53,39
06095,Solano County,California,54.3,0.6,77,53.7
06097,Sonoma County,California,51,0.4,78,50.6
06099,Stanislaus County,California,53.3,0.2,68,53.1
06101,Sutter County,California,54.8,0.3,71,54.5
06103,Tehama County,California,48.6,-0,70,48.6
06105,Trinity County,California,42.9,0,71,42.9
06107,Tulare County,California,44.3,0.4,74,43.9
06109,Tuolumne County,California,39.4,-0.7,56,40.1
06111,Ventura County,California,49.2,0.7,74,48.5
06113,Yolo County,California,54.4,0.7,81,53.7
06115,Yuba County,California,51.3,-0.4,58,51.7
08001,Adams County,Colorado,40.5,3.3,92,37.2
08003,Alamosa County,Colorado,36.4,3.9,109,32.5
08005,Arapahoe County,Colorado,40,3.1,92,36.9
08007,Archuleta County,Colorado,35.5,3.2,101,32.4
08009,Baca County,Colorado,45.2,3.4,100,41.8
08011,Bent County,Colorado,44.7,3.1,94,41.6
08013,Boulder County,Colorado,36.3,3.4,100,32.9
08014,Broomfield County,Colorado,42.7,4.2,105,38.5
08015,Chaffee County,Colorado,29.8,3,101,26.8
08017,Cheyenne County,Colorado,41.6,2.8,88,38.8
08019,Clear Creek County,Colorado,28.8,3.2,100,25.6
08021,Conejos County,Colorado,32.9,3.3,104,29.6
08023,Costilla County,Colorado,34.6,3.4,104,31.2
08025,Crowley County,Colorado,43.5,3.7,98,39.8
08027,Custer County,Colorado,34.5,4.3,110,30.2
08029,Delta County,Colorado,38.6,3.6,104,35
08031,Denver County,Colorado,42.7,4.3,105,38.4
08033,Dolores County,Colorado,35.2,3.5,104,31.7
08035,Douglas County,Colorado,39,3.8,102,35.2
08037,Eagle County,Colorado,30.4,2.7,96,27.7
08039,Elbert County,Colorado,38.1,2.8,89,35.3
08041,El Paso County,Colorado,39.5,3.7,101,35.8
08043,Fremont County,Colorado,38,3.6,104,34.4
08045,Garfield County,Colorado,34.5,3.1,101,31.4
08047,Gilpin County,Colorado,30.8,3,99,27.8
08049,Grand County,Colorado,28.4,3.1,97,25.3
08051,Gunnison County,Colorado,29.6,3.4,100,26.2
08053,Hinsdale County,Colorado,27.4,3.4,105,24
08055,Huerfano County,Colorado,39.7,4.2,106,35.5
08057,Jackson County,Colorado,28.3,4,104,24.3
08059,Jefferson County,Colorado,38.5,4,103,34.5
08061,Kiowa County,Colorado,43.1,2.9,90,40.2
08063,Kit Carson County,Colorado,41.3,3.1,90,38.2
08065,Lake County,Colorado,26.6,3.8,110,22.8
08067,La Plata County,Colorado,36.8,3.2,104,33.6
08069,Larimer County,Colorado,33.7,4,102,29.7
08071,Las Animas County,Colorado,43.4,3.9,106,39.5
08073,Lincoln County,Colorado,40.3,2.8,90,37.5
08075,Logan County,Colorado,40.1,3.1,88,37
08077,Mesa County,Colorado,39.2,3.8,109,35.4
08079,Mineral County,Colorado,27.9,2.9,96,25
08081,Moffat County,Colorado,34.6,3.4,95,31.2
08083,Montezuma County,Colorado,40.3,3,100,37.3
08085,Montrose County,Colorado,39.4,3.9,104,35.5
08087,Morgan County,Colorado,39.8,3.3,90,36.5
08089,Otero County,Colorado,44.8,3.3,98,41.5
08091,Ouray County,Colorado,33.5,4.1,106,29.4
08093,Park County,Colorado,30.4,3.5,102,26.9
08095,Phillips County,Colorado,39.7,2.8,87,36.9
08097,Pitkin County,Colorado,29,2.9,99,26.1
08099,Prowers County,Colorado,44.6,3,94,41.6
08101,Pueblo County,Colorado,44,3.6,101,40.4
08103,Rio Blanco County,Colorado,35.1,3.2,98,31.9
08105,Rio Grande County,Colorado,32.4,3.5,103,28.9
08107,Routt County,Colorado,30.4,3.2,94,27.2
08109,Saguache County,Colorado,31.9,3.6,105,28.3
08111,San Juan County,Colorado,26.4,2.9,98,23.5
08113,San Miguel County,Colorado,37,4,108,33
08115,Sedgwick County,Colorado,39.6,2.6,85,37
08117,Summit County,Colorado,26.8,3.1,98,23.7
08119,Teller County,Colorado,32.4,3.7,100,28.7
08121,Washington County,Colorado,39.9,2.9,86,37
08123,Weld County,Colorado,39.4,3.2,89,36.2
08125,Yuma County,Colorado,41,3.1,89,37.9
09001,Fairfield County,Connecticut,38,1.3,82,36.7
09003,Hartford County,Connecticut,37.3,1.6,87,35.7
09005,Litchfield County,Connecticut,35,1.7,89,33.3
09007,Middlesex County,Connecticut,37.6,1.3,82,36.3
09009,New Haven County,Connecticut,37.5,1.2,82,36.3
09011,New London County,Connecticut,37.1,0.9,77,36.2
09013,Tolland County,Connecticut,36.2,1.2,86,35
09015,Windham County,Connecticut,36.2,1,80,35.2
10001,Kent County,Delaware,43,0.3,63,42.7
10003,New Castle County,Delaware,42.6,1,72,41.6
10005,Sussex County,Delaware,43.8,0.5,63,43.3
12001,Alachua County,Florida,64.1,1.8,85,62.3
12003,Baker County,Florida,62.4,1.6,81,60.8
12005,Bay County,Florida,61.8,1.5,76,60.3
12007,Bradford County,Florida,63.5,1.8,83,61.7
12009,Brevard County,Florida,66.9,1.3,72,65.6
12011,Broward County,Florida,70,0.8,65,69.2
12013,Calhoun County,Florida,61.1,1.2,74,59.9
12015,Charlotte County,Florida,68.2,0.9,65,67.3
12017,Citrus County,Florida,65.5,1.9,85,63.6
