ID,Name,State,Value,Anomaly (1901-2000 base period),"Rank,1901-2000 Mean"
01001,Autauga County,Alabama,8.08,4.17,125,3.91
01003,Baldwin County,Alabama,7.05,2.54,107,4.51
01005,Barbour County,Alabama,8.04,4.18,126,3.86
01007,Bibb County,Alabama,7.55,3.3,119,4.25
01009,Blount County,Alabama,9.34,4.9,127,4.44
01011,Bullock County,Alabama,9.73,6.04,129,3.69
01013,Butler County,Alabama,9.06,4.92,126,4.14
01015,Calhoun County,Alabama,8.17,4.07,126,4.1
01017,Chambers County,Alabama,6.76,2.9,116,3.86
01019,Cherokee County,Alabama,8.27,4.14,127,4.13
01021,Chilton County,Alabama,8.96,4.96,127,4
01023,Choctaw County,Alabama,10.44,5.87,125,4.57
01025,Clarke County,Alabama,11.61,6.94,128,4.67
01027,Clay County,Alabama,7.27,3.26,122,4.01
01029,Cleburne County,Alabama,8.31,4.19,125,4.12
01031,Coffee County,Alabama,10.38,6.37,128,4.01
01033,Colbert County,Alabama,6.33,1.88,109,4.45
01035,Conecuh County,Alabama,10.13,5.76,127,4.37
01037,Coosa County,Alabama,7.7,3.79,124,3.91
01039,Covington County,Alabama,9.36,5.1,124,4.26
01041,Crenshaw County,Alabama,8.29,4.21,123,4.08
01043,Cullman County,Alabama,9.61,5.04,127,4.57
01045,Dale County,Alabama,9.06,5.17,126,3.89
01047,Dallas County,Alabama,7.36,3.29,120,4.07
01049,DeKalb County,Alabama,8.9,4.63,128,4.27
01051,Elmore County,Alabama,10.37,6.61,128,3.76
01053,Escambia County,Alabama,7.62,3.1,115,4.52
01055,Etowah County,Alabama,9.82,5.59,128,4.23
01057,Fayette County,Alabama,7.73,3.07,118,4.66
01059,Franklin County,Alabama,6.98,2.48,113,4.5
01061,Geneva County,Alabama,9.62,5.58,124,4.04
01063,Greene County,Alabama,8.03,3.82,121,4.21
01065,Hale County,Alabama,7.65,3.51,120,4.14
01067,Henry County,Alabama,8.33,4.54,124,3.79
01069,Houston County,Alabama,9.19,5.31,126,3.88
01071,Jackson County,Alabama,8.75,4.46,127,4.29
01073,Jefferson County,Alabama,7.47,3.13,117,4.34
01075,Lamar County,Alabama,8.13,3.59,121,4.54
01077,Lauderdale County,Alabama,6.77,2.32,116,4.45
01079,Lawrence County,Alabama,7.72,3.25,122,4.47
01081,Lee County,Alabama,7.53,3.77,123,3.76
01083,Limestone County,Alabama,10.34,5.79,127,4.55
01085,Lowndes County,Alabama,7.29,3.41,120,3.88
01087,Macon County,Alabama,9.72,6.03,129,3.69
01089,Madison County,Alabama,9.62,5.14,127,4.48
01091,Marengo County,Alabama,9.24,4.93,126,4.31
01093,Marion County,Alabama,8.97,4.36,123,4.61
01095,Marshall County,Alabama,9.27,4.99,128,4.28
01097,Mobile County,Alabama,7.73,2.98,113,4.75
01099,Monroe County,Alabama,9.9,5.43,126,4.47
01101,Montgomery County,Alabama,9.49,5.73,128,3.76
01103,Morgan County,Alabama,9.92,5.45,128,4.47
01105,Perry County,Alabama,7.09,3.03,118,4.06
01107,Pickens County,Alabama,7.32,2.95,117,4.37
01109,Pike County,Alabama,8.54,4.59,127,3.95
01111,Randolph County,Alabama,6.95,2.96,117,3.99
01113,Russell County,Alabama,6.97,3.33,124,3.64
01115,St. Clair County,Alabama,8.38,4.15,126,4.23
01117,Shelby County,Alabama,7.82,3.68,124,4.14
01119,Sumter County,Alabama,6.7,2.43,112,4.27
01121,Talladega County,Alabama,7.65,3.69,125,3.96
01123,Tallapoosa County,Alabama,7.35,3.55,122,3.8
01125,Tuscaloosa County,Alabama,7.56,3.17,118,4.39
01127,Walker County,Alabama,7.83,3.26,118,4.57
01129,Washington County,Alabama,12.21,7.47,126,4.74
01131,Wilcox County,Alabama,8.81,4.61,126,4.2
01133,Winston County,Alabama,8.3,3.63,121,4.67
04001,Apache County,Arizona,0.99,0.45,108,0.54
04003,Cochise County,Arizona,0.62,0.39,120,0.23
04005,Coconino County,Arizona,1.4,0.89,122,0.51
04007,Gila County,Arizona,1.07,0.58,111,0.49
04009,Graham County,Arizona,0.68,0.35,110,0.33
04011,Greenlee County,Arizona,0.9,0.47,111,0.43
04012,La Paz County,Arizona,0.08,0.01,96,0.07
04013,Maricopa County,Arizona,0.36,0.23,117,0.13
04015,Mohave County,Arizona,0.19,-0.14,59,0.33
04017,Navajo County,Arizona,1.2,0.75,123,0.45
04019,Pima County,Arizona,0.57,0.4,123,0.17
04021,Pinal County,Arizona,0.27,0.04,95,0.23
04023,Santa Cruz County,Arizona,0.59,0.36,114,0.23
04025,Yavapai County,Arizona,0.91,0.52,119,0.39
04027,Yuma County,Arizona,0.07,0.04,115,0.03
05001,Arkansas County,Arkansas,12.28,7.36,128,4.92
05003,Ashley County,Arkansas,12.77,7.9,128,4.87
05005,Baxter County,Arkansas,6.65,1.77,98,4.88
05007,Benton County,Arkansas,7.16,1.59,98,5.57
05009,Boone County,Arkansas,7.38,2.37,106,5.01
05011,Bradley County,Arkansas,13.19,8.44,129,4.75
05013,Calhoun County,Arkansas,12.78,7.99,128,4.79
05015,Carroll County,Arkansas,7.84,2.56,110,5.28
05017,Chicot County,Arkansas,12.06,7.1,127,4.96
05019,Clark County,Arkansas,15.21,10,129,5.21
05021,Clay County,Arkansas,9.37,4.63,126,4.74
05023,Cleburne County,Arkansas,10.44,5.31,121,5.13
05025,Cleveland County,Arkansas,14.55,9.64,128,4.91
05027,Columbia County,Arkansas,9.62,4.68,122,4.94
05029,Conway County,Arkansas,12.01,6.67,128,5.34
05031,Craighead County,Arkansas,8.74,4.06,120,4.68
05033,Crawford County,Arkansas,8.28,2.48,108,5.8
05035,Crittenden County,Arkansas,9.43,4.77,123,4.66
05037,Cross County,Arkansas,9.39,4.54,122,4.85
05039,Dallas County,Arkansas,16.23,11.33,129,4.9
05041,Desha County,Arkansas,11.84,6.93,128,4.91
05043,Drew County,Arkansas,12.72,7.85,128,4.87
05045,Faulkner County,Arkansas,10.9,5.54,122,5.36
05047,Franklin County,Arkansas,9.01,3.32,115,5.69
05049,Fulton County,Arkansas,7.32,2.36,103,4.96
05051,Garland County,Arkansas,13.78,8.14,127,5.64
05053,Grant County,Arkansas,15.47,10.35,129,5.12
05055,Greene County,Arkansas,8.89,4.26,122,4.63
05057,Hempstead County,Arkansas,14.04,8.86,129,5.18
05059,Hot Spring County,Arkansas,13.93,8.6,128,5.33
05061,Howard County,Arkansas,14.13,8.46,128,5.67
05063,Independence County,Arkansas,9.1,4.2,118,4.9
05065,Izard County,Arkansas,7.19,2.31,105,4.88
05067,Jackson County,Arkansas,8.48,3.7,117,4.78
05069,Jefferson County,Arkansas,14.32,9.17,129,5.15
05071,Johnson County,Arkansas,10.31,4.66,122,5.65
05073,Lafayette County,Arkansas,9.18,4.21,118,4.97
05075,Lawrence County,Arkansas,7.47,2.71,106,4.76
05077,Lee County,Arkansas,11.46,6.59,127,4.87
05079,Lincoln County,Arkansas,12.37,7.34,127,5.03
