ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
01001,Autauga County,Alabama,72.6,1.2,87,71.4
01003,Baldwin County,Alabama,75,1.5,104,73.5
01005,Barbour County,Alabama,72.6,0.3,72,72.3
01007,Bibb County,Alabama,71.3,0.9,81,70.4
01009,Blount County,Alabama,69.1,0.6,74,68.5
01011,Bullock County,Alabama,72.6,0.9,82,71.7
01013,Butler County,Alabama,72.4,0.5,78,71.9
01015,Calhoun County,Alabama,69.3,0.5,72,68.8
01017,Chambers County,Alabama,70,0.8,82,69.2
01019,Cherokee County,Alabama,69,0.3,69,68.7
01021,Chilton County,Alabama,71.6,1.3,87,70.3
01023,Choctaw County,Alabama,72.5,0.6,79,71.9
01025,Clarke County,Alabama,72.4,0.3,68,72.1
01027,Clay County,Alabama,69.1,0.8,81,68.3
01029,Cleburne County,Alabama,68.5,0.8,77,67.7
01031,Coffee County,Alabama,73.4,0.6,81,72.8
01033,Colbert County,Alabama,68.6,0.5,72,68.1
01035,Conecuh County,Alabama,72.8,0.2,73,72.6
01037,Coosa County,Alabama,70.8,1.1,85,69.7
01039,Covington County,Alabama,73.6,0.8,80,72.8
01041,Crenshaw County,Alabama,72.2,0.4,73,71.8
01043,Cullman County,Alabama,68.5,0.3,71,68.2
01045,Dale County,Alabama,72.9,-0.2,63,73.1
01047,Dallas County,Alabama,72.6,0.8,79,71.8
01049,DeKalb County,Alabama,67.7,0.4,70,67.3
01051,Elmore County,Alabama,72.3,1.1,88,71.2
01053,Escambia County,Alabama,73.4,0.4,76,73
01055,Etowah County,Alabama,68.8,-0,65,68.8
01057,Fayette County,Alabama,69.9,0.1,67,69.8
01059,Franklin County,Alabama,68.3,0.3,70,68
01061,Geneva County,Alabama,74.6,1.2,87,73.4
01063,Greene County,Alabama,71.8,0.2,70,71.6
01065,Hale County,Alabama,71.6,0.2,69,71.4
01067,Henry County,Alabama,72.4,-0.8,47,73.2
01069,Houston County,Alabama,73.7,-0.3,62,74
01071,Jackson County,Alabama,68,0.5,72,67.5
01073,Jefferson County,Alabama,70.4,0.8,79,69.6
01075,Lamar County,Alabama,70.2,0.3,69,69.9
01077,Lauderdale County,Alabama,68.1,0.4,72,67.7
01079,Lawrence County,Alabama,68,-0.2,60,68.2
01081,Lee County,Alabama,71.3,0.8,80,70.5
01083,Limestone County,Alabama,68.4,0.4,71,68
01085,Lowndes County,Alabama,72.9,0.9,82,72
01087,Macon County,Alabama,72.6,1,82,71.6
01089,Madison County,Alabama,68.4,0.4,71,68
01091,Marengo County,Alabama,72.1,0.3,70,71.8
01093,Marion County,Alabama,68.9,0.2,69,68.7
01095,Marshall County,Alabama,68.5,0.2,72,68.3
01097,Mobile County,Alabama,75.1,1.9,106,73.2
01099,Monroe County,Alabama,72.7,0.4,72,72.3
01101,Montgomery County,Alabama,72.9,1,83,71.9
01103,Morgan County,Alabama,68.5,0.2,71,68.3
01105,Perry County,Alabama,71.8,0.6,74,71.2
01107,Pickens County,Alabama,71,0.1,65,70.9
01109,Pike County,Alabama,72.2,0.1,69,72.1
01111,Randolph County,Alabama,69.1,0.9,83,68.2
01113,Russell County,Alabama,72.1,0.4,75,71.7
01115,St. Clair County,Alabama,69.5,0.6,75,68.9
01117,Shelby County,Alabama,70.6,1,84,69.6
01119,Sumter County,Alabama,72.2,0.6,75,71.6
01121,Talladega County,Alabama,70.2,0.9,81,69.3
01123,Tallapoosa County,Alabama,70.5,0.8,84,69.7
01125,Tuscaloosa County,Alabama,71.1,0.3,71,70.8
01127,Walker County,Alabama,70,0.6,75,69.4
01129,Washington County,Alabama,73.3,0.7,81,72.6
01131,Wilcox County,Alabama,72.4,0.4,72,72
01133,Winston County,Alabama,68,-0.1,62,68.1
04001,Apache County,Arizona,60.4,4.3,123,56.1
04003,Cochise County,Arizona,70.5,4.2,124,66.3
04005,Coconino County,Arizona,63.6,5.7,127,57.9
04007,Gila County,Arizona,68.6,4.9,122,63.7
04009,Graham County,Arizona,70.6,4.5,123,66.1
04011,Greenlee County,Arizona,65.2,3.8,119,61.4
04012,La Paz County,Arizona,83.6,7.8,128,75.8
04013,Maricopa County,Arizona,81.3,6.8,127,74.5
04015,Mohave County,Arizona,74.1,7.1,129,67
04017,Navajo County,Arizona,62.7,5,125,57.7
04019,Pima County,Arizona,77.1,5.5,124,71.6
04021,Pinal County,Arizona,79.4,6,127,73.4
04023,Santa Cruz County,Arizona,69.8,5.1,126,64.7
