ID,Name,State,Value,Anomaly (1901-2000 base period),"Rank,1901-2000 Mean"
01001,Autauga County,Alabama,5.36,1.7,109,3.66
01003,Baldwin County,Alabama,4.75,1.02,96,3.73
01005,Barbour County,Alabama,4.88,1.54,107,3.34
01007,Bibb County,Alabama,5.87,2.02,114,3.85
01009,Blount County,Alabama,4.43,0.39,86,4.04
01011,Bullock County,Alabama,5.58,2.09,113,3.49
01013,Butler County,Alabama,5.2,1.44,105,3.76
01015,Calhoun County,Alabama,5.08,1.45,105,3.63
01017,Chambers County,Alabama,6.06,2.43,113,3.63
01019,Cherokee County,Alabama,3.43,-0.36,71,3.79
01021,Chilton County,Alabama,5.98,2.28,114,3.7
01023,Choctaw County,Alabama,4.24,0.24,85,4
01025,Clarke County,Alabama,4.56,0.59,84,3.97
01027,Clay County,Alabama,6,2.21,112,3.79
01029,Cleburne County,Alabama,5.16,1.47,106,3.69
01031,Coffee County,Alabama,3.92,0.29,80,3.63
01033,Colbert County,Alabama,1.92,-2.38,21,4.3
01035,Conecuh County,Alabama,6.06,2.29,111,3.77
01037,Coosa County,Alabama,5.96,2.26,112,3.7
01039,Covington County,Alabama,5.03,1.26,100,3.77
01041,Crenshaw County,Alabama,4.36,0.63,93,3.73
01043,Cullman County,Alabama,2.89,-1.25,44,4.14
01045,Dale County,Alabama,3.64,0.23,79,3.41
01047,Dallas County,Alabama,4.79,1.25,103,3.54
01049,DeKalb County,Alabama,3.56,-0.53,60,4.09
01051,Elmore County,Alabama,5.59,1.94,111,3.65
01053,Escambia County,Alabama,6.49,2.66,112,3.83
01055,Etowah County,Alabama,3.99,0.23,78,3.76
01057,Fayette County,Alabama,2.74,-1.54,33,4.28
01059,Franklin County,Alabama,2.03,-2.33,22,4.36
01061,Geneva County,Alabama,3.21,-0.4,68,3.61
01063,Greene County,Alabama,4.1,0.2,86,3.9
01065,Hale County,Alabama,5.12,1.35,105,3.77
01067,Henry County,Alabama,3.37,0.08,76,3.29
01069,Houston County,Alabama,2.46,-0.77,54,3.23
01071,Jackson County,Alabama,2.82,-1.39,38,4.21
01073,Jefferson County,Alabama,4.62,0.57,90,4.05
01075,Lamar County,Alabama,2.38,-1.93,26,4.31
01077,Lauderdale County,Alabama,1.99,-2.38,20,4.37
01079,Lawrence County,Alabama,2.4,-1.84,29,4.24
01081,Lee County,Alabama,6.26,2.75,114,3.51
01083,Limestone County,Alabama,2.79,-1.47,37,4.26
01085,Lowndes County,Alabama,4.09,0.49,92,3.6
01087,Macon County,Alabama,5.97,2.42,112,3.55
01089,Madison County,Alabama,2.98,-1.33,41,4.31
01091,Marengo County,Alabama,5.26,1.46,101,3.8
01093,Marion County,Alabama,2.32,-2.04,27,4.36
01095,Marshall County,Alabama,3.52,-0.54,56,4.06
01097,Mobile County,Alabama,4.28,0.45,89,3.83
01099,Monroe County,Alabama,5.31,1.5,101,3.81
01101,Montgomery County,Alabama,4.75,1.17,102,3.58
01103,Morgan County,Alabama,2.94,-1.3,40,4.24
01105,Perry County,Alabama,5.73,2.08,117,3.65
01107,Pickens County,Alabama,2.42,-1.69,37,4.11
01109,Pike County,Alabama,4.14,0.51,87,3.63
01111,Randolph County,Alabama,5.83,2.08,110,3.75
01113,Russell County,Alabama,6.23,2.96,118,3.27
01115,St. Clair County,Alabama,5.3,1.5,105,3.8
01117,Shelby County,Alabama,5.6,1.8,110,3.8
01119,Sumter County,Alabama,3.88,-0.04,81,3.92
01121,Talladega County,Alabama,6.18,2.51,117,3.67
01123,Tallapoosa County,Alabama,6.02,2.37,114,3.65
01125,Tuscaloosa County,Alabama,4.09,0,75,4.09
01127,Walker County,Alabama,2.96,-1.17,44,4.13
01129,Washington County,Alabama,4.54,0.5,87,4.04
01131,Wilcox County,Alabama,4.78,1.08,98,3.7
01133,Winston County,Alabama,2.2,-2,27,4.2
04001,Apache County,Arizona,0.21,-0.7,27,0.91
04003,Cochise County,Arizona,0.5,-0.27,59,0.77
04005,Coconino County,Arizona,0.18,-0.74,25,0.92
04007,Gila County,Arizona,0.28,-1.27,25,1.55
04009,Graham County,Arizona,0.26,-0.75,36,1.01
04011,Greenlee County,Arizona,0.31,-0.76,34,1.07
04012,La Paz County,Arizona,0,-0.4,1,0.4
04013,Maricopa County,Arizona,0.02,-0.68,21,0.7
04015,Mohave County,Arizona,0.07,-0.67,20,0.74
04017,Navajo County,Arizona,0.2,-0.66,28,0.86
04019,Pima County,Arizona,0.09,-0.67,34,0.76
04021,Pinal County,Arizona,0.12,-0.81,32,0.93
04023,Santa Cruz County,Arizona,0.13,-0.78,33,0.91
04025,Yavapai County,Arizona,0.06,-1.03,22,1.09
04027,Yuma County,Arizona,0,-0.31,1,0.31
05001,Arkansas County,Arkansas,2.34,-2.1,24,4.44
05003,Ashley County,Arkansas,2.41,-2.14,25,4.55
05005,Baxter County,Arkansas,1.51,-2.19,23,3.7
05007,Benton County,Arkansas,1.41,-2.12,24,3.53
05009,Boone County,Arkansas,1.63,-2.01,28,3.64
05011,Bradley County,Arkansas,2.05,-2.46,19,4.51
05013,Calhoun County,Arkansas,2.12,-2.46,22,4.58
05015,Carroll County,Arkansas,1.56,-2.13,30,3.69
05017,Chicot County,Arkansas,2.05,-2.51,18,4.56
05019,Clark County,Arkansas,1.86,-2.71,17,4.57
05021,Clay County,Arkansas,1.44,-2.74,15,4.18
05023,Cleburne County,Arkansas,1.34,-3.15,11,4.49
05025,Cleveland County,Arkansas,1.96,-2.65,14,4.61
05027,Columbia County,Arkansas,2.1,-2.43,26,4.53
05029,Conway County,Arkansas,1.53,-2.81,11,4.34
05031,Craighead County,Arkansas,1.07,-3.2,6,4.27
05033,Crawford County,Arkansas,1.64,-2.27,23,3.91
05035,Crittenden County,Arkansas,1.41,-2.93,7,4.34
05037,Cross County,Arkansas,1.08,-3.26,5,4.34
05039,Dallas County,Arkansas,2.05,-2.53,20,4.58
05041,Desha County,Arkansas,1.78,-2.7,14,4.48
05043,Drew County,Arkansas,1.96,-2.56,15,4.52
05045,Faulkner County,Arkansas,1.34,-3.2,10,4.54
05047,Franklin County,Arkansas,1.93,-2.06,29,3.99
05049,Fulton County,Arkansas,1.44,-2.48,18,3.92
05051,Garland County,Arkansas,1.23,-3.36,6,4.59
05053,Grant County,Arkansas,1.77,-2.8,13,4.57
05055,Greene County,Arkansas,1.2,-3.06,9,4.26
05057,Hempstead County,Arkansas,2.16,-2.32,30,4.48
05059,Hot Spring County,Arkansas,1.47,-3.17,10,4.64
05061,Howard County,Arkansas,1.48,-2.97,10,4.45
05063,Independence County,Arkansas,1.2,-3.07,11,4.27
05065,Izard County,Arkansas,1.14,-2.91,10,4.05
05067,Jackson County,Arkansas,1.12,-3.15,8,4.27
05069,Jefferson County,Arkansas,2.13,-2.38,18,4.51
05071,Johnson County,Arkansas,2.4,-1.79,38,4.19
05073,Lafayette County,Arkansas,2.21,-2.22,28,4.43
05075,Lawrence County,Arkansas,1.19,-3.09,11,4.28
05077,Lee County,Arkansas,2.38,-1.97,28,4.35
05079,Lincoln County,Arkansas,2.15,-2.36,19,4.51
05081,Little River County,Arkansas,2.63,-1.68,46,4.31
05083,Logan County,Arkansas,2.11,-1.75,35,3.86
05085,Lonoke County,Arkansas,1.12,-3.31,6,4.43
05087,Madison County,Arkansas,1.38,-2.59,18,3.97
05089,Marion County,Arkansas,1.48,-2.14,25,3.62
05091,Miller County,Arkansas,3.03,-1.32,52,4.35
05093,Mississippi County,Arkansas,1.22,-2.95,5,4.17
05095,Monroe County,Arkansas,1.8,-2.55,13,4.35
05097,Montgomery County,Arkansas,1.45,-3,9,4.45
05099,Nevada County,Arkansas,2.16,-2.38,29,4.54
05101,Newton County,Arkansas,1.93,-2.14,27,4.07
05103,Ouachita County,Arkansas,2.11,-2.5,22,4.61
05105,Perry County,Arkansas,1.39,-2.88,10,4.27
05107,Phillips County,Arkansas,2.37,-2.11,27,4.48
05109,Pike County,Arkansas,1.49,-3.11,9,4.6
05111,Poinsett County,Arkansas,1.07,-3.18,6,4.25
05113,Polk County,Arkansas,1.6,-2.67,17,4.27
05115,Pope County,Arkansas,1.74,-2.58,17,4.32
05117,Prairie County,Arkansas,1.36,-2.97,8,4.33
05119,Pulaski County,Arkansas,1.15,-3.39,7,4.54
05121,Randolph County,Arkansas,1.41,-2.79,14,4.2
05123,St. Francis County,Arkansas,1.63,-2.73,10,4.36
05125,Saline County,Arkansas,1.27,-3.35,8,4.62
05127,Scott County,Arkansas,1.75,-2.23,21,3.98
05129,Searcy County,Arkansas,1.86,-2.12,26,3.98
05131,Sebastian County,Arkansas,1.6,-2.12,26,3.72
05133,Sevier County,Arkansas,1.56,-2.74,13,4.3
05135,Sharp County,Arkansas,1.28,-2.89,14,4.17
05137,Stone County,Arkansas,1.53,-2.67,14,4.2
05139,Union County,Arkansas,2.5,-1.93,30,4.43
05141,Van Buren County,Arkansas,1.92,-2.54,22,4.46
05143,Washington County,Arkansas,1.5,-2.25,24,3.75
05145,White County,Arkansas,1.09,-3.39,7,4.48
05147,Woodruff County,Arkansas,1.28,-3.07,7,4.35
05149,Yell County,Arkansas,1.56,-2.57,16,4.13
06001,Alameda County,California,0.4,-1.71,17,2.11
06003,Alpine County,California,1.9,-1.9,39,3.8
06005,Amador County,California,1.17,-2.82,19,3.99
06007,Butte County,California,2.05,-3.3,25,5.35
06009,Calaveras County,California,0.93,-2.89,16,3.82
06011,Colusa County,California,0.85,-1.69,33,2.54
06013,Contra Costa County,California,0.47,-1.59,23,2.06
06015,Del Norte County,California,9.17,-2.72,60,11.89
06017,El Dorado County,California,1.61,-3.42,17,5.03
06019,Fresno County,California,0.25,-1.61,18,1.86
06021,Glenn County,California,0.95,-2.11,30,3.06
06023,Humboldt County,California,5.93,-3.19,49,9.12
06025,Imperial County,California,0.01,-0.2,25,0.21
06027,Inyo County,California,0.08,-0.4,31,0.48
06029,Kern County,California,0.26,-0.52,38,0.78
06031,Kings County,California,0.2,-0.46,39,0.66
06033,Lake County,California,1.97,-3.17,31,5.14
06035,Lassen County,California,1.29,-0.96,42,2.25
06037,Los Angeles County,California,0.06,-1.23,17,1.29
06039,Madera County,California,0.33,-2.01,18,2.34
06041,Marin County,California,0.9,-3.49,17,4.39
06043,Mariposa County,California,0.63,-2.8,20,3.43
06045,Mendocino County,California,3.14,-3.54,36,6.68
06047,Merced County,California,0.22,-0.96,22,1.18
06049,Modoc County,California,1.6,-0.5,53,2.1
06051,Mono County,California,0.63,-0.85,38,1.48
06053,Monterey County,California,0.19,-1.77,13,1.96
06055,Napa County,California,0.91,-2.63,21,3.54
06057,Nevada County,California,2.17,-3.78,27,5.95
06059,Orange County,California,0.06,-1.13,17,1.19
06061,Placer County,California,1.75,-3.6,22,5.35
06063,Plumas County,California,2.2,-2.66,31,4.86
06065,Riverside County,California,0.18,-0.46,41,0.64
06067,Sacramento County,California,0.6,-1.51,22,2.11
06069,San Benito County,California,0.17,-1.5,14,1.67
06071,San Bernardino County,California,0.14,-0.36,39,0.5
06073,San Diego County,California,0.54,-0.65,45,1.19
06075,San Francisco County,California,0.55,-2.34,17,2.89
06077,San Joaquin County,California,0.3,-1.22,19,1.52
06079,San Luis Obispo County,California,0.08,-1.45,12,1.53
06081,San Mateo County,California,0.49,-2.67,12,3.16
06083,Santa Barbara County,California,0.05,-1.6,14,1.65
06085,Santa Clara County,California,0.31,-2.16,12,2.47
06087,Santa Cruz County,California,0.31,-3.26,12,3.57
06089,Shasta County,California,2.08,-3.28,28,5.36
06091,Sierra County,California,2.11,-3.25,25,5.36
06093,Siskiyou County,California,2.96,-2.44,41,5.4
06095,Solano County,California,0.46,-1.76,21,2.22
06097,Sonoma County,California,1.59,-3.62,21,5.21
06099,Stanislaus County,California,0.25,-1.21,19,1.46
06101,Sutter County,California,0.76,-1.48,28,2.24
06103,Tehama County,California,1.8,-2.74,30,4.54
06105,Trinity County,California,3.75,-4.1,37,7.85
06107,Tulare County,California,0.3,-1.63,20,1.93
06109,Tuolumne County,California,1.26,-3.07,24,4.33
06111,Ventura County,California,0.1,-1.59,20,1.69
06113,Yolo County,California,0.51,-1.73,23,2.24
06115,Yuba County,California,1.89,-2.68,33,4.57
08001,Adams County,Colorado,0.64,0,81,0.64
08003,Alamosa County,Colorado,0.21,-0.29,40,0.5
08005,Arapahoe County,Colorado,0.64,-0.02,83,0.66
08007,Archuleta County,Colorado,0.95,-0.72,36,1.67
08009,Baca County,Colorado,0.34,-0.25,67,0.59
08011,Bent County,Colorado,0.51,-0.03,84,0.54
08013,Boulder County,Colorado,0.74,-0.35,44,1.09
08014,Broomfield County,Colorado,0.78,0.08,91,0.7
08015,Chaffee County,Colorado,0.34,-0.69,20,1.03
08017,Cheyenne County,Colorado,0.4,-0.08,86,0.48
08019,Clear Creek County,Colorado,1.03,-0.62,31,1.65
08021,Conejos County,Colorado,0.67,-0.45,41,1.12
08023,Costilla County,Colorado,0.48,-0.56,34,1.04
08025,Crowley County,Colorado,0.22,-0.17,60,0.39
08027,Custer County,Colorado,0.53,-0.74,36,1.27
