ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
01001,Autauga County,Alabama,53.3,-1,52,54.3
01003,Baldwin County,Alabama,57.2,-1.1,49,58.3
01005,Barbour County,Alabama,55,-0.8,58,55.8
01007,Bibb County,Alabama,52.9,0.1,67,52.8
01009,Blount County,Alabama,52.1,1.5,85,50.6
01011,Bullock County,Alabama,54.1,-1,56,55.1
01013,Butler County,Alabama,53.4,-1.9,37,55.3
01015,Calhoun County,Alabama,51.6,0.6,74,51
01017,Chambers County,Alabama,52.7,0.6,72,52.1
01019,Cherokee County,Alabama,51.5,1,76,50.5
01021,Chilton County,Alabama,52.8,-0.2,63,53
01023,Choctaw County,Alabama,54.1,-0.7,59,54.8
01025,Clarke County,Alabama,54.5,-0.9,56,55.4
01027,Clay County,Alabama,51.5,0.3,72,51.2
01029,Cleburne County,Alabama,50.9,0.7,73,50.2
01031,Coffee County,Alabama,55.4,-1.1,53,56.5
01033,Colbert County,Alabama,51.6,2,88,49.6
01035,Conecuh County,Alabama,54.4,-1.8,41,56.2
01037,Coosa County,Alabama,52.4,-0.4,62,52.8
01039,Covington County,Alabama,55,-1.5,43,56.5
01041,Crenshaw County,Alabama,53.6,-1.7,41,55.3
01043,Cullman County,Alabama,52.2,1.8,91,50.4
01045,Dale County,Alabama,55.6,-1.2,50,56.8
01047,Dallas County,Alabama,54,-0.7,56,54.7
01049,DeKalb County,Alabama,50.7,1.2,78,49.5
01051,Elmore County,Alabama,53.3,-1.1,53,54.4
01053,Escambia County,Alabama,55.5,-1.3,47,56.8
01055,Etowah County,Alabama,51.6,0.8,74,50.8
01057,Fayette County,Alabama,52.7,1,77,51.7
01059,Franklin County,Alabama,51.3,1.5,85,49.8
01061,Geneva County,Alabama,56.5,-0.7,58,57.2
01063,Greene County,Alabama,54.1,0.3,70,53.8
01065,Hale County,Alabama,53.8,-0.1,67,53.9
01067,Henry County,Alabama,55.8,-1,54,56.8
01069,Houston County,Alabama,56.6,-1,55,57.6
01071,Jackson County,Alabama,51.4,1.9,88,49.5
01073,Jefferson County,Alabama,52.4,0.7,73,51.7
01075,Lamar County,Alabama,52.6,0.8,77,51.8
01077,Lauderdale County,Alabama,51.3,2.2,90,49.1
01079,Lawrence County,Alabama,51.4,1.6,86,49.8
01081,Lee County,Alabama,53.8,-0.1,68,53.9
01083,Limestone County,Alabama,51.4,1.8,88,49.6
