ID,Name,State,Value,Anomaly (1901-2000 base period),"Rank,1901-2000 Mean"
01001,Autauga County,Alabama,6.86,4.29,125,2.57
01003,Baldwin County,Alabama,6.84,3.49,116,3.35
01005,Barbour County,Alabama,5.93,3.41,122,2.52
01007,Bibb County,Alabama,6.95,4.15,125,2.8
01009,Blount County,Alabama,8.47,5.44,124,3.03
01011,Bullock County,Alabama,4.89,2.28,110,2.61
01013,Butler County,Alabama,4.13,1.59,103,2.54
01015,Calhoun County,Alabama,8.82,6.01,127,2.81
01017,Chambers County,Alabama,9.85,7.23,129,2.62
01019,Cherokee County,Alabama,8.36,5.34,127,3.02
01021,Chilton County,Alabama,7.91,5.24,127,2.67
01023,Choctaw County,Alabama,3.95,1.24,95,2.71
01025,Clarke County,Alabama,3.68,1.02,92,2.66
01027,Clay County,Alabama,8.89,6.03,126,2.86
01029,Cleburne County,Alabama,9.67,6.8,128,2.87
01031,Coffee County,Alabama,6.52,3.88,122,2.64
01033,Colbert County,Alabama,10.22,7.19,129,3.03
01035,Conecuh County,Alabama,5.67,2.97,113,2.7
01037,Coosa County,Alabama,9.47,6.76,128,2.71
01039,Covington County,Alabama,6.83,4.01,121,2.82
01041,Crenshaw County,Alabama,4.56,2.02,110,2.54
01043,Cullman County,Alabama,8.46,5.3,124,3.16
01045,Dale County,Alabama,6.43,3.85,123,2.58
01047,Dallas County,Alabama,5.21,2.59,116,2.62
01049,DeKalb County,Alabama,8.88,5.7,127,3.18
01051,Elmore County,Alabama,8.34,5.8,128,2.54
01053,Escambia County,Alabama,6.39,3.43,119,2.96
01055,Etowah County,Alabama,8.26,5.29,125,2.97
01057,Fayette County,Alabama,10.23,7.19,128,3.04
01059,Franklin County,Alabama,11.16,8.14,129,3.02
01061,Geneva County,Alabama,7.76,5.01,126,2.75
01063,Greene County,Alabama,5.74,3.01,116,2.73
01065,Hale County,Alabama,5.49,2.72,115,2.77
01067,Henry County,Alabama,6.92,4.49,126,2.43
01069,Houston County,Alabama,5.44,2.88,116,2.56
01071,Jackson County,Alabama,8.05,4.77,125,3.28
01073,Jefferson County,Alabama,8.19,5.19,126,3
01075,Lamar County,Alabama,11.05,8.14,129,2.91
01077,Lauderdale County,Alabama,9.48,6.33,128,3.15
01079,Lawrence County,Alabama,9.56,6.46,127,3.1
01081,Lee County,Alabama,8.77,6.19,128,2.58
01083,Limestone County,Alabama,8.19,5.05,126,3.14
01085,Lowndes County,Alabama,4.81,2.29,112,2.52
01087,Macon County,Alabama,6.96,4.44,126,2.52
01089,Madison County,Alabama,7.96,4.84,127,3.12
01091,Marengo County,Alabama,4.24,1.61,103,2.63
01093,Marion County,Alabama,11.54,8.58,129,2.96
01095,Marshall County,Alabama,8.52,5.47,126,3.05
01097,Mobile County,Alabama,6.15,2.98,114,3.17
01099,Monroe County,Alabama,4.59,1.96,102,2.63
01101,Montgomery County,Alabama,5.6,3.13,120,2.47
01103,Morgan County,Alabama,8.06,4.99,126,3.07
01105,Perry County,Alabama,5.92,3.29,122,2.63
01107,Pickens County,Alabama,8.41,5.53,126,2.88
01109,Pike County,Alabama,4.58,1.99,108,2.59
01111,Randolph County,Alabama,9.45,6.63,127,2.82
01113,Russell County,Alabama,6.39,3.98,124,2.41
01115,St. Clair County,Alabama,8.58,5.61,126,2.97
01117,Shelby County,Alabama,7.81,4.9,126,2.91
01119,Sumter County,Alabama,5.4,2.7,117,2.7
01121,Talladega County,Alabama,8.34,5.58,126,2.76
01123,Tallapoosa County,Alabama,9.44,6.75,127,2.69
01125,Tuscaloosa County,Alabama,7.18,4.22,121,2.96
01127,Walker County,Alabama,9.19,6.06,127,3.13
01129,Washington County,Alabama,4.42,1.61,99,2.81
01131,Wilcox County,Alabama,4.17,1.56,100,2.61
01133,Winston County,Alabama,10.53,7.36,129,3.17
04001,Apache County,Arizona,0.43,-0.72,33,1.15
04003,Cochise County,Arizona,0.56,-0.38,68,0.94
04005,Coconino County,Arizona,0.11,-0.88,19,0.99
04007,Gila County,Arizona,0.08,-1.39,16,1.47
04009,Graham County,Arizona,0.14,-0.97,21,1.11
04011,Greenlee County,Arizona,0.41,-0.96,35,1.37
04012,La Paz County,Arizona,0,-0.38,1,0.38
04013,Maricopa County,Arizona,0,-0.61,1,0.61
04015,Mohave County,Arizona,0.02,-0.7,10,0.72
04017,Navajo County,Arizona,0.3,-0.76,33,1.06
