ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
01001,Autauga County,Alabama,63.6,-1,46,64.6
01003,Baldwin County,Alabama,68.9,0.9,81,68
01005,Barbour County,Alabama,66,0.4,69,65.6
01007,Bibb County,Alabama,62,-1.6,34,63.6
01009,Blount County,Alabama,59.9,-1.6,37,61.5
01011,Bullock County,Alabama,65.5,0.5,72,65
01013,Butler County,Alabama,65,-0.3,55,65.3
01015,Calhoun County,Alabama,60.4,-1.2,42,61.6
01017,Chambers County,Alabama,61.2,-1.2,42,62.4
01019,Cherokee County,Alabama,59.4,-2,32,61.4
01021,Chilton County,Alabama,62.4,-1,44,63.4
01023,Choctaw County,Alabama,63.9,-1,46,64.9
01025,Clarke County,Alabama,65,-0.5,55,65.5
01027,Clay County,Alabama,60.1,-1.3,38,61.4
01029,Cleburne County,Alabama,59.5,-1.1,41,60.6
01031,Coffee County,Alabama,66.7,0.4,74,66.3
01033,Colbert County,Alabama,58.2,-2.5,21,60.7
01035,Conecuh County,Alabama,66.4,0.3,76,66.1
01037,Coosa County,Alabama,61.9,-1.2,46,63.1
01039,Covington County,Alabama,66.5,0.1,69,66.4
01041,Crenshaw County,Alabama,64.4,-0.9,43,65.3
01043,Cullman County,Alabama,59.6,-1.6,38,61.2
01045,Dale County,Alabama,67.1,0.6,74,66.5
01047,Dallas County,Alabama,63.6,-1.4,37,65
01049,DeKalb County,Alabama,58.1,-2.2,30,60.3
01051,Elmore County,Alabama,64,-0.6,49,64.6
01053,Escambia County,Alabama,67.5,0.8,86,66.7
01055,Etowah County,Alabama,59.5,-2.2,27,61.7
01057,Fayette County,Alabama,60.4,-2.3,24,62.7
01059,Franklin County,Alabama,58,-2.8,18,60.8
01061,Geneva County,Alabama,68.6,1.7,93,66.9
01063,Greene County,Alabama,62.4,-2.3,23,64.7
01065,Hale County,Alabama,62.7,-1.9,27,64.6
01067,Henry County,Alabama,66.8,0.3,68,66.5
01069,Houston County,Alabama,68.6,1.2,88,67.4
01071,Jackson County,Alabama,58.3,-2.2,32,60.5
01073,Jefferson County,Alabama,60.8,-1.7,31,62.5
01075,Lamar County,Alabama,60.6,-2.2,26,62.8
01077,Lauderdale County,Alabama,57.8,-2.5,21,60.3
01079,Lawrence County,Alabama,58.2,-2.7,18,60.9
01081,Lee County,Alabama,62.9,-1.2,41,64.1
01083,Limestone County,Alabama,58.7,-2.1,29,60.8
01085,Lowndes County,Alabama,64.6,-0.7,49,65.3
01087,Macon County,Alabama,64.5,-0.5,56,65
01089,Madison County,Alabama,59,-1.9,34,60.9
01091,Marengo County,Alabama,63.4,-1.6,33,65
01093,Marion County,Alabama,58.9,-2.7,22,61.6
01095,Marshall County,Alabama,59.3,-2.1,30,61.4
01097,Mobile County,Alabama,68.3,0.8,78,67.5
01099,Monroe County,Alabama,66,0.2,68,65.8
