ID,Name,State,Value,Anomaly (1901-2000 base period),"Rank,1901-2000 Mean"
01001,Autauga County,Alabama,7.42,3.8,121,3.62
01003,Baldwin County,Alabama,7.37,1.56,93,5.81
01005,Barbour County,Alabama,4.81,0.97,98,3.84
01007,Bibb County,Alabama,12.18,8.74,129,3.44
01009,Blount County,Alabama,7.42,3.79,121,3.63
01011,Bullock County,Alabama,6.27,2.69,118,3.58
01013,Butler County,Alabama,7.82,3.86,120,3.96
01015,Calhoun County,Alabama,5.04,1.58,103,3.46
01017,Chambers County,Alabama,8.07,4.65,127,3.42
01019,Cherokee County,Alabama,7.5,4.07,122,3.43
01021,Chilton County,Alabama,8.31,4.76,125,3.55
01023,Choctaw County,Alabama,7.92,4.13,121,3.79
01025,Clarke County,Alabama,7.51,3.64,118,3.87
01027,Clay County,Alabama,8.95,5.3,126,3.65
01029,Cleburne County,Alabama,5.56,2.12,113,3.44
01031,Coffee County,Alabama,5.2,0.85,94,4.35
01033,Colbert County,Alabama,9.54,6.28,129,3.26
01035,Conecuh County,Alabama,5.45,1.18,96,4.27
01037,Coosa County,Alabama,9.91,6.26,128,3.65
01039,Covington County,Alabama,6.28,1.74,102,4.54
01041,Crenshaw County,Alabama,6.1,2.13,110,3.97
01043,Cullman County,Alabama,7.67,4.04,122,3.63
01045,Dale County,Alabama,4.35,0.05,81,4.3
01047,Dallas County,Alabama,6.18,2.71,120,3.47
01049,DeKalb County,Alabama,7.88,4.37,124,3.51
01051,Elmore County,Alabama,7.5,3.8,120,3.7
01053,Escambia County,Alabama,5.02,0.3,85,4.72
01055,Etowah County,Alabama,7.24,3.64,117,3.6
01057,Fayette County,Alabama,9.67,6.22,126,3.45
01059,Franklin County,Alabama,10.42,7.08,129,3.34
01061,Geneva County,Alabama,5.48,0.8,91,4.68
01063,Greene County,Alabama,7.59,4.39,123,3.2
01065,Hale County,Alabama,8.6,5.36,129,3.24
01067,Henry County,Alabama,3.45,-0.62,75,4.07
01069,Houston County,Alabama,4.74,0.3,85,4.44
01071,Jackson County,Alabama,5.97,2.43,109,3.54
01073,Jefferson County,Alabama,10.3,6.76,129,3.54
01075,Lamar County,Alabama,9.16,5.87,127,3.29
01077,Lauderdale County,Alabama,8.7,5.4,128,3.3
01079,Lawrence County,Alabama,10.26,6.9,129,3.36
01081,Lee County,Alabama,7.34,3.88,126,3.46
01083,Limestone County,Alabama,8.94,5.58,129,3.36
01085,Lowndes County,Alabama,7.31,3.62,118,3.69
01087,Macon County,Alabama,6.1,2.61,116,3.49
01089,Madison County,Alabama,7.35,3.88,123,3.47
01091,Marengo County,Alabama,6.7,3.28,119,3.42
01093,Marion County,Alabama,8.91,5.54,127,3.37
01095,Marshall County,Alabama,5.03,1.48,100,3.55
01097,Mobile County,Alabama,7.33,1.69,96,5.64
01099,Monroe County,Alabama,5.89,1.9,103,3.99
01101,Montgomery County,Alabama,6.74,3.1,116,3.64
01103,Morgan County,Alabama,7.73,4.3,123,3.43
01105,Perry County,Alabama,8.48,5.14,126,3.34
01107,Pickens County,Alabama,10.21,7.04,127,3.17
01109,Pike County,Alabama,5.27,1.31,96,3.96
01111,Randolph County,Alabama,7.56,4.05,123,3.51
01113,Russell County,Alabama,6.07,2.72,116,3.35
01115,St. Clair County,Alabama,8.3,4.53,121,3.77
01117,Shelby County,Alabama,9.96,6.4,128,3.56
01119,Sumter County,Alabama,7.13,3.86,119,3.27
01121,Talladega County,Alabama,8.12,4.6,124,3.52
