ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,62.3,-1.3,37,63.6
AL-003,Baldwin County,Alabama,64.9,-1.5,34,66.4
AL-005,Barbour County,Alabama,62.4,-2.1,22,64.5
AL-007,Bibb County,Alabama,61.2,-1.3,40,62.5
AL-009,Blount County,Alabama,59.4,-0.9,43,60.3
AL-011,Bullock County,Alabama,62.1,-1.7,29,63.8
AL-013,Butler County,Alabama,62.2,-2.2,23,64.4
AL-015,Calhoun County,Alabama,59.3,-1.4,34,60.7
AL-017,Chambers County,Alabama,59.7,-1.6,34,61.3
AL-019,Cherokee County,Alabama,59.2,-1.2,39,60.4
AL-021,Chilton County,Alabama,61,-1.4,36,62.4
AL-023,Choctaw County,Alabama,63.3,-1.1,50,64.4
AL-025,Clarke County,Alabama,63.3,-1.4,40,64.7
AL-027,Clay County,Alabama,58.7,-1.9,28,60.6
AL-029,Cleburne County,Alabama,58.3,-1.4,37,59.7
AL-031,Coffee County,Alabama,62.9,-2.2,21,65.1
AL-033,Colbert County,Alabama,59.2,-0.6,51,59.8
AL-035,Conecuh County,Alabama,62.9,-2.2,23,65.1
AL-037,Coosa County,Alabama,60.3,-1.7,31,62
AL-039,Covington County,Alabama,63,-2.3,20,65.3
AL-041,Crenshaw County,Alabama,62.4,-1.9,28,64.3
AL-043,Cullman County,Alabama,58.9,-1.2,40,60.1
AL-045,Dale County,Alabama,63.1,-2.3,20,65.4
AL-047,Dallas County,Alabama,62.2,-1.8,27,64
AL-049,DeKalb County,Alabama,58,-1.2,39,59.2
AL-051,Elmore County,Alabama,62,-1.3,39,63.3
AL-053,Escambia County,Alabama,63.7,-2,26,65.7
AL-055,Etowah County,Alabama,59.4,-1.2,37,60.6
AL-057,Fayette County,Alabama,60.2,-1.5,32,61.7
AL-059,Franklin County,Alabama,59,-0.8,49,59.8
AL-061,Geneva County,Alabama,63.8,-2.1,24,65.9
AL-063,Greene County,Alabama,62.4,-1.2,42,63.6
AL-065,Hale County,Alabama,62.1,-1.3,38,63.4
AL-067,Henry County,Alabama,63.1,-2.3,21,65.4
AL-069,Houston County,Alabama,64.2,-2.1,24,66.3
AL-071,Jackson County,Alabama,57.8,-1.6,32,59.4
AL-073,Jefferson County,Alabama,60.9,-0.6,51,61.5
AL-075,Lamar County,Alabama,60.4,-1.4,36,61.8
AL-077,Lauderdale County,Alabama,58.7,-0.8,51,59.5
AL-079,Lawrence County,Alabama,58.6,-1.3,35,59.9
AL-081,Lee County,Alabama,60.8,-1.6,37,62.4
AL-083,Limestone County,Alabama,58.8,-1,45,59.8
AL-085,Lowndes County,Alabama,63,-1.4,37,64.4
AL-087,Macon County,Alabama,62.1,-1.4,42,63.5
AL-089,Madison County,Alabama,58.9,-0.9,44,59.8
AL-091,Marengo County,Alabama,62.8,-1.3,44,64.1
AL-093,Marion County,Alabama,59.3,-1.2,41,60.5
AL-095,Marshall County,Alabama,58.9,-1.2,36,60.1
AL-097,Mobile County,Alabama,65.4,-0.8,50,66.2
AL-099,Monroe County,Alabama,63.1,-1.8,32,64.9
AL-101,Montgomery County,Alabama,63,-1.1,40,64.1
AL-103,Morgan County,Alabama,58.8,-1.3,35,60.1
AL-105,Perry County,Alabama,61.6,-1.7,32,63.3
AL-107,Pickens County,Alabama,61.8,-1,43,62.8
AL-109,Pike County,Alabama,62.4,-2,26,64.4
AL-111,Randolph County,Alabama,58.9,-1.3,36,60.2
AL-113,Russell County,Alabama,62,-1.7,31,63.7
AL-115,St. Clair County,Alabama,59.7,-1.1,43,60.8
AL-117,Shelby County,Alabama,60.7,-1,44,61.7
AL-119,Sumter County,Alabama,63,-0.8,52,63.8
AL-121,Talladega County,Alabama,59.8,-1.7,31,61.5
AL-123,Tallapoosa County,Alabama,59.9,-1.9,26,61.8
AL-125,Tuscaloosa County,Alabama,61.8,-1,46,62.8
AL-127,Walker County,Alabama,60.3,-1,43,61.3
AL-129,Washington County,Alabama,63.9,-1.4,40,65.3
AL-131,Wilcox County,Alabama,62.6,-1.8,27,64.4
AL-133,Winston County,Alabama,59,-1,45,60
AZ-001,Apache County,Arizona,47,-0.4,45,47.4
AZ-003,Cochise County,Arizona,58.8,0.5,67,58.3
AZ-005,Coconino County,Arizona,49.4,-0.1,54,49.5
AZ-007,Gila County,Arizona,56.1,0.7,68,55.4
AZ-009,Graham County,Arizona,58.2,0.6,70,57.6
AZ-011,Greenlee County,Arizona,53.6,0.3,60,53.3
AZ-012,La Paz County,Arizona,68.1,0.3,64,67.8
AZ-013,Maricopa County,Arizona,67.1,0.8,68,66.3
AZ-015,Mohave County,Arizona,58.1,-0.2,53,58.3
AZ-017,Navajo County,Arizona,49,-0,52,49
AZ-019,Pima County,Arizona,64.3,0.6,66,63.7
AZ-021,Pinal County,Arizona,65.7,0.8,69,64.9
AZ-023,Santa Cruz County,Arizona,58,0.7,67,57.3
AZ-025,Yavapai County,Arizona,55.2,0.3,61,54.9
AZ-027,Yuma County,Arizona,68.6,0.3,59,68.3
AR-001,Arkansas County,Arkansas,62.2,-0.1,70,62.3
AR-003,Ashley County,Arkansas,63,-0.3,64,63.3
AR-005,Baxter County,Arkansas,56.6,-0.7,46,57.3
AR-007,Benton County,Arkansas,56.1,-1.3,44,57.4
AR-009,Boone County,Arkansas,55.5,-1.3,37,56.8
AR-011,Bradley County,Arkansas,61.8,-1,43,62.8
AR-013,Calhoun County,Arkansas,61.4,-1.4,32,62.8
AR-015,Carroll County,Arkansas,55.6,-1.2,40,56.8
AR-017,Chicot County,Arkansas,63.4,-0.2,61,63.6
AR-019,Clark County,Arkansas,61.2,-0.9,49,62.1
