ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,78.8,-1.2,24,80
AL-003,Baldwin County,Alabama,79.7,-1.2,17,80.9
AL-005,Barbour County,Alabama,78.8,-1.1,25,79.9
AL-007,Bibb County,Alabama,78,-1.5,19,79.5
AL-009,Blount County,Alabama,76.9,-1,33,77.9
AL-011,Bullock County,Alabama,78.7,-0.9,28,79.6
AL-013,Butler County,Alabama,77.9,-1.9,7,79.8
AL-015,Calhoun County,Alabama,77.3,-0.7,40,78
AL-017,Chambers County,Alabama,77,-0.8,38,77.8
AL-019,Cherokee County,Alabama,77.4,-0.7,38,78.1
AL-021,Chilton County,Alabama,78,-1.1,28,79.1
AL-023,Choctaw County,Alabama,78.4,-2,10,80.4
AL-025,Clarke County,Alabama,78.5,-1.7,14,80.2
AL-027,Clay County,Alabama,76,-0.9,35,76.9
AL-029,Cleburne County,Alabama,76,-0.7,41,76.7
AL-031,Coffee County,Alabama,78.9,-1.1,25,80
AL-033,Colbert County,Alabama,76.1,-2.1,14,78.2
AL-035,Conecuh County,Alabama,78.2,-2.2,7,80.4
AL-037,Coosa County,Alabama,77.5,-1,30,78.5
AL-039,Covington County,Alabama,78.6,-1.7,9,80.3
AL-041,Crenshaw County,Alabama,77.8,-1.7,9,79.5
AL-043,Cullman County,Alabama,76.7,-1.1,34,77.8
AL-045,Dale County,Alabama,78.9,-1.3,15,80.2
AL-047,Dallas County,Alabama,79,-1.2,22,80.2
AL-049,DeKalb County,Alabama,75.7,-0.8,41,76.5
AL-051,Elmore County,Alabama,78.8,-1,29,79.8
AL-053,Escambia County,Alabama,78.8,-1.8,9,80.6
AL-055,Etowah County,Alabama,77.4,-0.7,39,78.1
AL-057,Fayette County,Alabama,77.6,-2,18,79.6
AL-059,Franklin County,Alabama,76.4,-1.5,27,77.9
AL-061,Geneva County,Alabama,79.9,-0.5,42,80.4
AL-063,Greene County,Alabama,78.6,-2.2,12,80.8
AL-065,Hale County,Alabama,78.7,-1.6,20,80.3
AL-067,Henry County,Alabama,78.8,-1.6,11,80.4
AL-069,Houston County,Alabama,79.6,-1.2,17,80.8
AL-071,Jackson County,Alabama,76.1,-0.8,41,76.9
AL-073,Jefferson County,Alabama,77.6,-1.5,23,79.1
AL-075,Lamar County,Alabama,77.9,-1.8,24,79.7
AL-077,Lauderdale County,Alabama,75.5,-2.2,9,77.7
AL-079,Lawrence County,Alabama,76.3,-1.7,23,78
AL-081,Lee County,Alabama,78,-0.8,35,78.8
AL-083,Limestone County,Alabama,76.8,-1,38,77.8
AL-085,Lowndes County,Alabama,79.1,-1.2,22,80.3
AL-087,Macon County,Alabama,79,-0.9,33,79.9
AL-089,Madison County,Alabama,76.7,-1,39,77.7
