ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,49.4,0.2,70,49.2
AL-003,Baldwin County,Alabama,53.5,-0.1,63,53.6
AL-005,Barbour County,Alabama,49.1,-1.5,49,50.6
AL-007,Bibb County,Alabama,48,0.7,73,47.3
AL-009,Blount County,Alabama,45.2,0.7,74,44.5
AL-011,Bullock County,Alabama,48.8,-0.9,51,49.7
AL-013,Butler County,Alabama,49.2,-1.3,49,50.5
AL-015,Calhoun County,Alabama,45.8,0.5,75,45.3
AL-017,Chambers County,Alabama,46.2,-0.3,59,46.5
AL-019,Cherokee County,Alabama,45.2,0.8,75,44.4
AL-021,Chilton County,Alabama,48.3,0.7,75,47.6
AL-023,Choctaw County,Alabama,51.2,1.1,78,50.1
AL-025,Clarke County,Alabama,51.8,1,79,50.8
AL-027,Clay County,Alabama,45.4,-0.3,60,45.7
AL-029,Cleburne County,Alabama,45,0.7,77,44.4
AL-031,Coffee County,Alabama,49.3,-2.3,38,51.6
AL-033,Colbert County,Alabama,45.1,2.2,85,42.9
AL-035,Conecuh County,Alabama,50.6,-1.1,49,51.7
AL-037,Coosa County,Alabama,47.2,-0.2,63,47.4
AL-039,Covington County,Alabama,50.1,-1.8,45,51.9
AL-041,Crenshaw County,Alabama,48.9,-1.5,48,50.4
AL-043,Cullman County,Alabama,44.6,0.6,70,44
AL-045,Dale County,Alabama,49.4,-2.5,38,51.9
AL-047,Dallas County,Alabama,50,0.3,72,49.7
AL-049,DeKalb County,Alabama,43.6,0.7,73,42.9
AL-051,Elmore County,Alabama,48.5,-0.5,59,49
AL-053,Escambia County,Alabama,51.7,-0.9,53,52.6
AL-055,Etowah County,Alabama,45.6,0.8,75,44.8
AL-057,Fayette County,Alabama,46.5,0.7,75,45.8
AL-059,Franklin County,Alabama,45.1,1.9,82,43.2
AL-061,Geneva County,Alabama,49.6,-2.9,32,52.5
AL-063,Greene County,Alabama,48.6,0.4,69,48.2
AL-065,Hale County,Alabama,48.5,0.3,69,48.2
AL-067,Henry County,Alabama,49.2,-2.5,38,51.7
AL-069,Houston County,Alabama,50.1,-2.8,35,52.9
AL-071,Jackson County,Alabama,43.5,0.7,72,42.8
AL-073,Jefferson County,Alabama,46.9,0.9,76,46
AL-075,Lamar County,Alabama,46.7,0.8,74,45.9
AL-077,Lauderdale County,Alabama,44.6,2.2,87,42.4
AL-079,Lawrence County,Alabama,45.2,1.9,84,43.3
AL-081,Lee County,Alabama,47.7,-0.5,58,48.2
AL-083,Limestone County,Alabama,44.8,1.9,85,42.9
AL-085,Lowndes County,Alabama,49.7,-0.5,56,50.2
AL-087,Macon County,Alabama,48.7,-0.7,54,49.4
AL-089,Madison County,Alabama,44.7,1.6,83,43.1
AL-091,Marengo County,Alabama,50.5,1,80,49.5
AL-093,Marion County,Alabama,45.3,1,76,44.3
AL-095,Marshall County,Alabama,45.1,1.1,77,44
AL-097,Mobile County,Alabama,53.5,0.3,71,53.2
AL-099,Monroe County,Alabama,51.1,-0.1,64,51.2
AL-101,Montgomery County,Alabama,49.3,-0.7,51,50
AL-103,Morgan County,Alabama,44.8,1.2,77,43.6
AL-105,Perry County,Alabama,49,0.5,73,48.5
AL-107,Pickens County,Alabama,48.1,1,77,47.1
AL-109,Pike County,Alabama,49.1,-1.5,46,50.6
AL-111,Randolph County,Alabama,45.3,0.1,67,45.2
AL-113,Russell County,Alabama,49,-0.6,56,49.6
AL-115,St. Clair County,Alabama,45.9,0.4,73,45.5
AL-117,Shelby County,Alabama,47.4,0.7,76,46.7
AL-119,Sumter County,Alabama,49.7,0.8,75,48.9
AL-121,Talladega County,Alabama,46.6,0,67,46.6
AL-123,Tallapoosa County,Alabama,46.5,-0.8,53,47.3
AL-125,Tuscaloosa County,Alabama,47.8,0.7,73,47.1
AL-127,Walker County,Alabama,46.5,1,75,45.5
AL-129,Washington County,Alabama,51.7,0.1,63,51.6
AL-131,Wilcox County,Alabama,50.9,0.6,75,50.3
AL-133,Winston County,Alabama,45,1.2,78,43.8
AZ-001,Apache County,Arizona,36.7,2.2,92,34.5
AZ-003,Cochise County,Arizona,50.2,3.3,114,46.9
AZ-005,Coconino County,Arizona,38.2,1.7,82,36.5
AZ-007,Gila County,Arizona,46.9,2.6,104,44.3
AZ-009,Graham County,Arizona,48.8,2.7,106,46.1
AZ-011,Greenlee County,Arizona,44.9,2.9,106,42
AZ-012,La Paz County,Arizona,55.7,0.1,59,55.6
AZ-013,Maricopa County,Arizona,56.6,1.9,89,54.7
AZ-015,Mohave County,Arizona,46.7,0.5,71,46.2
AZ-017,Navajo County,Arizona,37.8,2,90,35.8
AZ-019,Pima County,Arizona,55.5,2.8,103,52.7
AZ-021,Pinal County,Arizona,55.4,2.2,95,53.2
AZ-023,Santa Cruz County,Arizona,50,3.1,108,46.9
AZ-025,Yavapai County,Arizona,45.5,1.4,79,44.1
AZ-027,Yuma County,Arizona,58,1.1,79,56.9
AR-001,Arkansas County,Arkansas,49.2,4.3,111,44.9
AR-003,Ashley County,Arkansas,50.9,3.6,102,47.3
AR-005,Baxter County,Arkansas,43.5,4.7,110,38.8
AR-007,Benton County,Arkansas,44.4,5.3,116,39.1
AR-009,Boone County,Arkansas,43.2,4.6,113,38.6
AR-011,Bradley County,Arkansas,50,3.4,99,46.6
AR-013,Calhoun County,Arkansas,49.9,3.3,100,46.7
AR-015,Carroll County,Arkansas,44,5.2,115,38.8
AR-017,Chicot County,Arkansas,51,3.5,103,47.5
AR-019,Clark County,Arkansas,49.7,4.1,106,45.6
AR-021,Clay County,Arkansas,43.8,4.1,104,39.7
AR-023,Cleburne County,Arkansas,45.4,4.2,105,41.2
AR-025,Cleveland County,Arkansas,49.3,3.4,101,45.9
AR-027,Columbia County,Arkansas,51.3,3.7,107,47.6
AR-029,Conway County,Arkansas,47.1,4.5,110,42.6
AR-031,Craighead County,Arkansas,45,4.2,106,40.8
AR-033,Crawford County,Arkansas,45.7,4,105,41.7
AR-035,Crittenden County,Arkansas,46.5,3.4,99,43.1
AR-037,Cross County,Arkansas,47.4,4.8,110,42.6
AR-039,Dallas County,Arkansas,49.6,3.7,104,45.9
AR-041,Desha County,Arkansas,49.7,3.7,104,46.1
AR-043,Drew County,Arkansas,50,3.5,101,46.5
AR-045,Faulkner County,Arkansas,47.7,4.6,111,43.1
AR-047,Franklin County,Arkansas,45.8,4.2,111,41.6
AR-049,Fulton County,Arkansas,42.8,4.7,112,38.1
AR-051,Garland County,Arkansas,48.2,4.3,112,43.9
AR-053,Grant County,Arkansas,48.9,3.5,101,45.4
AR-055,Greene County,Arkansas,44.4,4.2,104,40.2
AR-057,Hempstead County,Arkansas,50.4,4.3,112,46.1
AR-059,Hot Spring County,Arkansas,49.3,4.2,109,45.1
AR-061,Howard County,Arkansas,48.8,4.1,111,44.7
AR-063,Independence County,Arkansas,45.5,4.9,115,40.6
AR-065,Izard County,Arkansas,44,4.7,112,39.3
AR-067,Jackson County,Arkansas,46.2,4.9,112,41.3
AR-069,Jefferson County,Arkansas,49.2,3.9,105,45.3
AR-071,Johnson County,Arkansas,44.8,3.8,106,41
AR-073,Lafayette County,Arkansas,52.2,4.7,114,47.5
AR-075,Lawrence County,Arkansas,44.4,4.3,106,40.1
AR-077,Lee County,Arkansas,47.8,3.8,103,44
AR-079,Lincoln County,Arkansas,49.5,3.7,105,45.8
AR-081,Little River County,Arkansas,51.2,4.9,115,46.3
AR-083,Logan County,Arkansas,46.7,4.1,112,42.6
AR-085,Lonoke County,Arkansas,48.6,4.4,110,44.2
AR-087,Madison County,Arkansas,43.4,4.5,110,38.9
AR-089,Marion County,Arkansas,43.3,4.5,110,38.8
AR-091,Miller County,Arkansas,52.7,5.2,116,47.5
AR-093,Mississippi County,Arkansas,45.3,3.9,101,41.4
AR-095,Monroe County,Arkansas,48.4,4.3,109,44.1
AR-097,Montgomery County,Arkansas,47.6,4.2,110,43.4
AR-099,Nevada County,Arkansas,50.5,4.1,108,46.4
AR-101,Newton County,Arkansas,42.8,4.1,108,38.7
AR-103,Ouachita County,Arkansas,50.4,3.5,104,46.9
AR-105,Perry County,Arkansas,48,4.6,112,43.4
AR-107,Phillips County,Arkansas,48.6,4,107,44.6
AR-109,Pike County,Arkansas,48.5,3.9,106,44.6
AR-111,Poinsett County,Arkansas,45.9,4.3,106,41.6
AR-113,Polk County,Arkansas,46.8,4.1,109,42.7
AR-115,Pope County,Arkansas,45.4,3.9,108,41.5
AR-117,Prairie County,Arkansas,48.4,4.3,110,44.1
AR-119,Pulaski County,Arkansas,48.5,4.2,109,44.3
AR-121,Randolph County,Arkansas,42.9,3.6,100,39.3
AR-123,St. Francis County,Arkansas,47.7,4.3,106,43.4
AR-125,Saline County,Arkansas,48.4,4.2,108,44.2
AR-127,Scott County,Arkansas,47.1,4.4,112,42.7
AR-129,Searcy County,Arkansas,43.5,4.3,106,39.2
AR-131,Sebastian County,Arkansas,47.3,4.5,113,42.8
AR-133,Sevier County,Arkansas,49.4,4.2,110,45.2
