ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,46.5,0.2,69,46.3
AL-003,Baldwin County,Alabama,51.9,0.9,80,51
AL-005,Barbour County,Alabama,48.3,0.5,77,47.8
AL-007,Bibb County,Alabama,44.6,0.3,69,44.3
AL-009,Blount County,Alabama,41.3,-0.3,65,41.6
AL-011,Bullock County,Alabama,47.6,0.8,78,46.8
AL-013,Butler County,Alabama,47.3,-0.2,70,47.5
AL-015,Calhoun County,Alabama,43,0.7,72,42.3
AL-017,Chambers County,Alabama,44.9,1.2,81,43.7
AL-019,Cherokee County,Alabama,41.4,-0,65,41.4
AL-021,Chilton County,Alabama,45.2,0.5,71,44.7
AL-023,Choctaw County,Alabama,47.6,0.5,73,47.1
AL-025,Clarke County,Alabama,48.5,0.6,73,47.9
AL-027,Clay County,Alabama,43.5,0.7,73,42.8
AL-029,Cleburne County,Alabama,42.6,1.1,80,41.5
AL-031,Coffee County,Alabama,48.7,-0,72,48.7
AL-033,Colbert County,Alabama,38.8,-1.1,50,39.9
AL-035,Conecuh County,Alabama,49.1,0.4,76,48.7
AL-037,Coosa County,Alabama,44.8,0.3,70,44.5
AL-039,Covington County,Alabama,49.4,0.5,75,48.9
AL-041,Crenshaw County,Alabama,47.1,-0.3,68,47.4
AL-043,Cullman County,Alabama,40.1,-1,54,41.1
AL-045,Dale County,Alabama,49.1,-0,70,49.1
AL-047,Dallas County,Alabama,46.8,-0,67,46.8
AL-049,DeKalb County,Alabama,39.3,-0.7,59,40
AL-051,Elmore County,Alabama,46.4,0.3,68,46.1
AL-053,Escambia County,Alabama,50.4,0.7,75,49.7
AL-055,Etowah County,Alabama,41.3,-0.6,61,41.9
AL-057,Fayette County,Alabama,42.6,-0.2,65,42.8
AL-059,Franklin County,Alabama,38.7,-1.5,47,40.2
AL-061,Geneva County,Alabama,50.2,0.5,75,49.7
AL-063,Greene County,Alabama,45.7,0.5,72,45.2
AL-065,Hale County,Alabama,46.1,0.8,75,45.3
AL-067,Henry County,Alabama,49.1,-0,73,49.1
AL-069,Houston County,Alabama,50.4,0.2,74,50.2
AL-071,Jackson County,Alabama,38.8,-1.1,54,39.9
AL-073,Jefferson County,Alabama,43.4,0.3,69,43.1
AL-075,Lamar County,Alabama,42.4,-0.4,64,42.8
AL-077,Lauderdale County,Alabama,38.4,-1,51,39.4
AL-079,Lawrence County,Alabama,39,-1.4,48,40.4
AL-081,Lee County,Alabama,46.7,1.1,81,45.6
AL-083,Limestone County,Alabama,38.9,-1,51,39.9
AL-085,Lowndes County,Alabama,47.2,0,69,47.2
AL-087,Macon County,Alabama,47.4,0.9,78,46.5
AL-089,Madison County,Alabama,39.2,-1,52,40.2
AL-091,Marengo County,Alabama,47.4,0.8,75,46.6
AL-093,Marion County,Alabama,40.2,-1.1,57,41.3
AL-095,Marshall County,Alabama,40.1,-0.9,54,41
AL-097,Mobile County,Alabama,51.6,1.1,82,50.5
AL-099,Monroe County,Alabama,49.1,0.7,78,48.4
AL-101,Montgomery County,Alabama,47.2,0.1,67,47.1
AL-103,Morgan County,Alabama,39.5,-1.1,52,40.6
AL-105,Perry County,Alabama,45.9,0.3,70,45.6
AL-107,Pickens County,Alabama,44.2,0.1,67,44.1
AL-109,Pike County,Alabama,47.4,-0.3,67,47.7
AL-111,Randolph County,Alabama,43.6,1.3,81,42.3
AL-113,Russell County,Alabama,48,1,80,47
AL-115,St. Clair County,Alabama,42.9,0.4,69,42.5
AL-117,Shelby County,Alabama,44.1,0.4,69,43.7
AL-119,Sumter County,Alabama,46.5,0.7,75,45.8
AL-121,Talladega County,Alabama,44,0.4,71,43.6
AL-123,Tallapoosa County,Alabama,44.8,0.4,71,44.4
