ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,78.9,-1.8,14,80.7
AL-003,Baldwin County,Alabama,81.3,0.2,67,81.2
AL-005,Barbour County,Alabama,78.8,-1.6,13,80.4
AL-007,Bibb County,Alabama,78.2,-1.9,17,80.1
AL-009,Blount County,Alabama,76.4,-2.4,9,78.8
AL-011,Bullock County,Alabama,78.3,-1.8,9,80.1
AL-013,Butler County,Alabama,78.6,-1.7,9,80.3
AL-015,Calhoun County,Alabama,76.3,-2.5,5,78.8
AL-017,Chambers County,Alabama,76.8,-1.6,16,78.4
AL-019,Cherokee County,Alabama,75.9,-3,3,78.9
AL-021,Chilton County,Alabama,77.7,-2,11,79.7
AL-023,Choctaw County,Alabama,80,-0.8,34,80.8
AL-025,Clarke County,Alabama,80.3,-0.4,47,80.7
AL-027,Clay County,Alabama,75.6,-2,11,77.6
AL-029,Cleburne County,Alabama,74.7,-2.8,3,77.5
AL-031,Coffee County,Alabama,78.8,-1.7,10,80.5
AL-033,Colbert County,Alabama,75.5,-3.5,4,79
AL-035,Conecuh County,Alabama,79.6,-1.3,19,80.9
AL-037,Coosa County,Alabama,77.3,-1.8,15,79.1
AL-039,Covington County,Alabama,79.2,-1.6,10,80.8
AL-041,Crenshaw County,Alabama,77.8,-2.2,5,80
AL-043,Cullman County,Alabama,76.2,-2.4,8,78.6
AL-045,Dale County,Alabama,79.2,-1.5,13,80.7
AL-047,Dallas County,Alabama,79.4,-1.4,19,80.8
AL-049,DeKalb County,Alabama,74.4,-2.9,4,77.3
AL-051,Elmore County,Alabama,78.8,-1.5,17,80.3
AL-053,Escambia County,Alabama,80.3,-0.8,31,81.1
AL-055,Etowah County,Alabama,76.3,-2.7,5,79
AL-057,Fayette County,Alabama,77.3,-2.9,5,80.2
AL-059,Franklin County,Alabama,75.7,-3,5,78.7
AL-061,Geneva County,Alabama,80.2,-0.7,32,80.9
AL-063,Greene County,Alabama,79.4,-1.9,11,81.3
AL-065,Hale County,Alabama,79.2,-1.6,18,80.8
AL-067,Henry County,Alabama,79.2,-1.7,12,80.9
AL-069,Houston County,Alabama,80,-1.3,16,81.3
AL-071,Jackson County,Alabama,74.8,-3,4,77.8
AL-073,Jefferson County,Alabama,77.4,-2.3,10,79.7
AL-075,Lamar County,Alabama,77.5,-2.9,7,80.4
AL-077,Lauderdale County,Alabama,75,-3.7,4,78.7
AL-079,Lawrence County,Alabama,75.7,-3.2,4,78.9
AL-081,Lee County,Alabama,78.2,-1,30,79.2
AL-083,Limestone County,Alabama,76,-2.8,8,78.8
AL-085,Lowndes County,Alabama,79.2,-1.7,11,80.9
AL-087,Macon County,Alabama,78.9,-1.4,22,80.3
AL-089,Madison County,Alabama,76,-2.7,7,78.7
AL-091,Marengo County,Alabama,80,-0.9,32,80.9
AL-093,Marion County,Alabama,76.2,-3.1,3,79.3
AL-095,Marshall County,Alabama,76,-2.6,9,78.6
AL-097,Mobile County,Alabama,81.6,0.6,89,81
AL-099,Monroe County,Alabama,80.1,-0.6,38,80.7
AL-101,Montgomery County,Alabama,79,-1.8,11,80.8
AL-103,Morgan County,Alabama,76.1,-2.8,5,78.9
AL-105,Perry County,Alabama,79,-1.4,23,80.4
AL-107,Pickens County,Alabama,78.7,-2.3,8,81
AL-109,Pike County,Alabama,78,-2.2,6,80.2
AL-111,Randolph County,Alabama,75.5,-2.3,5,77.8
AL-113,Russell County,Alabama,79.1,-1.2,24,80.3
AL-115,St. Clair County,Alabama,76.8,-2.2,12,79
AL-117,Shelby County,Alabama,77.2,-2.3,10,79.5
AL-119,Sumter County,Alabama,79.8,-1.3,22,81.1
AL-121,Talladega County,Alabama,77,-2.1,13,79.1
AL-123,Tallapoosa County,Alabama,77.2,-1.6,16,78.8
AL-125,Tuscaloosa County,Alabama,78.4,-2.4,9,80.8
AL-127,Walker County,Alabama,77.5,-2.3,10,79.8
AL-129,Washington County,Alabama,80.5,-0.4,45,80.9
AL-131,Wilcox County,Alabama,79.8,-1,30,80.8
AL-133,Winston County,Alabama,76,-2.6,7,78.6
AZ-001,Apache County,Arizona,73.3,2.3,117,71
AZ-003,Cochise County,Arizona,80.7,2.6,123,78.1
AZ-005,Coconino County,Arizona,76,2.8,116,73.2
AZ-007,Gila County,Arizona,80.6,2.5,121,78.1
AZ-009,Graham County,Arizona,81.7,2.6,121,79.1
AZ-011,Greenlee County,Arizona,76.2,2,117,74.2
AZ-012,La Paz County,Arizona,95.1,3.7,127,91.4
AZ-013,Maricopa County,Arizona,93.7,4.3,127,89.4
AZ-015,Mohave County,Arizona,85.9,3.1,120,82.8
AZ-017,Navajo County,Arizona,75.9,2.8,121,73.1
AZ-019,Pima County,Arizona,88,2.9,126,85.1
AZ-021,Pinal County,Arizona,90.5,3.1,126,87.4
AZ-023,Santa Cruz County,Arizona,79.1,2.5,120,76.6
AZ-025,Yavapai County,Arizona,81.4,3.3,125,78.1
AZ-027,Yuma County,Arizona,95.1,4.5,128,90.6
AR-001,Arkansas County,Arkansas,78.4,-3.2,4,81.6
AR-003,Ashley County,Arkansas,80,-1.3,24,81.3
AR-005,Baxter County,Arkansas,74.7,-3.4,8,78.1
AR-007,Benton County,Arkansas,75.6,-2.5,20,78.1
AR-009,Boone County,Arkansas,74.1,-3.5,8,77.6
AR-011,Bradley County,Arkansas,79,-2.3,12,81.3
AR-013,Calhoun County,Arkansas,79.4,-2.1,18,81.5
AR-015,Carroll County,Arkansas,74.2,-3.4,10,77.6
AR-017,Chicot County,Arkansas,80.1,-1.7,19,81.8
AR-019,Clark County,Arkansas,79.4,-2.1,19,81.5
AR-021,Clay County,Arkansas,76.3,-3.8,5,80.1
AR-023,Cleburne County,Arkansas,76.2,-3,7,79.2
AR-025,Cleveland County,Arkansas,78.5,-2.8,6,81.3
AR-027,Columbia County,Arkansas,80.6,-1.1,36,81.7
AR-029,Conway County,Arkansas,77.6,-3.1,7,80.7
AR-031,Craighead County,Arkansas,77,-3.4,5,80.4
AR-033,Crawford County,Arkansas,78.2,-1.5,35,79.7
AR-035,Crittenden County,Arkansas,78.1,-3.5,4,81.6
AR-037,Cross County,Arkansas,77.9,-3.4,6,81.3
AR-039,Dallas County,Arkansas,78.7,-2.6,10,81.3
AR-041,Desha County,Arkansas,78.7,-3,3,81.7
