ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,58.3,2.2,84,56.1
AL-003,Baldwin County,Alabama,62,2.4,89,59.6
AL-005,Barbour County,Alabama,59,1.9,80,57.1
AL-007,Bibb County,Alabama,57.4,2.8,91,54.6
AL-009,Blount County,Alabama,54.8,2.8,91,52
AL-011,Bullock County,Alabama,58.5,2.3,82,56.2
AL-013,Butler County,Alabama,58.9,1.8,81,57.1
AL-015,Calhoun County,Alabama,54.7,2.1,85,52.6
AL-017,Chambers County,Alabama,55.4,2,85,53.4
AL-019,Cherokee County,Alabama,53.9,2,84,51.9
AL-021,Chilton County,Alabama,57.4,2.7,91,54.7
AL-023,Choctaw County,Alabama,59.1,2.1,85,57
AL-025,Clarke County,Alabama,59.5,2,85,57.5
AL-027,Clay County,Alabama,54.4,1.6,80,52.8
AL-029,Cleburne County,Alabama,53.6,2,85,51.6
AL-031,Coffee County,Alabama,59.7,1.6,79,58.1
AL-033,Colbert County,Alabama,53.5,2.7,91,50.8
AL-035,Conecuh County,Alabama,60.2,2.2,85,58
AL-037,Coosa County,Alabama,56.2,1.8,82,54.4
AL-039,Covington County,Alabama,60.2,2.1,81,58.1
AL-041,Crenshaw County,Alabama,58.4,1.5,78,56.9
AL-043,Cullman County,Alabama,54.1,2.5,88,51.6
AL-045,Dale County,Alabama,59.6,1.2,75,58.4
AL-047,Dallas County,Alabama,58.9,2.2,84,56.7
AL-049,DeKalb County,Alabama,53.1,2.5,89,50.6
AL-051,Elmore County,Alabama,57.6,1.8,81,55.8
AL-053,Escambia County,Alabama,61.1,2.3,88,58.8
AL-055,Etowah County,Alabama,54.6,2.3,88,52.3
AL-057,Fayette County,Alabama,55.8,2.4,90,53.4
AL-059,Franklin County,Alabama,53.5,2.6,88,50.9
AL-061,Geneva County,Alabama,60.5,1.6,78,58.9
AL-063,Greene County,Alabama,58.5,2.7,92,55.8
AL-065,Hale County,Alabama,58.3,2.6,90,55.7
AL-067,Henry County,Alabama,59.4,1.1,76,58.3
AL-069,Houston County,Alabama,60.1,0.8,70,59.3
AL-071,Jackson County,Alabama,53.1,2.5,91,50.6
AL-073,Jefferson County,Alabama,56.2,2.8,93,53.4
AL-075,Lamar County,Alabama,55.8,2.3,87,53.5
AL-077,Lauderdale County,Alabama,52.8,2.4,90,50.4
AL-079,Lawrence County,Alabama,53.3,2.2,84,51.1
AL-081,Lee County,Alabama,56.7,1.8,80,54.9
AL-083,Limestone County,Alabama,53.6,2.7,94,50.9
AL-085,Lowndes County,Alabama,58.8,1.9,83,56.9
AL-087,Macon County,Alabama,57.9,1.9,81,56
AL-089,Madison County,Alabama,53.7,2.7,97,51
AL-091,Marengo County,Alabama,58.8,2.2,86,56.6
AL-093,Marion County,Alabama,54.4,2.4,86,52
AL-095,Marshall County,Alabama,54.1,2.5,91,51.6
AL-097,Mobile County,Alabama,61.8,2.6,90,59.2
AL-099,Monroe County,Alabama,60.1,2.3,86,57.8
AL-101,Montgomery County,Alabama,58.6,2,82,56.6
AL-103,Morgan County,Alabama,53.8,2.4,91,51.4
AL-105,Perry County,Alabama,58.2,2.5,89,55.7
AL-107,Pickens County,Alabama,57.2,2.5,90,54.7
AL-109,Pike County,Alabama,58.8,1.8,79,57
AL-111,Randolph County,Alabama,54.3,2,83,52.3
AL-113,Russell County,Alabama,57.8,1.6,78,56.2
AL-115,St. Clair County,Alabama,55.1,2.3,85,52.8
AL-117,Shelby County,Alabama,56.4,2.5,90,53.9
AL-119,Sumter County,Alabama,58.8,2.6,91,56.2
AL-121,Talladega County,Alabama,55.5,1.7,83,53.8
AL-123,Tallapoosa County,Alabama,55.7,1.6,79,54.1
AL-125,Tuscaloosa County,Alabama,57.2,2.6,90,54.7
AL-127,Walker County,Alabama,55.6,2.5,88,53.1
AL-129,Washington County,Alabama,59.6,1.6,75,58
AL-131,Wilcox County,Alabama,59.3,2,83,57.3
AL-133,Winston County,Alabama,53.6,2.1,85,51.5
AZ-001,Apache County,Arizona,42.6,2.7,101,39.9
AZ-003,Cochise County,Arizona,55,3.6,112,51.4
AZ-005,Coconino County,Arizona,44.9,3,104,41.9
AZ-007,Gila County,Arizona,52.2,3.6,109,48.6
AZ-009,Graham County,Arizona,54.3,3.7,111,50.6
AZ-011,Greenlee County,Arizona,49.8,3.4,106,46.4
