ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,53.3,-1,52,54.3
AL-003,Baldwin County,Alabama,57.2,-1.1,49,58.3
AL-005,Barbour County,Alabama,55,-0.8,58,55.8
AL-007,Bibb County,Alabama,52.9,0.1,67,52.8
AL-009,Blount County,Alabama,52.1,1.5,85,50.6
AL-011,Bullock County,Alabama,54.1,-1,56,55.1
AL-013,Butler County,Alabama,53.4,-1.9,37,55.3
AL-015,Calhoun County,Alabama,51.6,0.6,74,51
AL-017,Chambers County,Alabama,52.7,0.6,72,52.1
AL-019,Cherokee County,Alabama,51.5,1,76,50.5
AL-021,Chilton County,Alabama,52.8,-0.2,63,53
AL-023,Choctaw County,Alabama,54.1,-0.7,59,54.8
AL-025,Clarke County,Alabama,54.5,-0.9,56,55.4
AL-027,Clay County,Alabama,51.5,0.3,72,51.2
AL-029,Cleburne County,Alabama,50.9,0.7,73,50.2
AL-031,Coffee County,Alabama,55.4,-1.1,53,56.5
AL-033,Colbert County,Alabama,51.6,2,88,49.6
AL-035,Conecuh County,Alabama,54.4,-1.8,41,56.2
AL-037,Coosa County,Alabama,52.4,-0.4,62,52.8
AL-039,Covington County,Alabama,55,-1.5,43,56.5
AL-041,Crenshaw County,Alabama,53.6,-1.7,41,55.3
AL-043,Cullman County,Alabama,52.2,1.8,91,50.4
AL-045,Dale County,Alabama,55.6,-1.2,50,56.8
AL-047,Dallas County,Alabama,54,-0.7,56,54.7
AL-049,DeKalb County,Alabama,50.7,1.2,78,49.5
AL-051,Elmore County,Alabama,53.3,-1.1,53,54.4
AL-053,Escambia County,Alabama,55.5,-1.3,47,56.8
AL-055,Etowah County,Alabama,51.6,0.8,74,50.8
AL-057,Fayette County,Alabama,52.7,1,77,51.7
AL-059,Franklin County,Alabama,51.3,1.5,85,49.8
AL-061,Geneva County,Alabama,56.5,-0.7,58,57.2
AL-063,Greene County,Alabama,54.1,0.3,70,53.8
AL-065,Hale County,Alabama,53.8,-0.1,67,53.9
AL-067,Henry County,Alabama,55.8,-1,54,56.8
AL-069,Houston County,Alabama,56.6,-1,55,57.6
AL-071,Jackson County,Alabama,51.4,1.9,88,49.5
AL-073,Jefferson County,Alabama,52.4,0.7,73,51.7
AL-075,Lamar County,Alabama,52.6,0.8,77,51.8
AL-077,Lauderdale County,Alabama,51.3,2.2,90,49.1
AL-079,Lawrence County,Alabama,51.4,1.6,86,49.8
AL-081,Lee County,Alabama,53.8,-0.1,68,53.9
AL-083,Limestone County,Alabama,51.4,1.8,88,49.6
AL-085,Lowndes County,Alabama,53.5,-1.6,45,55.1
AL-087,Macon County,Alabama,54.1,-0.8,59,54.9
AL-089,Madison County,Alabama,51.8,2,89,49.8
AL-091,Marengo County,Alabama,54.1,-0.5,57,54.6
AL-093,Marion County,Alabama,51.6,1,81,50.6
AL-095,Marshall County,Alabama,51.9,1.4,84,50.5
AL-097,Mobile County,Alabama,56.9,-0.9,56,57.8
AL-099,Monroe County,Alabama,54.6,-1.2,49,55.8
AL-101,Montgomery County,Alabama,53.5,-1.6,47,55.1
AL-103,Morgan County,Alabama,51.8,1.7,88,50.1
AL-105,Perry County,Alabama,53.4,-0.5,61,53.9
AL-107,Pickens County,Alabama,53.7,0.8,74,52.9
AL-109,Pike County,Alabama,54.3,-1.3,45,55.6
AL-111,Randolph County,Alabama,51.5,0.7,74,50.8
AL-113,Russell County,Alabama,54.8,-0.2,67,55
AL-115,St. Clair County,Alabama,51.8,0.7,75,51.1
AL-117,Shelby County,Alabama,52.2,0.1,68,52.1
AL-119,Sumter County,Alabama,54,-0.1,67,54.1
AL-121,Talladega County,Alabama,51.8,-0,68,51.8
AL-123,Tallapoosa County,Alabama,52.5,-0.3,69,52.8
AL-125,Tuscaloosa County,Alabama,53.3,0.4,71,52.9
AL-127,Walker County,Alabama,52.9,1.5,83,51.4
AL-129,Washington County,Alabama,54.8,-1.2,54,56
AL-131,Wilcox County,Alabama,54.3,-0.9,54,55.2
AL-133,Winston County,Alabama,51.7,1.5,86,50.2
AZ-001,Apache County,Arizona,41.4,2.2,95,39.2
AZ-003,Cochise County,Arizona,54.9,4.2,120,50.7
AZ-005,Coconino County,Arizona,44.6,3.5,114,41.1
AZ-007,Gila County,Arizona,53.2,4.2,120,49
AZ-009,Graham County,Arizona,54.4,4.2,121,50.2
AZ-011,Greenlee County,Arizona,49.8,3.8,120,46
AZ-012,La Paz County,Arizona,63.1,3.6,113,59.5
AZ-013,Maricopa County,Arizona,63.2,4.2,117,59
AZ-015,Mohave County,Arizona,54.7,3.7,116,51
AZ-017,Navajo County,Arizona,43.1,3,105,40.1
AZ-019,Pima County,Arizona,61.8,4.6,118,57.2
AZ-021,Pinal County,Arizona,62.2,4.6,120,57.6
AZ-023,Santa Cruz County,Arizona,55.6,4,117,51.6
AZ-025,Yavapai County,Arizona,53.1,4.1,118,49
AZ-027,Yuma County,Arizona,64.2,3.5,108,60.7
AR-001,Arkansas County,Arkansas,55.4,3.7,109,51.7
AR-003,Ashley County,Arkansas,55.4,2.4,94,53
AR-005,Baxter County,Arkansas,52.6,6.1,123,46.5
AR-007,Benton County,Arkansas,51.7,4.8,118,46.9
AR-009,Boone County,Arkansas,52.1,5.8,124,46.3
AR-011,Bradley County,Arkansas,54.9,2.7,98,52.2
AR-013,Calhoun County,Arkansas,55.4,3.2,104,52.2
AR-015,Carroll County,Arkansas,51.8,5.2,122,46.6
AR-017,Chicot County,Arkansas,55.6,2.2,94,53.4
AR-019,Clark County,Arkansas,55,3.5,107,51.5
AR-021,Clay County,Arkansas,52.8,5.2,118,47.6
AR-023,Cleburne County,Arkansas,53.2,4.8,118,48.4
AR-025,Cleveland County,Arkansas,54.8,3.1,101,51.7
AR-027,Columbia County,Arkansas,56,2.9,102,53.1
AR-029,Conway County,Arkansas,53.9,4.5,116,49.4
AR-031,Craighead County,Arkansas,53.7,5.2,121,48.5
AR-033,Crawford County,Arkansas,53.5,4.7,119,48.8
AR-035,Crittenden County,Arkansas,54.4,3.8,109,50.6
AR-037,Cross County,Arkansas,53.9,4,109,49.9
AR-039,Dallas County,Arkansas,54.9,3.3,108,51.6
