ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,63.6,-1,46,64.6
AL-003,Baldwin County,Alabama,68.9,0.9,81,68
AL-005,Barbour County,Alabama,66,0.4,69,65.6
AL-007,Bibb County,Alabama,62,-1.6,34,63.6
AL-009,Blount County,Alabama,59.9,-1.6,37,61.5
AL-011,Bullock County,Alabama,65.5,0.5,72,65
AL-013,Butler County,Alabama,65,-0.3,55,65.3
AL-015,Calhoun County,Alabama,60.4,-1.2,42,61.6
AL-017,Chambers County,Alabama,61.2,-1.2,42,62.4
AL-019,Cherokee County,Alabama,59.4,-2,32,61.4
AL-021,Chilton County,Alabama,62.4,-1,44,63.4
AL-023,Choctaw County,Alabama,63.9,-1,46,64.9
AL-025,Clarke County,Alabama,65,-0.5,55,65.5
AL-027,Clay County,Alabama,60.1,-1.3,38,61.4
AL-029,Cleburne County,Alabama,59.5,-1.1,41,60.6
AL-031,Coffee County,Alabama,66.7,0.4,74,66.3
AL-033,Colbert County,Alabama,58.2,-2.5,21,60.7
AL-035,Conecuh County,Alabama,66.4,0.3,76,66.1
AL-037,Coosa County,Alabama,61.9,-1.2,46,63.1
AL-039,Covington County,Alabama,66.5,0.1,69,66.4
AL-041,Crenshaw County,Alabama,64.4,-0.9,43,65.3
AL-043,Cullman County,Alabama,59.6,-1.6,38,61.2
AL-045,Dale County,Alabama,67.1,0.6,74,66.5
AL-047,Dallas County,Alabama,63.6,-1.4,37,65
AL-049,DeKalb County,Alabama,58.1,-2.2,30,60.3
AL-051,Elmore County,Alabama,64,-0.6,49,64.6
AL-053,Escambia County,Alabama,67.5,0.8,86,66.7
AL-055,Etowah County,Alabama,59.5,-2.2,27,61.7
AL-057,Fayette County,Alabama,60.4,-2.3,24,62.7
AL-059,Franklin County,Alabama,58,-2.8,18,60.8
AL-061,Geneva County,Alabama,68.6,1.7,93,66.9
AL-063,Greene County,Alabama,62.4,-2.3,23,64.7
AL-065,Hale County,Alabama,62.7,-1.9,27,64.6
